arms_cluster_id,object_signature_cluster_id,leg_pose_variant,mult_top,mult_right,mult_bottom,mult_left
166,9073,,2.0,6.5,11.0,6.5
166,9078,,2.0,3.5,11.5,3.5
166,9080,,2.0,7.0,10.5,7.5
166,9080,1.0,3.5,7.0,7.5,7.5
166,9080,3.0,3.5,6.5,10.5,4.5
166,9080,5.0,3.5,7.0,12.0,7.0
166,9087,,2.0,3.5,11.0,3.5
166,9096,,2.0,3.5,11.5,3.5
167,1,,1.5,2.5,5.0,2.5
167,9083,,2.0,2.5,5.0,3.0
168,9069,,2.0,3.5,9.0,3.5
168,9080,,2.0,7.0,8.5,9.0
168,9083,,2.0,2.5,9.0,4.0
169,9069,,2.0,3.5,6.5,3.5
169,9073,,2.0,7.5,9.0,7.5
169,9073,3.0,3.5,8.0,8.5,7.0
169,9073,5.0,3.5,7.5,9.0,7.0
169,9080,,2.0,6.5,7.5,6.5
169,9081,,2.0,3.0,6.5,3.0
169,9083,,2.0,3.0,7.0,3.5
17,1,,1.5,3.5,7.0,3.5
17,9080,,2.0,7.5,8.5,7.5
170,1,,1.5,2.5,3.0,2.5
171,1,,1.5,4.0,7.0,4.0
171,9069,,2.0,4.0,6.0,4.0
172,1,,1.5,2.5,4.5,2.5
173,9069,,2.0,3.0,5.0,3.0
174,9069,,2.0,3.5,5.0,3.5
174,9073,,2.0,6.5,9.0,6.5
174,9081,,2.0,3.5,5.5,3.5
176,1,,1.5,3.5,5.0,3.5
176,9069,,2.0,3.5,5.0,3.5
177,1,,1.5,2.5,4.0,2.5
178,9080,,4.0,12.0,6.5,5.5
179,9069,,2.0,3.0,6.5,3.5
179,9080,,2.0,6.5,8.5,10.0
18,1,,1.5,3.0,5.0,3.0
18,9069,,2.0,3.5,5.0,3.5
180,1,,2.5,3.5,5.0,3.5
181,9069,,2.0,3.0,5.0,3.0
181,9080,,2.0,7.0,8.0,6.0
181,9101,,2.0,3.0,5.5,3.0
182,1,,2.0,3.5,5.0,3.5
182,9080,,2.5,7.5,8.5,6.5
183,1,,1.5,2.5,10.5,2.5
183,9080,,2.0,6.5,8.0,7.0
184,9080,,2.0,6.5,7.5,7.0
185,1,,1.5,3.0,5.0,3.0
186,1,,1.5,3.0,7.5,3.0
187,1,,3.5,4.0,7.5,4.0
187,9069,,4.0,3.5,5.5,3.5
188,1,,1.5,4.0,6.5,4.0
188,9080,,2.0,7.5,9.0,8.5
189,1,,1.5,2.0,5.5,4.0
19,9080,,2.0,7.0,8.5,7.5
190,9069,,2.0,4.5,11.0,4.5
190,9080,,2.0,7.0,7.0,7.5
191,1,,2.0,3.5,5.0,3.5
191,9087,,2.0,3.5,6.0,3.5
192,1,,1.5,5.0,8.5,3.5
192,9080,,2.0,7.0,9.0,8.0
193,9069,,2.0,5.0,6.5,3.5
193,9081,,2.0,5.5,9.5,3.5
194,1,,1.5,4.0,6.5,4.0
194,9080,,2.0,7.0,8.0,6.5
194,9087,,2.0,4.0,8.5,4.0
194,9095,,2.0,4.0,7.0,4.0
195,1,,1.5,2.5,3.5,2.5
196,1,,1.5,3.0,10.5,3.0
196,9087,,2.0,3.5,10.0,3.5
197,1,,1.5,2.5,5.0,2.5
198,1,,1.5,3.0,8.5,3.0
198,9080,,2.0,7.5,7.0,7.0
199,1,,1.5,3.5,6.5,3.5
2,25,,2.0,3.5,5.5,3.5
2,9069,,2.0,4.5,5.0,2.5
2,9080,,2.0,7.5,9.5,7.0
