arms_cluster_id,object_signature_cluster_id,mult_top,mult_right,mult_bottom,mult_left
2,25,2.0,3.5,5.5,3.5
4,7,2.0,3.5,5.0,3.5
27,1,1.5,3.0,5.0,3.0
33,281,2.0,7.5,10.5,7.5
39,310,2.0,5.0,5.5,5.0
40,1,3.0,5.5,5.0,3.5
41,1,1.5,2.5,2.5,2.5
42,1,1.5,2.5,4.5,2.5
46,116,2.5,3.0,10.0,6.0
46,232,2.5,6.0,8.5,7.5
46,310,2.0,5.0,8.5,5.0
46,807,2.0,3.5,7.0,3.5
47,7,2.0,3.5,5.0,3.5
47,310,2.0,3.0,5.5,4.0
50,1,2.0,3.5,5.0,3.5
51,1,1.5,2.5,5.0,2.5
56,58,2.0,3.0,5.0,3.0
56,206,2.0,2.5,4.5,2.5
57,1,1.5,2.5,5.0,2.5
58,1,1.5,2.5,4.5,2.5
64,95,4.0,6.5,6.0,6.5
64,174,4.0,7.5,9.0,7.5
66,1,2.5,5.0,6.0,5.0
69,1,1.5,2.5,6.0,2.5
69,7,2.0,3.0,6.0,3.0
71,1,1.5,3.5,5.5,3.5
71,217,2.0,4.5,10.5,5.5
74,11,2.0,4.0,6.0,4.5
76,1,1.5,5.0,5.5,3.5
79,1,1.5,3.0,7.5,3.0
81,15,2.0,2.0,6.5,3.5
81,217,2.0,6.0,11.5,6.5
81,310,2.0,4.5,10.5,6.0
84,310,2.0,5.0,8.0,4.5
89,1,1.5,3.0,4.5,3.0
92,217,2.0,5.0,11.5,5.0
92,807,2.0,3.5,10.5,3.5
95,1,2.0,3.0,5.5,3.0
95,118,2.0,3.5,6.0,3.5
97,310,2.0,3.0,7.0,3.0
101,1,1.5,5.0,6.0,3.5
102,1,1.5,3.5,5.0,3.5
114,7,2.0,3.5,5.0,3.5
118,1,1.5,3.5,4.5,3.5
124,1,1.5,3.0,5.0,3.0
131,1,1.5,3.5,5.5,3.5
137,1,1.5,3.0,5.0,3.0
138,1,1.5,3.0,4.5,3.0
143,1,1.5,2.0,5.5,3.5
154,1,1.5,3.0,5.5,3.0
157,1,2.0,3.5,5.5,3.5
158,1,1.5,3.0,4.5,3.0
159,217,2.0,5.0,11.5,4.0
160,1,1.5,4.5,6.0,2.5
161,1,1.5,3.5,5.0,3.5
162,1,1.5,3.0,4.0,3.0
171,1,1.5,4.0,7.0,4.0
177,1,1.5,2.5,4.0,2.5
180,1,2.5,3.5,5.0,3.5
187,1,3.5,4.0,7.5,4.0
191,1,2.0,3.5,5.0,3.5
194,1,1.5,4.0,6.5,4.0
198,1,1.5,3.0,8.5,3.0
201,1,1.5,3.0,4.5,3.0
205,604,2.0,3.5,6.0,3.5
235,1,1.5,3.0,5.0,3.0
236,1,2.0,6.0,7.0,1.5
239,1,1.5,2.5,3.5,2.5
253,1,1.5,3.5,6.0,3.5
272,1,1.5,3.0,5.0,3.0
279,1,1.5,3.5,6.0,3.5
287,1,1.5,5.0,6.5,3.0
293,1,1.5,4.0,5.5,2.5
299,1,1.5,3.0,4.5,3.0
301,1,1.5,3.0,5.5,3.0
302,1,1.5,3.5,4.5,3.5
305,310,2.0,2.5,5.0,3.0
306,1,1.5,4.0,5.0,4.0
308,7,2.0,3.5,8.5,3.5
309,217,2.0,6.0,12.0,4.5
322,7,2.0,3.0,5.5,3.0
326,217,2.0,5.5,11.0,5.5
326,232,2.0,7.0,8.0,7.0
326,807,2.0,4.0,9.0,4.5
328,232,2.0,6.0,6.5,5.5
328,310,2.0,6.0,7.0,6.5
329,206,2.0,2.5,5.0,2.5
330,310,2.0,4.5,7.0,5.5
335,1,1.5,3.0,5.5,3.0
335,7,2.0,3.0,6.0,3.0
335,118,2.0,3.0,5.5,3.0
335,355,2.0,3.0,5.5,3.0
336,604,2.0,3.0,6.5,3.0
337,1,1.5,3.5,4.5,3.5
337,310,2.0,4.5,5.0,4.5
339,217,2.0,3.5,10.5,5.5
340,118,2.0,3.0,5.5,3.0
342,1,1.5,5.5,7.0,2.0
345,310,2.5,5.5,6.5,5.0
350,1,1.5,3.5,6.5,3.5
350,604,2.0,4.0,8.5,4.0
353,1,2.0,3.0,3.5,3.0
356,217,2.0,5.5,11.0,5.0
357,1,2.0,3.5,4.5,3.5
358,1,2.0,3.5,4.0,3.5
359,1,1.5,2.5,5.0,2.5
360,1,1.5,2.5,6.5,2.5
360,232,2.0,7.5,11.0,8.0
360,355,2.0,3.0,11.0,5.5
361,1,1.5,4.5,4.0,3.0
363,7,2.0,3.0,5.0,3.0
364,310,2.0,6.0,6.0,6.0
366,1,3.5,5.5,7.5,5.5
372,1,1.5,3.0,4.5,3.0
373,1,1.5,3.5,5.0,3.5
374,1,2.0,1.5,3.0,5.0
375,116,2.0,3.5,10.5,5.0
375,209,2.0,3.5,9.5,4.5
375,232,2.0,7.5,8.5,7.5
375,397,2.0,4.0,9.5,4.0
375,807,2.0,3.5,6.5,3.5
378,604,2.0,4.0,7.5,4.0
379,330,2.0,7.0,16.5,6.5
380,103,2.0,4.0,11.0,5.0
380,217,2.0,4.0,11.5,5.5
380,794,2.0,3.0,11.5,6.0
380,807,2.0,4.0,9.5,4.0
382,794,2.0,4.5,11.5,7.0
383,232,2.0,7.5,7.5,6.5
383,310,2.0,7.0,8.5,5.0
384,7,2.0,3.0,6.0,3.0
385,1,1.5,3.5,5.0,3.5
387,117,4.5,7.0,8.0,10.5
388,355,2.0,5.0,5.5,4.0
390,118,2.5,4.0,8.0,4.0
396,7,2.0,3.0,5.0,3.0
398,1,1.5,3.5,4.5,3.5
399,1,1.5,2.5,5.0,2.5
400,1,1.5,5.5,8.0,5.5
401,116,2.0,3.0,9.0,6.0
402,1,1.5,3.5,5.0,5.0
408,1,1.5,6.0,9.5,6.0
410,310,2.0,5.5,5.5,5.5
413,1,1.5,2.5,6.0,4.0
414,1,1.5,3.5,4.5,3.5
416,118,2.0,3.5,6.5,3.5
418,1,1.5,3.0,6.5,3.0
418,25,2.0,3.0,6.5,3.0
423,1,1.5,3.0,4.5,3.0
428,1,1.5,3.5,7.0,5.5
428,310,2.0,4.5,8.0,7.0
430,1,1.5,3.0,5.0,4.5
431,1,1.5,3.0,5.5,3.0
431,25,2.0,3.0,5.0,3.0
436,25,2.0,3.0,5.5,3.0
437,1,1.5,2.0,3.5,4.0
438,1,1.5,3.0,4.5,3.0
440,1,1.5,3.0,5.0,3.0
442,1,1.5,3.0,5.0,3.0
443,1,1.5,3.0,6.5,3.0
443,310,2.0,4.0,7.5,4.5
445,103,2.0,5.0,11.5,6.5
445,217,2.0,4.5,11.5,7.0
450,7,2.0,4.0,7.5,4.0
453,1,1.5,4.5,6.0,2.0
453,310,2.0,8.0,8.0,3.5
454,1,1.5,2.5,4.0,2.5
457,1,1.5,3.0,5.5,3.0
458,1,1.5,2.5,3.5,2.5
459,25,2.0,3.0,5.0,3.0
460,310,2.0,4.0,5.0,4.0
462,1,1.5,3.5,5.0,3.5
463,1145,2.0,3.0,5.5,3.0
464,1,1.5,3.0,5.5,3.0
464,310,2.0,3.0,6.5,3.0
466,1,2.0,6.5,4.5,3.5
471,397,2.0,3.5,6.5,3.5
472,1,1.5,3.0,4.0,3.0
472,275,2.5,5.0,5.0,5.5
478,1,1.5,2.5,5.0,2.5
482,7,2.0,3.5,6.5,3.5
483,1,1.5,3.5,7.0,3.5
483,25,2.0,3.5,6.5,3.5
484,1,3.5,5.5,7.5,5.5
485,310,2.0,3.0,5.5,3.0
486,1,1.5,2.5,4.5,2.5
487,310,2.0,5.0,5.0,5.0
488,1,1.5,3.0,8.5,3.0
490,1,1.5,3.0,5.0,3.0
490,206,2.0,3.0,5.0,3.0
490,310,2.0,5.0,5.0,5.0
494,1,1.5,5.0,6.5,5.0
494,807,2.0,5.0,10.0,6.5
495,7,2.0,3.0,5.0,3.0
