arms_cluster_id,object_signature_cluster_id,mult_top,mult_right,mult_bottom,mult_left
148,9080,2.0,5.0,6.5,7.5
149,1,1.5,3.5,5.0,3.5
149,355,2.0,4.0,7.0,4.0
150,1,1.5,3.5,9.5,5.0
150,25,2.0,3.0,5.5,3.0
151,1,1.5,7.5,6.0,7.5
151,7,2.0,3.0,5.5,3.0
151,118,2.0,3.5,6.0,3.5
151,9080,2.0,8.0,6.5,8.0
152,1,1.5,2.0,5.5,4.0
152,9080,2.0,8.0,12.0,7.0
153,1,2.5,8.0,11.5,3.5
153,310,2.0,4.0,9.0,4.5
153,9080,2.0,9.0,12.0,6.5
155,1,1.5,2.5,5.5,2.5
156,1,1.5,3.0,5.0,3.0
156,765,2.0,3.0,6.0,3.0
156,1145,2.0,3.0,6.0,3.0
158,1,1.5,3.5,11.0,3.5
160,1,1.5,6.0,11.5,4.0
160,310,2.0,5.5,10.0,2.5
160,9080,2.0,7.5,12.0,6.5
161,1,5.0,5.0,10.5,6.5
161,9080,4.5,5.5,11.5,10.0
162,1,1.5,3.5,7.0,7.5
162,9080,2.0,6.5,7.5,9.0
163,1,1.5,5.5,9.0,5.5
163,9080,2.0,8.0,10.0,7.5
164,1,1.5,5.5,12.0,5.5
165,310,4.5,4.5,10.0,6.5
166,1,3.0,5.0,11.5,5.0
166,116,2.5,3.5,11.0,5.5
166,217,2.0,5.5,12.0,5.5
166,310,2.0,5.0,10.5,5.0
167,1,1.5,2.5,5.0,2.5
167,7,2.0,3.0,5.5,3.0
168,1,1.5,2.5,6.0,2.5
168,232,2.0,7.0,8.0,8.0
168,9080,4.0,4.0,4.5,12.5
169,1,1.5,3.0,6.0,3.0
169,116,2.0,3.5,8.0,5.5
169,232,2.0,6.0,8.0,6.0
169,310,2.0,5.0,7.0,5.0
169,355,2.0,3.0,7.5,3.5
169,807,2.0,3.5,7.0,4.0
170,1,1.5,2.5,3.0,2.5
170,9080,3.0,12.0,6.0,4.0
172,1,1.5,2.5,4.5,2.5
176,1,1.5,3.0,11.0,3.0
180,1,1.5,3.0,11.0,3.0
181,206,2.0,3.0,5.0,3.0
181,9080,2.0,6.0,7.0,6.5
182,1,2.0,3.5,5.0,3.5
182,9080,2.0,8.5,6.5,6.5
183,1,1.5,2.5,7.5,2.5
185,1,1.5,7.5,6.0,7.5
185,9080,2.0,8.0,7.0,8.0
186,1,1.5,4.0,11.0,4.0
188,1,1.5,3.5,6.0,3.5
188,9073,4.5,8.0,7.5,8.5
189,1,1.5,2.5,5.5,2.5
189,9080,2.0,4.5,6.5,4.0
190,1,1.5,4.5,6.5,4.5
192,1,4.0,9.5,6.0,3.5
192,9080,4.5,11.5,6.5,5.5
193,1,1.5,5.0,7.0,3.5
193,217,2.0,9.0,12.5,6.0
194,1,2.0,4.0,5.5,9.0
194,217,2.0,5.5,11.5,5.0
194,794,2.0,5.5,11.0,4.5
194,9080,2.0,5.5,7.0,10.0
195,1,1.5,3.5,6.5,7.5
196,1,1.5,3.0,9.5,3.0
196,7,2.0,3.0,6.0,3.0
196,9069,4.5,3.5,11.5,3.5
196,9080,4.0,7.0,12.0,7.0
197,1,1.5,2.5,5.0,2.5
198,1,1.5,3.5,11.0,3.5
198,217,2.0,3.5,12.0,3.5
198,9069,2.0,3.5,11.0,3.5
198,9073,2.0,8.0,11.5,8.0
199,1,1.5,4.0,11.5,4.0
200,1,1.5,3.5,3.0,3.5
202,1,4.0,4.5,11.0,6.5
203,1,4.5,7.0,8.5,7.0
203,9080,4.5,8.0,9.5,9.0
204,1,1.5,4.5,9.0,4.5
205,1,1.5,3.5,11.5,3.5
206,1,1.5,3.0,4.0,5.0
207,1,1.5,9.0,6.5,2.5
207,7,2.0,3.0,5.0,3.0
207,16,2.0,3.0,5.0,3.0
207,118,2.0,3.0,5.0,3.0
207,9080,2.0,10.5,7.5,5.0
208,1,1.5,4.5,5.5,4.5
208,217,2.0,4.5,11.5,4.5
210,1,1.5,3.5,11.0,3.5
211,1,1.5,3.0,9.5,4.5
212,1,2.5,3.5,6.0,3.5
214,1,3.5,3.5,4.5,9.5
214,9080,2.0,5.5,7.5,6.5
215,1,4.5,5.5,10.5,5.5
215,9080,4.5,8.5,10.5,7.0
216,1,1.5,2.5,5.0,2.5
216,7,2.0,3.0,5.5,3.0
217,1,2.0,3.0,6.5,3.0
218,1,2.0,3.5,6.0,9.0
218,9080,2.0,5.5,7.5,10.5
219,1,4.0,3.5,8.5,5.5
219,310,2.5,8.5,9.0,4.5
220,1,1.5,4.5,11.5,4.5
221,9080,2.0,5.0,8.0,12.0
222,1,1.5,4.0,6.0,4.0
222,232,2.0,7.0,7.5,7.0
222,310,2.0,6.5,7.0,7.0
222,9080,2.0,10.0,8.5,7.5
223,1,1.5,4.5,11.0,4.5
224,1,1.5,5.0,7.0,2.5
224,217,2.0,7.0,12.0,5.0
225,1,2.0,3.5,11.5,3.5
227,1,1.5,4.0,11.0,4.0
229,1,3.5,3.5,5.5,3.5
229,9080,2.0,6.5,10.0,9.5
230,397,2.0,5.0,9.5,4.5
232,1,1.5,3.0,5.0,3.0
232,15,2.0,3.0,5.0,3.0
233,1,3.0,10.0,4.0,3.0
234,1,1.5,3.0,6.0,3.0
234,232,2.0,6.5,7.0,6.5
234,310,2.0,4.0,9.5,4.0
234,9080,2.0,6.0,7.0,10.0
235,1,1.5,7.0,10.0,4.0
235,25,2.0,3.0,5.0,3.0
236,1,12.0,6.0,4.5,6.0
236,627,2.0,7.5,9.0,2.0
237,1,1.5,3.0,11.0,3.0
237,232,2.0,7.0,7.0,5.5
238,1,1.5,4.0,8.0,4.0
239,1,1.5,8.0,7.0,4.5
240,1,1.5,5.5,11.0,5.5
240,9080,2.0,6.5,11.5,7.5
241,1,1.5,3.5,6.5,3.5
242,1,1.5,3.5,6.0,3.5
242,9080,2.0,7.0,7.5,7.5
243,1,1.5,3.0,11.5,3.0
243,9069,2.0,3.5,11.5,3.5
244,1,1.5,3.0,11.5,3.0
245,1,1.5,2.5,4.5,2.5
245,9080,2.5,7.0,7.5,9.0
246,217,2.0,5.0,11.5,5.5
247,1,1.5,3.5,7.5,3.5
248,1,1.5,3.5,10.0,3.5
248,217,2.0,6.5,11.5,9.0
249,1,1.5,2.5,5.0,2.5
250,1,4.0,4.0,11.5,4.0
251,232,2.0,7.0,6.0,5.0
251,310,2.0,7.0,7.0,4.0
252,1,1.5,3.5,6.0,3.5
252,9073,2.0,7.5,7.5,8.0
252,9080,2.0,7.0,6.5,6.5
253,1,1.5,4.0,11.5,7.0
253,310,2.0,4.5,9.0,4.5
254,1,1.5,3.5,7.0,7.0
254,9080,2.0,6.0,7.0,8.5
255,1,3.0,5.0,6.0,5.0
256,1,1.5,4.0,11.0,4.0
256,9069,2.0,4.0,11.0,4.0
256,9073,2.0,8.0,11.0,7.5
257,1,1.5,4.5,7.0,4.5
258,1,1.5,5.0,11.0,3.5
259,1,1.5,3.5,11.0,3.5
259,217,2.0,3.5,12.0,3.5
260,1,2.0,3.0,6.0,3.0
260,9069,2.0,6.0,11.5,6.0
260,9080,2.0,7.5,12.0,7.0
261,1,1.5,11.0,6.0,2.5
261,9080,2.0,12.5,7.5,5.5
262,1,1.5,3.5,6.5,3.5
263,1,2.0,3.5,4.5,3.5
264,1,1.5,2.5,6.0,2.5
265,1,1.5,2.5,5.0,2.5
267,1,1.5,3.5,5.5,3.5
268,1,4.0,5.0,10.5,2.5
268,310,2.0,2.5,10.5,5.5
268,9080,3.5,9.0,12.0,6.0
269,1,4.0,4.0,8.0,7.0
270,25,2.0,4.0,6.5,4.0
270,9080,2.0,7.5,8.0,7.5
271,1,1.5,6.0,7.0,6.0
272,1,1.5,5.0,7.5,3.0
272,25,2.0,5.0,7.5,3.0
273,1,1.5,3.0,6.5,6.0
274,1,1.5,9.0,7.0,4.0
274,9080,2.0,11.5,7.5,6.0
275,1,2.0,2.0,5.0,7.0
275,9080,2.0,7.0,11.5,7.5
276,217,2.0,3.5,11.5,3.5
276,9073,2.0,8.0,9.5,8.0
277,1,1.5,7.5,10.5,6.0
277,9080,2.0,9.5,11.0,7.0
279,217,2.0,7.0,12.5,8.0
280,1,1.5,5.0,11.0,5.0
280,7,2.0,3.0,5.5,3.0
280,9102,2.0,4.0,11.0,4.5
281,1,1.5,3.5,7.0,3.5
281,9080,2.0,7.0,7.5,7.0
282,1,1.5,5.0,6.5,5.0
282,310,2.0,6.5,6.5,5.5
283,1,1.5,2.5,3.5,2.5
284,1,1.5,3.0,6.0,3.0
285,1,1.5,3.5,6.5,3.5
286,1,4.0,4.0,12.0,4.0
288,9080,2.0,7.5,7.5,7.5
289,1,1.5,3.5,11.5,3.5
290,1,1.5,6.0,9.0,6.0
290,206,2.0,2.5,4.5,2.5
290,9080,2.0,7.5,9.5,8.0
291,1,2.0,2.0,6.0,8.5
291,9080,3.0,4.5,6.5,10.0
292,9080,2.0,6.5,7.5,8.0
293,1,1.5,6.0,11.0,6.0
294,1,1.5,3.5,8.0,3.5
295,1,1.5,2.5,4.5,2.5
295,9073,2.0,5.0,10.0,9.5
296,1,1.5,2.5,6.0,2.5
296,232,2.0,6.5,7.5,6.5
296,310,2.0,3.5,8.5,3.5
297,1,1.5,3.5,10.5,3.5
298,1,4.5,5.5,11.0,3.5
298,9080,5.0,9.0,12.0,7.5
299,1,1.5,3.5,11.5,3.5
299,310,2.0,3.5,5.0,3.5
300,1,1.5,3.0,5.5,3.0
300,310,2.0,3.5,7.5,3.5
301,1,1.5,3.0,11.0,3.0
302,1,1.5,3.5,6.5,8.0
302,9080,2.0,6.5,7.5,10.5
303,1,1.5,3.5,6.5,8.5
303,9080,2.0,6.5,8.0,11.5
304,1,4.0,4.0,11.0,5.5
305,1,1.5,3.0,9.0,6.0
307,1,1.5,4.5,8.0,4.5
308,1,1.5,3.0,10.0,3.0
309,1,1.5,4.0,6.5,4.0
310,1,1.5,3.5,6.5,8.0
310,9080,2.0,6.0,7.5,10.5
312,1,1.5,4.0,5.0,4.0
313,1,2.5,8.5,4.0,3.0
314,1,1.5,3.0,5.5,9.0
315,1,1.5,3.0,11.5,3.0
316,1,1.5,4.0,11.5,4.0
317,1,2.5,4.5,7.5,4.5
318,1,2.0,7.0,5.0,2.5
318,9080,2.0,9.0,7.0,8.0
320,217,2.0,3.5,12.0,6.0
321,1,2.0,3.5,11.5,3.5
322,1,3.0,5.0,11.5,5.0
323,1,1.5,3.0,11.5,5.0
325,1,3.0,11.0,3.5,3.5
325,9080,4.0,12.5,5.5,4.0
326,1,1.5,3.5,6.5,3.5
327,1,1.5,7.5,7.0,3.5
327,9080,2.0,9.5,8.0,6.0
328,1,1.5,3.0,5.5,3.0
329,1,3.5,1.5,4.5,8.0
329,9080,3.5,4.0,5.5,10.5
330,1,4.0,7.0,9.5,4.0
330,9080,4.5,8.5,10.5,7.0
332,1,1.5,3.5,6.0,3.5
332,9080,2.0,3.5,5.0,9.5
334,1,1.5,5.5,5.5,5.5
334,9080,2.0,7.5,6.5,7.5
335,1,1.5,4.0,11.0,5.5
335,217,2.0,8.0,13.0,8.5
336,1,1.5,3.0,7.5,3.0
336,9080,2.0,10.0,7.5,6.0
337,1,1.5,3.0,11.5,3.0
338,1,2.0,4.0,6.5,4.0
338,9080,2.0,7.5,7.0,7.0
339,1,1.5,3.0,11.5,3.0
340,1,1.5,3.0,11.0,3.0
342,1,1.5,5.0,9.5,8.0
342,9080,2.0,7.5,10.0,10.5
343,1,2.0,3.5,4.5,3.5
343,217,2.0,4.0,12.0,3.5
343,9102,2.0,4.0,11.0,4.0
344,1,2.0,4.0,5.0,4.0
344,310,2.5,4.0,5.5,4.0
345,1,3.0,6.0,7.0,4.0
346,1,1.5,4.0,11.0,8.0
346,9080,2.0,6.5,12.5,9.0
347,1,1.5,4.0,12.0,4.0
348,1,3.0,12.0,5.5,1.5
348,9080,2.5,12.5,6.5,4.0
349,217,2.0,5.5,12.0,6.5
350,1,1.5,6.5,11.5,3.0
351,1,1.5,4.0,8.5,4.0
352,1,1.5,3.5,11.0,3.5
353,1,1.5,4.5,11.5,4.5
354,1,1.5,3.5,6.5,3.5
354,9080,2.0,7.0,7.0,7.0
355,1,3.0,4.0,7.0,4.0
355,9080,3.5,7.5,7.5,8.5
356,1,1.5,3.0,10.5,5.5
356,217,2.0,6.5,12.0,7.5
