ihp_cluster,COUNT(so.image_id)
0,0
1,6026
2,1534
3,77
4,2146
5,1207
6,490
7,1502
8,1863
9,118
10,1705
11,1703
12,116
13,566
14,424
15,330
16,57
17,498
18,315
19,2184
20,605
21,320
22,477
23,205
24,171
25,660
26,123
27,719
28,3225
29,995
30,383
31,941
32,154
33,534
34,59
35,3951
36,670
37,1968
38,534
39,1230
40,3551
41,217
42,102
43,218
44,807
45,376
46,995
47,112
48,260
49,360
50,576
51,1533
52,87
53,979
54,73
55,1272
56,24
57,883
58,151
59,1149
60,281
61,103
62,192
63,8095
64,152
65,1937
66,337
67,563
68,184
69,402
70,193
71,688
72,100
73,852
74,144
75,262
76,903
77,128
78,591
79,130
80,286
81,593
82,504
83,159
84,310
85,480
86,332
87,299
88,44
89,5730
90,122
91,280
92,153
93,61
94,778
95,234
96,27
97,359
98,371
99,28
100,3992
101,2676
102,938
103,63
104,225
105,160
106,250
107,367
108,967
109,206
110,131
111,238
112,485
113,842
114,437
115,359
116,634
117,579
118,191
119,63
120,111
121,262
122,2793
123,172
124,1694
125,399
126,134
127,119
128,487
129,148
130,788
131,80
132,810
133,69
134,107
135,414
136,194
137,700
138,27
139,189
140,4954
141,176
142,992
143,293
144,808
145,418
146,304
147,765
148,305
149,440
150,464
151,278
152,267
153,169
154,53
155,693
156,1037
157,29
158,1247
159,485
160,162
161,414
162,768
163,83
164,585
165,58
166,540
167,972
168,8863
169,439
170,1472
171,1026
172,967
173,824
174,858
175,224
176,52
177,197
178,522
179,452
180,3043
181,712
182,148
183,604
184,5873
185,213
186,2358
187,760
188,378
189,65
190,517
191,2099
192,578
193,365
194,41
195,127
196,358
197,44
198,1096
199,475
200,161
201,1203
202,779
203,205
204,202
205,373
206,2270
207,82
208,1284
209,528
210,302
211,731
212,125
213,256
214,287
215,1903
216,10508
217,332
218,217
219,484
220,1445
221,697
222,150
223,22
224,461
225,553
226,189
227,238
228,1090
229,5922
230,485
231,244
232,760
233,610
234,222
235,163
236,332
237,304
238,309
239,24
240,19647
241,735
242,125
243,286
244,377
245,671
246,260
247,315
248,542
249,106
250,800
251,722
252,525
253,71
254,315
255,105
256,240
257,4496
258,672
259,331
260,796
261,544
262,320
263,188
264,435
265,1355
266,166
267,989
268,271
269,677
270,981
271,288
272,414
273,4588
274,592
275,499
276,167
277,1968
278,1367
279,889
280,428
281,608
282,51
283,278
284,43
285,25
286,157
287,85
288,1182
289,97
290,195
291,72
292,134
293,2011
294,102
295,363
296,396
297,164
298,55
299,1109
300,417
301,76
302,4490
303,469
304,3069
305,335
306,4504
307,54
308,287
309,458
310,771
311,399
312,266
313,161
314,836
315,670
316,861
317,947
318,549
319,2157
320,273
321,106
322,1779
323,255
324,974
325,98
326,31
327,473
328,160
329,351
330,364
331,2040
332,422
333,47
334,72
335,162
336,119
337,632
338,36
339,106
340,3783
341,2202
342,5279
343,173
344,154
345,378
346,3
347,526
348,23
349,318
350,557
351,424
352,1636
353,272
354,268
355,218
356,654
357,498
358,82
359,304
360,342
361,197
362,128
363,326
364,962
365,389
366,302
367,84
368,60
369,685
370,549
371,229
372,305
373,648
374,445
375,262
376,368
377,929
378,138
379,200
380,645
381,2306
382,104
383,282
384,14
385,104
386,405
387,663
388,84
389,1634
390,1467
391,5314
392,63
393,135
394,77
395,985
396,2157
397,126
398,583
399,256
400,78
401,250
402,633
403,11
404,583
405,242
406,142
407,774
408,27
409,52
410,633
411,41
412,420
413,9
414,220
415,259
416,286
417,169
418,18
419,206
420,697
421,11
422,364
423,1496
424,211
425,1156
426,4757
427,139
428,146
429,556
430,1926
431,74
432,169
433,123
434,47
435,243
436,616
437,47
438,194
439,591
440,110
441,140
442,126
443,542
444,231
445,1491
446,2227
447,832
448,2182
449,9505
450,237
451,563
452,126
453,154
454,281
455,181
456,546
457,2035
458,96
459,788
460,351
461,115
462,1696
463,114
464,779
465,356
466,557
467,685
468,34
469,184
470,759
471,417
472,1368
473,586
474,322
475,74
476,2565
477,184
478,44
479,1566
480,125
481,4526
482,1879
483,648
484,251
485,2037
486,339
487,3293
488,256
489,128
490,642
491,509
492,58
493,159
494,322
495,173
496,60
497,157
498,526
499,193
500,904
501,405
502,258
503,12
504,131
505,1963
506,504
507,375
508,139
509,383
510,299
511,205
1026,623
