order,fit_to_model,file_path,pan
1,0.23,Coqui_0.wav,0.28
2,0.24,Coqui_1.wav,0.16
3,0.39,Coqui_10.wav,-0.06
4,0.3,Coqui_11.wav,-0.69
5,0.43,Coqui_12.wav,0.95
6,0.41,Coqui_13.wav,0
7,0.21,Coqui_14.wav,0.51
8,0.47,Coqui_15.wav,0.67
9,0.48,Coqui_16.wav,0.66
10,0.4,Coqui_17.wav,-0.68
