class_id,conf_band,slot,slot_assignment_count,slot_unique_detections,slot_images
105,high_conf,waist,110,110,110
106,high_conf,feet,5,5,5
106,high_conf,left_eye,2,2,2
106,high_conf,left_hand,37,37,37
106,high_conf,mouth,7,7,7
106,high_conf,right_eye,2,2,2
106,high_conf,right_hand,34,34,34
106,high_conf,shoulder,14,14,14
106,high_conf,waist,13,13,13
107,high_conf,feet,8,8,8
107,high_conf,left_eye,4,4,4
107,high_conf,left_hand,63,63,63
107,high_conf,mouth,2,2,2
107,high_conf,right_eye,3,3,3
107,high_conf,right_hand,60,60,60
107,high_conf,shoulder,15,15,15
107,high_conf,top_face,1,1,1
107,high_conf,waist,25,25,25
108,high_conf,feet,22,22,22
108,high_conf,left_hand,2943,2943,2943
108,high_conf,right_hand,4407,4407,4407
108,high_conf,shoulder,83,83,83
108,high_conf,waist,51,51,51
109,high_conf,feet,18,18,18
109,high_conf,left_hand,1134,1134,1134
109,high_conf,right_hand,1280,1280,1280
109,high_conf,shoulder,45,45,45
109,high_conf,waist,44,44,44
110,high_conf,left_hand,4881,4881,4881
110,high_conf,mouth,14812,14812,14812
110,high_conf,right_hand,5334,5334,5334
111,high_conf,left_hand,13,13,13
111,high_conf,right_hand,9,9,9
111,high_conf,top_face,297,297,297
112,high_conf,left_hand,2,2,2
112,high_conf,right_hand,5,5,5
112,high_conf,top_face,109,109,109
113,high_conf,left_eye,5785,5785,5785
113,high_conf,left_hand,110,110,110
113,high_conf,right_eye,5894,5894,5894
113,high_conf,right_hand,98,98,98
113,high_conf,shoulder,8,8,8
113,high_conf,top_face,11,11,11
114,high_conf,left_eye,680,680,680
114,high_conf,left_hand,23,23,23
114,high_conf,right_eye,679,679,679
114,high_conf,right_hand,22,22,22
114,high_conf,top_face,710,710,710
115,high_conf,left_eye,1191,1191,1191
115,high_conf,left_hand,23,23,23
115,high_conf,right_eye,1186,1186,1186
115,high_conf,right_hand,28,28,28
116,high_conf,left_eye,12,12,12
116,high_conf,left_hand,17,17,17
116,high_conf,right_eye,9,9,9
116,high_conf,right_hand,24,24,24
117,high_conf,left_eye,3,3,3
117,high_conf,left_hand,13,13,13
117,high_conf,right_eye,1,1,1
117,high_conf,right_hand,17,17,17
118,high_conf,left_eye,25,25,25
118,high_conf,left_hand,143,143,143
118,high_conf,right_eye,17,17,17
118,high_conf,right_hand,225,225,225
119,high_conf,left_hand,14,14,14
119,high_conf,right_hand,17,17,17
1,low_conf,left_hand,3662,3662,3662
1,low_conf,right_hand,3586,3586,3586
13,low_conf,shoulder,6975,6975,6975
24,low_conf,feet,2438,2438,2438
24,low_conf,left_hand,9570,9570,9570
24,low_conf,mouth,3404,3404,3404
24,low_conf,right_hand,9840,9840,9840
24,low_conf,shoulder,6184,6184,6184
24,low_conf,top_face,1,1,1
24,low_conf,waist,5538,5538,5538
25,low_conf,feet,973,973,973
