class_id,conf_band,total_detections,total_images,assigned_detections,assigned_images,total_slot_assignments,placed_rate_detection,unplaced_rate_detection,placed_rate_image,unplaced_rate_image,feet,left_eye,left_hand,mouth,right_eye,right_hand,shoulder,top_face,waist,share_left_hand,share_right_hand,share_top_face,share_left_eye,share_right_eye,share_mouth,share_shoulder,share_waist,share_feet,max_slot_share,max_slot_name,flag_fixed_low_placement,flag_fixed_slot_dominance,flag_fixed_waist_absence,flag_fixed_feet_absence,flag_iqr_low_placement,flag_iqr_slot_dominance,flag_mad_low_placement,flag_mad_slot_dominance,outlier_flag_count,outlier_reasons
56,all_conf,1786372,1324530,325300.0,312990.0,416711.0,0.1821009285859832,0.8178990714140169,0.2363026885008267,0.7636973114991733,74864.0,0.0,105576.0,0.0,0.0,101788.0,0.0,0.0,134483.0,0.2533554429808668,0.24426521018163666,0.0,0.0,0.0,0.0,0.0,0.32272486207467527,0.17965448476282123,0.32272486207467527,waist,False,False,False,False,False,False,False,False,0,
57,all_conf,273647,232542,97963.0,96144.0,165019.0,0.35799040369527163,0.6420095963047283,0.4134478932837939,0.5865521067162061,8825.0,0.0,71755.0,0.0,0.0,71104.0,0.0,0.0,13335.0,0.43482871669322926,0.4308837164205334,0.0,0.0,0.0,0.0,0.0,0.08080887655360898,0.053478690332628365,0.43482871669322926,left_hand,False,False,False,False,False,False,False,False,0,
59,all_conf,78485,70854,32476.0,32135.0,56512.0,0.41378607377205834,0.5862139262279417,0.45353826177774015,0.5464617382222599,3003.0,0.0,25089.0,0.0,0.0,24767.0,0.0,0.0,3653.0,0.44395880520951303,0.43826090033975085,0.0,0.0,0.0,0.0,0.0,0.06464113816534542,0.05313915628539071,0.44395880520951303,left_hand,False,False,False,False,False,False,False,False,0,
60,all_conf,528767,474265,147498.0,146633.0,194996.0,0.2789470598581228,0.7210529401418773,0.30917946717552425,0.6908205328244758,20069.0,0.0,67216.0,0.0,0.0,61220.0,0.0,0.0,46491.0,0.344704506759113,0.3139551580545242,0.0,0.0,0.0,0.0,0.0,0.2384202752876982,0.10292005989866458,0.344704506759113,left_hand,False,False,False,False,False,False,False,False,0,
63,all_conf,2154307,2027808,1225756.0,1214484.0,1977270.0,0.5689792587593133,0.4310207412406867,0.5989146901481797,0.40108530985182034,368473.0,7374.0,507906.0,28027.0,7144.0,496608.0,99403.0,43.0,462292.0,0.2568723543066956,0.25115841539091777,2.1747156432859447e-05,0.0037293844543233854,0.0036130624547987883,0.01417459426380818,0.05027285095105878,0.2338031730618479,0.18635441796011673,0.2568723543066956,left_hand,False,False,False,False,False,False,False,False,0,
67,all_conf,1963453,1808972,871569.0,862476.0,1143292.0,0.4438960341805992,0.5561039658194008,0.47677686553467935,0.5232231344653206,72604.0,26786.0,340983.0,72436.0,18632.0,412795.0,49806.0,1584.0,147666.0,0.2982466421526609,0.3610582423387901,0.0013854728275891023,0.023428835328157635,0.016296799067954643,0.06335739251214913,0.043563674022034614,0.12915860515074015,0.06350433659992373,0.3610582423387901,right_hand,False,False,False,False,False,False,False,False,0,
73,all_conf,2144414,1337277,363367.0,350005.0,538831.0,0.16944815693238338,0.8305518430676166,0.2617296192187557,0.7382703807812443,24001.0,11069.0,216157.0,24158.0,10235.0,211114.0,18690.0,1754.0,21653.0,0.40115917606819207,0.39180002635334643,0.0032551950426014838,0.020542619114341975,0.018994823980060537,0.04483409454912579,0.034686200311414894,0.04018514153788479,0.04454272304303204,0.40115917606819207,left_hand,False,False,False,False,False,False,False,False,0,
74,all_conf,282352,264795,46176.0,45978.0,60534.0,0.16354054513515046,0.8364594548648495,0.17363620914292188,0.8263637908570781,0.0,0.0,31290.0,0.0,0.0,25326.0,0.0,3918.0,0.0,0.5168995936168104,0.41837644959857273,0.06472395678461691,0.0,0.0,0.0,0.0,0.0,0.0,0.5168995936168104,left_hand,False,False,True,True,False,False,False,False,2,fixed_waist_absence;fixed_feet_absence
80,all_conf,185032,183015,75055.0,74654.0,127668.0,0.4056325392364564,0.5943674607635436,0.4079119197879955,0.5920880802120045,2875.0,504.0,55852.0,1008.0,434.0,58636.0,3695.0,181.0,4483.0,0.4374784597549895,0.4592850205219789,0.0014177397625090076,0.003947739449196353,0.0033994423034746373,0.007895478898392707,0.028942256477739136,0.03511451577529216,0.022519347056427608,0.4592850205219789,right_hand,False,False,False,False,False,False,False,False,0,
81,all_conf,85701,69674,37489.0,34524.0,56648.0,0.4374394697844833,0.5625605302155168,0.4955076499124494,0.5044923500875507,4194.0,261.0,20747.0,2004.0,215.0,20955.0,2659.0,66.0,5547.0,0.366244174551617,0.3699159723202937,0.0011650896765993503,0.004607400084733795,0.003795367885891823,0.03537635927128937,0.04693899166784352,0.09792049145600903,0.07403615308572235,0.3699159723202937,right_hand,False,False,False,False,False,False,False,False,0,
82,all_conf,373014,303221,190815.0,180105.0,256584.0,0.5115491643745275,0.48845083562547253,0.5939727129717269,0.40602728702827307,4660.0,3281.0,97379.0,5486.0,2633.0,123333.0,9100.0,757.0,9955.0,0.3795209366133508,0.48067299597792534,0.0029503008761263367,0.012787235369313752,0.010261746640476414,0.021380912293829702,0.03546596825990709,0.03879821033267858,0.01816169363639198,0.48067299597792534,right_hand,False,False,False,False,False,False,False,False,0,
83,all_conf,154263,123737,68834.0,61318.0,88909.0,0.4462119886168427,0.5537880113831573,0.49555104778683823,0.5044489522131618,13061.0,193.0,30872.0,667.0,182.0,28487.0,4340.0,33.0,11074.0,0.34723143888695185,0.3204062580841085,0.00037116602368714077,0.0021707588658066114,0.0020470368579108976,0.007502052660585542,0.04881395584249064,0.12455431958519385,0.14690301319326501,0.34723143888695185,left_hand,False,False,False,False,False,False,False,False,0,
84,all_conf,39722,33142,11443.0,10965.0,17549.0,0.28807713609586627,0.7119228639041337,0.3308490736829401,0.6691509263170599,935.0,254.0,5945.0,669.0,211.0,6295.0,929.0,233.0,2078.0,0.3387657416377002,0.358709897999886,0.013277109806826599,0.014473759188557752,0.012023477121203488,0.03812183030372101,0.05293748931563052,0.11841130548749217,0.05327938913898228,0.358709897999886,right_hand,False,False,False,False,False,False,False,False,0,
86,all_conf,51522,40622,24097.0,18940.0,29619.0,0.46770311711501883,0.5322968828849812,0.46624981537098126,0.5337501846290187,1115.0,52.0,12598.0,446.0,51.0,13573.0,490.0,39.0,1255.0,0.4253350889631655,0.45825314831695874,0.001316722374151727,0.0017556298322023026,0.001721867720044566,0.015057902022350519,0.01654343495729093,0.042371450757959415,0.0376447550558763,0.45825314831695874,right_hand,False,False,False,False,False,False,False,False,0,
87,all_conf,10085,9555,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,left_hand,True,False,True,True,False,False,False,False,3,fixed_low_placement;fixed_waist_absence;fixed_feet_absence
88,all_conf,8756,8524,3831.0,3822.0,5392.0,0.4375285518501599,0.5624714481498401,0.44838104176442983,0.5516189582355702,446.0,35.0,1822.0,44.0,28.0,2354.0,120.0,0.0,543.0,0.3379080118694362,0.4365727002967359,0.0,0.006491097922848665,0.0051928783382789315,0.008160237388724036,0.02225519287833828,0.10070474777448071,0.08271513353115727,0.4365727002967359,right_hand,False,False,False,False,False,False,False,False,0,
89,all_conf,93562,91723,20060.0,20041.0,23783.0,0.21440328338427994,0.7855967166157201,0.21849481591312975,0.7815051840868703,952.0,62.0,2235.0,2621.0,18.0,2762.0,11819.0,2.0,3312.0,0.09397468780221166,0.11613337257705084,8.409368035992096e-05,0.0026069040911575496,0.0007568431232392886,0.11020476811167641,0.4969516040869529,0.1392591346760291,0.040028591851322376,0.4969516040869529,shoulder,False,False,False,False,False,False,False,False,0,
