class_id,conf_band,total_detections,total_images,assigned_detections,assigned_images,total_slot_assignments,placed_rate_detection,unplaced_rate_detection,placed_rate_image,unplaced_rate_image,feet,left_eye,left_hand,mouth,right_eye,right_hand,shoulder,top_face,waist,share_left_hand,share_right_hand,share_top_face,share_left_eye,share_right_eye,share_mouth,share_shoulder,share_waist,share_feet,max_slot_share,max_slot_name,flag_fixed_low_placement,flag_fixed_slot_dominance,flag_fixed_waist_absence,flag_fixed_feet_absence,flag_iqr_low_placement,flag_iqr_slot_dominance,flag_mad_low_placement,flag_mad_slot_dominance,outlier_flag_count,outlier_reasons
39,low_conf,279106,155154,18368.0,17587.0,22212.0,0.0658101223191189,0.9341898776808811,0.11335189553604806,0.8866481044639519,1597.0,396.0,8612.0,1239.0,406.0,9381.0,490.0,91.0,0.0,0.38771835044120295,0.42233927606699084,0.004096884566900774,0.017828200972447326,0.01827840806771115,0.05578065910318747,0.022060147667927247,0.0,0.07189807311363228,0.42233927606699084,right_hand,False,False,True,False,False,False,False,False,1,fixed_waist_absence
49,low_conf,45845,26423,3832.0,3421.0,4671.0,0.08358599629185298,0.916414003708147,0.1294705370321311,0.8705294629678689,0.0,84.0,1460.0,483.0,108.0,1506.0,330.0,47.0,653.0,0.3125669021622779,0.32241490044958254,0.010062085206593878,0.01798330122029544,0.023121387283236993,0.10340398201669879,0.07064868336544637,0.13979875829586813,0.0,0.32241490044958254,right_hand,False,False,False,True,False,False,False,False,1,fixed_feet_absence
47,low_conf,62782,36886,6760.0,6105.0,8381.0,0.10767417412634195,0.892325825873658,0.16550994957436427,0.8344900504256357,0.0,210.0,2645.0,703.0,176.0,3087.0,463.0,90.0,1007.0,0.3155947977568309,0.3683331344708269,0.0107385753490037,0.025056675814341962,0.02099988068249612,0.08388020522610667,0.05524400429543014,0.1201527264049636,0.0,0.3683331344708269,right_hand,False,False,False,True,False,False,False,False,1,fixed_feet_absence
40,low_conf,46065,34319,6456.0,6361.0,8163.0,0.14014978834255942,0.8598502116574406,0.1853492234622221,0.814650776537778,263.0,84.0,3372.0,401.0,71.0,3849.0,110.0,13.0,0.0,0.41308342521131935,0.4715178243292907,0.0015925517579321328,0.010290334435869165,0.008697782677937032,0.049124096533137325,0.013475437951733431,0.0,0.03221854710278084,0.4715178243292907,right_hand,False,False,True,False,False,False,False,False,1,fixed_waist_absence
44,low_conf,39854,34070,5764.0,5634.0,6623.0,0.14462789180508856,0.8553721081949115,0.16536542412679778,0.8346345758732022,0.0,103.0,1436.0,773.0,89.0,2692.0,500.0,23.0,1007.0,0.2168201721274347,0.40646232825003775,0.003472746489506266,0.015551864713875888,0.013438019024611203,0.11671447984297147,0.07549448890231013,0.1520459006492526,0.0,0.40646232825003775,right_hand,False,False,False,True,False,False,False,False,1,fixed_feet_absence
50,low_conf,8786,7865,1406.0,1369.0,1815.0,0.1600273161848395,0.8399726838151604,0.17406230133502862,0.8259376986649714,0.0,14.0,473.0,348.0,11.0,489.0,253.0,2.0,225.0,0.2606060606060606,0.2694214876033058,0.0011019283746556473,0.007713498622589532,0.006060606060606061,0.19173553719008266,0.1393939393939394,0.12396694214876033,0.0,0.2694214876033058,right_hand,False,False,False,True,False,False,False,False,1,fixed_feet_absence
46,low_conf,22287,18765,3758.0,3643.0,4993.0,0.1686184771391394,0.8313815228608605,0.19413802291500135,0.8058619770849986,0.0,91.0,1767.0,345.0,95.0,2015.0,357.0,40.0,283.0,0.3538954536350891,0.40356499098738235,0.008011215701982776,0.018225515722010813,0.019026637292209093,0.06909673542960144,0.07150010014019627,0.05667935109152814,0.0,0.40356499098738235,right_hand,False,False,False,True,False,False,False,False,1,fixed_feet_absence
92,low_conf,34636,33111,6406.0,6398.0,8275.0,0.1849520729876429,0.8150479270123571,0.19322883633837698,0.806771163661623,0.0,216.0,1853.0,490.0,231.0,1758.0,802.0,2848.0,77.0,0.22392749244712992,0.21244712990936557,0.34416918429003024,0.02610271903323263,0.027915407854984895,0.059214501510574016,0.09691842900302115,0.009305135951661632,0.0,0.34416918429003024,top_face,False,False,False,True,False,False,False,False,1,fixed_feet_absence
43,low_conf,29032,26106,5597.0,5526.0,7429.0,0.19278726922017084,0.8072127307798291,0.21167547690186164,0.7883245230981384,0.0,34.0,2733.0,488.0,25.0,3277.0,198.0,8.0,666.0,0.36788262215641404,0.44110916677883966,0.0010768609503297886,0.004576659038901602,0.0033651904697805895,0.06568851797011711,0.02665230852066227,0.0896486741149549,0.0,0.44110916677883966,right_hand,False,False,False,True,False,False,False,False,1,fixed_feet_absence
42,low_conf,22629,20926,4673.0,4606.0,5420.0,0.20650492730566972,0.7934950726943303,0.22010895536652966,0.7798910446334704,0.0,43.0,1508.0,421.0,25.0,2751.0,383.0,7.0,282.0,0.2782287822878229,0.5075645756457564,0.0012915129151291514,0.007933579335793358,0.004612546125461255,0.07767527675276753,0.07066420664206642,0.052029520295202955,0.0,0.5075645756457564,right_hand,False,False,False,True,False,False,False,False,1,fixed_feet_absence
48,low_conf,11221,9666,2756.0,2679.0,3690.0,0.245610908118706,0.754389091881294,0.2771570453134699,0.72284295468653,0.0,21.0,1445.0,354.0,20.0,1449.0,190.0,5.0,206.0,0.3915989159891599,0.3926829268292683,0.0013550135501355014,0.005691056910569106,0.005420054200542005,0.0959349593495935,0.051490514905149054,0.05582655826558266,0.0,0.3926829268292683,right_hand,False,False,False,True,False,False,False,False,1,fixed_feet_absence
