epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6713.07,0.68466,0.56435,1.08121,0.78986,0.68475,0.70816,0.48945,1.11621,0.8687,1.427,0.000990365,0.000990365,0.000990365
43,6869,0.6941,0.55191,1.08289,0.86165,0.69633,0.75338,0.50498,1.1292,0.79888,1.43,0.000973861,0.000973861,0.000973861
44,7027.44,0.67523,0.56491,1.05999,0.83437,0.65394,0.72861,0.48521,1.17422,0.8934,1.50439,0.000957358,0.000957358,0.000957358
45,7186.89,0.67145,0.56143,1.06317,0.80511,0.69401,0.73116,0.49382,1.10353,0.86484,1.42403,0.000940855,0.000940855,0.000940855
46,7344.39,0.65548,0.55462,1.05092,0.81046,0.65571,0.72667,0.4977,1.10174,0.81088,1.41777,0.000924352,0.000924352,0.000924352
47,7499.06,0.63563,0.53438,1.0284,0.82843,0.67706,0.72976,0.48871,1.13554,0.82116,1.45815,0.000907848,0.000907848,0.000907848
48,7658.03,0.65887,0.52351,1.05538,0.78626,0.68091,0.7324,0.50181,1.14548,0.86267,1.49495,0.000891345,0.000891345,0.000891345
49,7815.91,0.63301,0.52572,1.03221,0.85718,0.65534,0.73202,0.50412,1.11056,0.83174,1.44412,0.000874842,0.000874842,0.000874842
50,7977.21,0.63997,0.53238,1.03458,0.74809,0.70308,0.72506,0.49558,1.14031,0.87269,1.4401,0.000858338,0.000858338,0.000858338
51,8131.96,0.61959,0.49558,1.02034,0.84965,0.65671,0.73688,0.5166,1.10728,0.8152,1.42058,0.000841835,0.000841835,0.000841835
52,8293.25,0.60461,0.50032,1.02134,0.85924,0.67165,0.73751,0.51234,1.06646,0.84359,1.40263,0.000825332,0.000825332,0.000825332
53,8452.99,0.61747,0.52352,1.0166,0.77232,0.68632,0.72216,0.50724,1.08876,0.82295,1.44884,0.000808828,0.000808828,0.000808828
54,8607.98,0.61415,0.51614,1.01968,0.81825,0.66441,0.73301,0.50822,1.10329,0.84602,1.4608,0.000792325,0.000792325,0.000792325
55,8767.38,0.60562,0.49636,1.02024,0.84602,0.63928,0.72391,0.49475,1.12427,0.83431,1.49068,0.000775822,0.000775822,0.000775822
56,8919.51,0.60266,0.50774,1.01327,0.80887,0.69643,0.75127,0.50853,1.12117,0.81841,1.48637,0.000759318,0.000759318,0.000759318
57,9075.1,0.58007,0.46642,1.00948,0.76905,0.6796,0.73453,0.51541,1.1102,0.80429,1.45198,0.000742815,0.000742815,0.000742815
58,9232.97,0.59674,0.50572,1.01982,0.89064,0.61814,0.72062,0.52191,1.07495,0.82423,1.40476,0.000726312,0.000726312,0.000726312
59,9387.59,0.58686,0.47563,1.00951,0.82572,0.67553,0.73888,0.51831,1.13383,0.83344,1.45555,0.000709809,0.000709809,0.000709809
60,9541.98,0.56012,0.48146,0.98852,0.84804,0.68091,0.74487,0.52913,1.08664,0.84465,1.45181,0.000693305,0.000693305,0.000693305
61,9702.35,0.59234,0.48114,1.01735,0.74157,0.69955,0.72962,0.50951,1.07267,0.82391,1.42489,0.000676802,0.000676802,0.000676802
62,9857.15,0.56753,0.46151,0.99634,0.87054,0.65702,0.72923,0.52299,1.08374,0.80581,1.45558,0.000660299,0.000660299,0.000660299
63,10012.1,0.55483,0.46994,0.99812,0.8366,0.65369,0.73955,0.52276,1.04669,0.7339,1.4208,0.000643795,0.000643795,0.000643795
64,10173.1,0.54733,0.44458,0.98583,0.86589,0.63315,0.7329,0.51008,1.08083,0.78325,1.43265,0.000627292,0.000627292,0.000627292
65,10332.1,0.55168,0.45859,0.98355,0.82415,0.67643,0.72,0.50375,1.09617,0.85843,1.47778,0.000610789,0.000610789,0.000610789
66,10486.5,0.55941,0.44548,1.00033,0.87872,0.65239,0.74153,0.51165,1.09389,0.79844,1.46059,0.000594286,0.000594286,0.000594286
67,10644.4,0.53786,0.46423,0.99037,0.87636,0.65061,0.73253,0.50347,1.08283,0.7826,1.4732,0.000577782,0.000577782,0.000577782
68,10805.2,0.53823,0.43423,0.98613,0.8411,0.69672,0.74996,0.51104,1.08199,0.80705,1.44805,0.000561279,0.000561279,0.000561279
69,10960.6,0.54834,0.44449,0.99499,0.84111,0.68572,0.74083,0.50748,1.07227,0.7689,1.47371,0.000544776,0.000544776,0.000544776
70,11115.1,0.53489,0.44762,0.99412,0.82489,0.68856,0.73241,0.50298,1.07423,0.78671,1.44667,0.000528272,0.000528272,0.000528272
71,11276.1,0.51886,0.43046,0.97972,0.71681,0.71131,0.72782,0.51311,1.06746,0.76407,1.449,0.000511769,0.000511769,0.000511769
72,11433,0.51376,0.4266,0.97467,0.72933,0.72332,0.72962,0.51903,1.06623,0.79481,1.4448,0.000495266,0.000495266,0.000495266
73,11590,0.50755,0.40974,0.97085,0.85522,0.67761,0.74156,0.52353,1.09613,0.78844,1.46947,0.000478762,0.000478762,0.000478762
74,11757.2,0.51235,0.42173,0.97216,0.81353,0.67386,0.7274,0.51515,1.10825,0.84404,1.48506,0.000462259,0.000462259,0.000462259
75,11915.4,0.51393,0.41483,0.97455,0.78588,0.70297,0.73259,0.51171,1.12656,0.82434,1.50809,0.000445756,0.000445756,0.000445756
76,12072.2,0.52417,0.43132,0.9716,0.83654,0.70574,0.75102,0.52192,1.07396,0.79668,1.45914,0.000429253,0.000429253,0.000429253
77,12228.9,0.55601,0.46261,0.99865,0.78874,0.70482,0.73789,0.52008,1.08754,0.82084,1.46495,0.000412749,0.000412749,0.000412749
78,12386.2,0.49824,0.42891,0.97332,0.77275,0.72513,0.74803,0.52755,1.0785,0.78823,1.46196,0.000396246,0.000396246,0.000396246
79,12541.1,0.48543,0.4017,0.97045,0.8432,0.69401,0.75449,0.52405,1.07483,0.79073,1.45868,0.000379743,0.000379743,0.000379743
80,12697.1,0.48415,0.40059,0.95862,0.88338,0.70096,0.7595,0.53269,1.06468,0.76438,1.44534,0.000363239,0.000363239,0.000363239
81,12851.9,0.47176,0.38016,0.94844,0.87335,0.68474,0.75516,0.52488,1.07817,0.81055,1.444,0.000346736,0.000346736,0.000346736
82,13007.3,0.48754,0.46347,0.96638,0.80694,0.72364,0.75976,0.52243,1.0952,0.787,1.46194,0.000330233,0.000330233,0.000330233
83,13165.8,0.46939,0.38864,0.95599,0.82068,0.71709,0.76403,0.53794,1.05895,0.74635,1.44436,0.000313729,0.000313729,0.000313729
84,13324.4,0.48621,0.40066,0.96019,0.81839,0.71406,0.75406,0.52733,1.056,0.75934,1.44427,0.000297226,0.000297226,0.000297226
85,13480.5,0.46322,0.3813,0.96309,0.80159,0.72485,0.75171,0.53127,1.06366,0.75597,1.45073,0.000280723,0.000280723,0.000280723
86,13637.8,0.53366,0.44734,1.00236,0.83885,0.69939,0.74614,0.52378,1.06762,0.80597,1.4589,0.00026422,0.00026422,0.00026422
87,13799.2,0.44892,0.36466,0.94337,0.79177,0.69737,0.74508,0.52795,1.06898,0.8043,1.46423,0.000247716,0.000247716,0.000247716
88,13957.3,0.45405,0.37888,0.95129,0.83566,0.6979,0.74892,0.53015,1.05765,0.7837,1.45822,0.000231213,0.000231213,0.000231213
89,14123.2,0.45339,0.37803,0.94394,0.80563,0.74874,0.75824,0.5424,1.0594,0.76887,1.44604,0.00021471,0.00021471,0.00021471
90,14281.1,0.45081,0.36203,0.94532,0.82804,0.74478,0.75788,0.52997,1.05821,0.75284,1.46142,0.000198206,0.000198206,0.000198206
91,14456.5,0.3869,0.2779,0.88022,0.82232,0.72101,0.74366,0.51141,1.06236,0.78149,1.4671,0.000181703,0.000181703,0.000181703
92,14630.3,0.38061,0.29582,0.87238,0.82606,0.72756,0.75189,0.52303,1.04474,0.76851,1.46204,0.0001652,0.0001652,0.0001652
93,14799.7,0.37012,0.25829,0.86623,0.85683,0.71561,0.76074,0.52912,1.05023,0.75731,1.46657,0.000148696,0.000148696,0.000148696
94,14965.8,0.35892,0.257,0.8623,0.81828,0.73564,0.76228,0.53688,1.04273,0.74222,1.46165,0.000132193,0.000132193,0.000132193
95,15155.7,0.38519,0.26609,0.8701,0.84648,0.73062,0.76417,0.53799,1.04274,0.74995,1.4624,0.00011569,0.00011569,0.00011569
96,15331.6,0.36828,0.24655,0.86972,0.83817,0.72101,0.76073,0.54557,1.03629,0.7353,1.45792,9.91865e-05,9.91865e-05,9.91865e-05
97,15511.8,0.34215,0.23597,0.85145,0.81204,0.72828,0.75131,0.53646,1.04076,0.74148,1.46082,8.26832e-05,8.26832e-05,8.26832e-05
98,15692.5,0.34132,0.24147,0.85157,0.80064,0.73176,0.75334,0.53589,1.02704,0.73548,1.4507,6.61799e-05,6.61799e-05,6.61799e-05
99,15869,0.34436,0.24722,0.86111,0.80843,0.73227,0.76346,0.53962,1.03155,0.74224,1.45428,4.96766e-05,4.96766e-05,4.96766e-05
100,16048.2,0.34377,0.23325,0.85945,0.81434,0.73638,0.76174,0.54198,1.02835,0.73981,1.4516,3.31733e-05,3.31733e-05,3.31733e-05
