ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
0,272.0,2921.0,1138.0,9.0,0.0,1.0,17.0,9.0,6.0,7.0,4.0,3.0,84.0,43.0,284.0,7.0,40.0,0.0,2.0,71.0,2.0,0.0,3.0,592.0,5515.0
1,183.0,2404.0,1576.0,6.0,3.0,10.0,46.0,30.0,21.0,12.0,15.0,68.0,71.0,17.0,137.0,33.0,56.0,6.0,17.0,75.0,24.0,10.0,9.0,666.0,5496.0
2,331.0,4419.0,3588.0,11.0,7.0,10.0,104.0,16.0,18.0,18.0,9.0,52.0,155.0,38.0,280.0,37.0,112.0,8.0,15.0,166.0,29.0,11.0,5.0,1101.0,10542.0
3,949.0,12361.0,6581.0,72.0,13.0,15.0,239.0,88.0,75.0,56.0,83.0,257.0,455.0,284.0,1000.0,146.0,328.0,38.0,45.0,367.0,77.0,50.0,20.0,3708.0,27310.0
4,68.0,897.0,651.0,5.0,0.0,2.0,21.0,16.0,8.0,8.0,2.0,39.0,59.0,19.0,107.0,13.0,22.0,2.0,0.0,25.0,11.0,2.0,3.0,364.0,2348.0
5,77.0,868.0,1093.0,3.0,3.0,3.0,19.0,14.0,7.0,18.0,22.0,49.0,31.0,8.0,68.0,34.0,26.0,5.0,5.0,88.0,11.0,14.0,5.0,433.0,2909.0
6,260.0,4353.0,2000.0,1.0,1.0,4.0,18.0,24.0,18.0,5.0,4.0,8.0,121.0,87.0,452.0,12.0,81.0,6.0,8.0,86.0,16.0,11.0,0.0,963.0,8545.0
7,101.0,2301.0,1077.0,15.0,1.0,2.0,7.0,13.0,6.0,10.0,11.0,17.0,56.0,36.0,130.0,15.0,27.0,5.0,2.0,40.0,6.0,3.0,0.0,402.0,4290.0
8,55.0,645.0,266.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,15.0,12.0,71.0,4.0,7.0,0.0,0.0,13.0,3.0,0.0,0.0,128.0,1230.0
9,39.0,806.0,599.0,0.0,0.0,0.0,19.0,6.0,12.0,2.0,1.0,10.0,13.0,13.0,55.0,10.0,32.0,0.0,3.0,27.0,12.0,1.0,0.0,216.0,1885.0
