ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
0,33.0,306.0,544.0,5.0,4.0,10.0,36.0,12.0,10.0,11.0,10.0,32.0,8.0,5.0,29.0,16.0,17.0,4.0,14.0,40.0,9.0,5.0,4.0,281.0,1445.0
1,39.0,826.0,367.0,2.0,0.0,0.0,1.0,3.0,4.0,1.0,3.0,5.0,19.0,12.0,47.0,6.0,23.0,1.0,3.0,20.0,6.0,1.0,2.0,159.0,1551.0
2,77.0,1430.0,1656.0,9.0,27.0,18.0,97.0,44.0,35.0,43.0,54.0,148.0,67.0,19.0,131.0,46.0,54.0,18.0,24.0,209.0,42.0,26.0,9.0,1120.0,5405.0
3,26.0,680.0,736.0,2.0,8.0,8.0,45.0,19.0,13.0,4.0,7.0,85.0,43.0,6.0,66.0,15.0,23.0,21.0,10.0,76.0,32.0,15.0,3.0,501.0,2447.0
4,66.0,1411.0,1596.0,3.0,11.0,6.0,47.0,21.0,14.0,10.0,13.0,65.0,59.0,15.0,166.0,28.0,46.0,19.0,19.0,143.0,39.0,7.0,5.0,736.0,4549.0
5,138.0,1896.0,1674.0,4.0,6.0,8.0,34.0,10.0,22.0,10.0,15.0,54.0,49.0,21.0,169.0,21.0,85.0,8.0,8.0,107.0,22.0,6.0,2.0,661.0,5035.0
6,109.0,1774.0,1257.0,14.0,24.0,14.0,43.0,14.0,14.0,23.0,28.0,46.0,58.0,25.0,151.0,36.0,80.0,10.0,16.0,95.0,25.0,13.0,7.0,736.0,4618.0
7,39.0,508.0,223.0,2.0,0.0,0.0,4.0,2.0,2.0,4.0,3.0,3.0,14.0,6.0,30.0,4.0,16.0,1.0,3.0,12.0,2.0,0.0,2.0,110.0,997.0
8,81.0,2134.0,2238.0,8.0,20.0,17.0,99.0,37.0,25.0,28.0,67.0,161.0,87.0,26.0,215.0,45.0,66.0,32.0,40.0,210.0,66.0,27.0,8.0,1284.0,7029.0
9,14.0,344.0,328.0,0.0,0.0,2.0,9.0,7.0,1.0,3.0,4.0,10.0,9.0,2.0,33.0,2.0,13.0,2.0,1.0,23.0,12.0,1.0,0.0,134.0,963.0
10,18.0,710.0,616.0,2.0,4.0,5.0,35.0,8.0,7.0,13.0,17.0,53.0,28.0,3.0,100.0,29.0,26.0,5.0,9.0,81.0,12.0,7.0,4.0,448.0,2250.0
11,58.0,953.0,1505.0,5.0,56.0,36.0,171.0,56.0,25.0,70.0,97.0,229.0,48.0,13.0,100.0,65.0,41.0,67.0,38.0,246.0,52.0,42.0,19.0,1476.0,5479.0
12,12.0,185.0,90.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,3.0,18.0,1.0,7.0,0.0,0.0,2.0,3.0,0.0,0.0,41.0,381.0
13,15.0,103.0,98.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,6.0,5.0,1.0,6.0,3.0,3.0,2.0,0.0,11.0,0.0,0.0,2.0,47.0,323.0
14,55.0,1302.0,693.0,4.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,7.0,39.0,8.0,161.0,11.0,49.0,0.0,2.0,52.0,18.0,1.0,1.0,361.0,2786.0
15,38.0,944.0,878.0,5.0,6.0,7.0,34.0,11.0,8.0,13.0,16.0,35.0,31.0,11.0,124.0,19.0,31.0,7.0,5.0,82.0,16.0,6.0,1.0,468.0,2811.0
16,135.0,2965.0,2019.0,5.0,2.0,2.0,22.0,11.0,8.0,7.0,5.0,25.0,49.0,34.0,249.0,14.0,77.0,4.0,11.0,137.0,32.0,1.0,2.0,697.0,6529.0
17,47.0,497.0,328.0,4.0,1.0,2.0,17.0,5.0,7.0,5.0,2.0,5.0,16.0,8.0,31.0,10.0,25.0,2.0,6.0,23.0,8.0,0.0,0.0,177.0,1243.0
18,18.0,765.0,316.0,2.0,0.0,2.0,6.0,3.0,1.0,2.0,7.0,3.0,14.0,7.0,54.0,6.0,18.0,2.0,2.0,29.0,3.0,0.0,0.0,161.0,1439.0
19,204.0,2298.0,2050.0,13.0,18.0,18.0,52.0,34.0,30.0,17.0,19.0,50.0,74.0,36.0,240.0,36.0,89.0,19.0,16.0,142.0,34.0,12.0,11.0,960.0,6491.0
20,107.0,1359.0,1868.0,5.0,26.0,5.0,110.0,42.0,20.0,6.0,11.0,101.0,50.0,13.0,125.0,25.0,62.0,12.0,12.0,117.0,33.0,12.0,10.0,797.0,4948.0
