ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
0,10.0,68.0,125.0,1.0,0.0,1.0,5.0,1.0,0.0,1.0,1.0,6.0,1.0,0.0,3.0,5.0,4.0,1.0,1.0,8.0,1.0,0.0,0.0,40.0,283.0
1,20.0,185.0,127.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,6.0,3.0,0.0,9.0,5.0,17.0,0.0,0.0,5.0,1.0,0.0,0.0,54.0,441.0
2,67.0,430.0,1077.0,5.0,36.0,17.0,77.0,20.0,48.0,19.0,47.0,79.0,26.0,5.0,34.0,25.0,49.0,33.0,25.0,122.0,13.0,12.0,6.0,698.0,2972.0
3,5.0,37.0,142.0,2.0,1.0,2.0,19.0,6.0,4.0,1.0,2.0,12.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,16.0,8.0,2.0,0.0,90.0,367.0
4,1.0,62.0,174.0,0.0,0.0,3.0,8.0,5.0,1.0,2.0,1.0,15.0,2.0,0.0,4.0,4.0,1.0,1.0,5.0,21.0,7.0,0.0,0.0,80.0,401.0
5,27.0,137.0,221.0,2.0,3.0,1.0,4.0,0.0,20.0,4.0,7.0,20.0,6.0,1.0,7.0,14.0,21.0,2.0,0.0,15.0,4.0,2.0,2.0,135.0,660.0
6,41.0,260.0,408.0,3.0,6.0,5.0,17.0,2.0,5.0,9.0,7.0,10.0,14.0,1.0,12.0,14.0,12.0,6.0,14.0,22.0,9.0,1.0,4.0,173.0,1061.0
7,20.0,85.0,57.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,7.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,27.0,223.0
8,23.0,242.0,684.0,8.0,2.0,9.0,32.0,15.0,15.0,9.0,18.0,40.0,6.0,1.0,16.0,19.0,23.0,13.0,7.0,49.0,20.0,8.0,7.0,317.0,1591.0
9,17.0,74.0,227.0,2.0,1.0,2.0,13.0,4.0,1.0,1.0,0.0,8.0,1.0,1.0,1.0,0.0,5.0,0.0,1.0,15.0,4.0,3.0,0.0,63.0,453.0
10,9.0,122.0,306.0,1.0,7.0,5.0,8.0,4.0,14.0,8.0,7.0,36.0,8.0,3.0,8.0,3.0,4.0,5.0,2.0,20.0,34.0,3.0,3.0,183.0,813.0
11,48.0,318.0,995.0,3.0,22.0,14.0,73.0,11.0,33.0,32.0,60.0,71.0,18.0,1.0,19.0,26.0,69.0,23.0,20.0,119.0,13.0,13.0,6.0,646.0,2664.0
12,4.0,31.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,70.0
13,7.0,38.0,40.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,6.0,0.0,1.0,0.0,20.0,138.0
14,9.0,123.0,96.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,22.0,286.0
15,9.0,99.0,136.0,0.0,1.0,0.0,9.0,2.0,3.0,5.0,6.0,4.0,3.0,1.0,4.0,5.0,3.0,0.0,3.0,7.0,1.0,1.0,0.0,58.0,375.0
16,11.0,189.0,150.0,1.0,0.0,0.0,8.0,1.0,4.0,1.0,0.0,3.0,2.0,3.0,6.0,0.0,6.0,0.0,1.0,12.0,4.0,2.0,0.0,54.0,474.0
17,22.0,208.0,199.0,5.0,7.0,0.0,7.0,2.0,3.0,4.0,0.0,4.0,6.0,2.0,9.0,13.0,8.0,1.0,0.0,15.0,2.0,0.0,1.0,89.0,624.0
18,6.0,51.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,11.0,123.0
19,53.0,193.0,307.0,6.0,2.0,3.0,11.0,2.0,3.0,3.0,5.0,14.0,7.0,2.0,11.0,3.0,12.0,5.0,4.0,17.0,8.0,3.0,2.0,123.0,818.0
