ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
0,4.0,24.0,44.0,2.0,0.0,0.0,8.0,1.0,0.0,2.0,0.0,4.0,2.0,0.0,4.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,35.0,142.0
1,6.0,28.0,27.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,98.0
2,9.0,90.0,262.0,2.0,2.0,6.0,21.0,2.0,3.0,6.0,7.0,26.0,15.0,5.0,27.0,10.0,4.0,0.0,10.0,32.0,6.0,1.0,1.0,186.0,735.0
3,4.0,25.0,96.0,1.0,5.0,0.0,12.0,5.0,2.0,2.0,4.0,16.0,6.0,0.0,4.0,1.0,2.0,8.0,2.0,6.0,5.0,0.0,1.0,82.0,292.0
4,5.0,19.0,40.0,0.0,1.0,0.0,5.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,6.0,3.0,0.0,0.0,31.0,130.0
5,3.0,22.0,44.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,8.0,5.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,28.0,130.0
6,5.0,34.0,40.0,4.0,0.0,4.0,6.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,4.0,1.0,0.0,0.0,0.0,10.0,0.0,1.0,3.0,40.0,165.0
7,1.0,16.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,18.0,79.0
8,9.0,66.0,132.0,3.0,3.0,0.0,17.0,2.0,8.0,4.0,1.0,5.0,6.0,3.0,20.0,8.0,1.0,3.0,4.0,12.0,5.0,1.0,3.0,109.0,433.0
9,7.0,53.0,101.0,0.0,0.0,3.0,22.0,0.0,12.0,0.0,0.0,3.0,19.0,6.0,15.0,1.0,6.0,0.0,0.0,12.0,0.0,0.0,1.0,100.0,370.0
10,0.0,76.0,90.0,0.0,0.0,4.0,10.0,4.0,3.0,1.0,2.0,11.0,20.0,1.0,11.0,7.0,1.0,5.0,7.0,12.0,1.0,0.0,2.0,102.0,380.0
11,9.0,75.0,653.0,1.0,1.0,4.0,34.0,3.0,9.0,1.0,3.0,18.0,10.0,0.0,19.0,11.0,6.0,4.0,9.0,41.0,21.0,0.0,4.0,199.0,1146.0
12,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,26.0
13,2.0,8.0,27.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,70.0
14,1.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,46.0
15,5.0,21.0,26.0,2.0,0.0,1.0,4.0,0.0,1.0,4.0,0.0,4.0,1.0,2.0,4.0,1.0,8.0,0.0,2.0,2.0,3.0,0.0,1.0,40.0,147.0
16,6.0,18.0,35.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,10.0,95.0
17,11.0,15.0,28.0,3.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,4.0,15.0,3.0,7.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,49.0,169.0
18,1.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,40.0
19,13.0,46.0,53.0,3.0,3.0,1.0,12.0,0.0,1.0,0.0,1.0,6.0,3.0,4.0,7.0,2.0,8.0,3.0,0.0,4.0,1.0,6.0,6.0,71.0,273.0
20,7.0,44.0,117.0,0.0,5.0,2.0,25.0,0.0,3.0,3.0,3.0,7.0,5.0,3.0,4.0,4.0,7.0,2.0,4.0,5.0,3.0,5.0,0.0,90.0,368.0
21,1.0,18.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,8.0,0.0,5.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,27.0,108.0
22,2.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,37.0
23,1.0,16.0,14.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,68.0
