0,4,8,6,39,17,42,4,16,2,0,1,19,19,1,100,6,36,14,1,0,21,0,0,45,34,2,0,0,7,61,0
17,21,739,126,833,224,132,168,1,464,12,41,111,111,0,16,2,11,33,111,6,55,10,97,511,27,4,11,2,191,1,202
0,10,3,3,4,0,144,0,6,4,1,7,9,8,5,10,22,19,26,4,0,36,3,1,0,151,7,14,10,7,10,32
1,23,194,89,69,280,211,0,3,8,8,3,11,126,6,130,23,110,223,32,3,26,14,14,121,154,0,0,14,173,30,65
16,178,6,6,9,0,36,135,3,515,0,0,33,26,38,51,56,70,73,51,0,8,0,0,0,62,34,1,2,0,1,67
0,2,0,0,0,0,0,0,3,22,0,0,1,0,111,0,56,0,14,4,0,0,0,0,0,8,0,0,42,0,28,9
24,17,59,111,30,112,30,29,33,14,111,217,3,138,1,9,258,10,126,22,111,111,879,991,38,71,41,765,66,111,1,14
3,29,39,4,109,8,24,90,4,254,0,8,337,11,0,7,2,3,4,366,1,34,0,0,19,58,8,1,0,19,2,456
28,120,58,49,34,6,235,273,1,345,3,9,537,455,1,23,21,18,108,111,0,38,0,0,37,218,7,3,0,82,2,231
10,170,73,25,216,43,20,45,21,27,148,111,19,30,1,12,18,23,2,8,8,400,31,399,61,1,52,290,1,313,24,21
0,0,47,0,276,99,7,0,17,8,0,0,175,3,46,13,43,6,92,70,1,8,0,0,170,20,1,0,2,1,607,5
146,111,2,153,44,54,27,543,811,0,46,64,26,157,0,111,4,491,3,4,30,34,21,174,114,9,870,32,2,143,293,2
1,190,16,3,51,21,22,13,309,0,0,18,15,12,0,368,3,244,12,1,0,104,0,5,158,113,45,0,2,61,216,19
49,111,10,55,36,20,288,111,160,11,79,387,29,111,0,111,11,111,15,27,37,338,2,111,202,101,113,19,1,870,167,72
19,21,90,636,24,14,457,27,189,26,65,3,42,840,101,82,176,72,927,118,73,11,130,13,24,495,88,1,819,612,24,34
57,67,303,111,70,148,122,90,793,20,574,4,5,111,14,81,106,22,471,101,111,309,111,490,78,94,141,61,855,111,10,69
3,25,26,470,25,14,111,13,6,21,101,134,83,669,3,80,90,214,408,81,9,252,35,50,11,111,26,11,39,729,8,21
0,0,24,204,0,6,1,2,7,2,118,11,4,1,0,0,27,2,2,0,105,180,286,52,0,0,22,455,12,31,1,10
4,27,979,64,111,990,40,138,0,294,28,60,228,395,0,19,6,21,10,369,48,38,6,142,605,8,0,43,0,101,0,222
0,0,8,4,1,3,5,3,17,13,0,0,0,22,41,8,23,0,32,9,7,1,0,0,1,5,4,0,344,0,15,22
30,64,1,81,4,0,144,85,358,16,10,4,109,107,4,28,15,1,101,83,3,14,10,2,0,180,188,1,3,155,6,0
92,663,144,352,1,1,91,781,24,107,1,1,488,294,23,47,102,161,21,164,391,925,116,6423,2751,110,52,1014,2,901,37,41
9,138,6,44,35,39,98,256,175,0,2,17,11,388,0,1262,10,608,15,8,0,27,0,9,112,47,99,3,0,141,210,17
2,9,13,76,15,2,1017,2,2,28,7,4,27,92,28,61,63,22,546,50,0,27,7,4,1,314,7,0,23,7,18,12
6,14,115,21,4316,110,53,99,51,219,1,76,3042,219,0,6,4,18,7,2542,0,139,3,72,4616,18,4,9,0,89,4,259
27,88,465,92,25,12,132,274,1,127,7,9,31,1148,1,45,4,79,91,475,29,12,7,71,113,29,13,0,1,49,2,498
0,1,9,0,1,0,89,0,2,30,0,0,21,15,289,28,108,16,321,27,0,2,1,0,2,86,1,0,37,0,44,6
0,3,63,1,180,40,6,3,2,60,5,18,74,11,0,3,0,1,3,129,1,3,2,4,193,8,0,6,0,7,0,97
1,347,4,4,3,4,6,324,196,1,4,137,3,24,0,174,6,185,2,0,3,13,1,13,9,22,90,2,7,10,97,18
0,1,16,92,5,4,6,2,55,1,16,1,0,23,3,2,10,1,49,2,889,5,75,25,1,0,10,13,462,49,2,12
84,47,227,3321,72,209,310,96,143,8,907,122,37,1615,10,51,226,73,775,91,2170,1283,1211,934,116,725,114,132,175,5871,5,18
2,18,7,86,115,80,43,76,695,0,5,14,41,200,0,385,5,16,12,13,29,13,7,60,157,6,270,5,5,46,103,2
0,19,7,20,87,50,86,1,57,3,1,5,37,67,0,326,20,98,63,11,0,45,0,0,144,59,16,3,3,36,282,5
