2,82,37,43,98,108,63,19,203,5,0,4,17,25,0,1565,25,332,82,4,0,98,1,0,75,54,43,2,0,33,764,14
12,43,1510,138,1194,882,48,65,0,1278,2,35,1780,70,0,8,4,6,29,3203,3,75,12,46,381,35,5,28,0,83,0,326
1,57,18,12,18,2,1827,7,37,48,1,42,51,55,14,208,261,128,368,196,0,290,2,4,5,1281,8,11,13,32,49,160
0,168,818,282,141,671,541,2,3,52,7,6,50,244,21,285,216,275,1106,117,2,175,10,10,158,337,6,37,21,129,144,142
41,242,12,12,21,0,24,152,13,4057,0,0,394,4,48,65,72,99,142,617,0,23,0,0,2,57,130,6,2,4,9,542
0,16,2,0,3,0,8,0,18,140,0,0,20,4,6278,34,546,44,347,46,0,3,0,0,1,64,3,0,60,0,209,94
12,6,55,628,52,66,34,35,12,1,996,172,2,191,3,18,357,16,171,16,282,1129,524,418,29,86,31,586,31,396,4,14
15,141,125,26,1870,38,48,153,0,2291,1,34,3128,8,0,4,7,24,25,4885,0,404,1,0,120,209,34,18,0,85,9,2266
70,258,298,229,418,40,273,299,5,4044,2,13,2289,57,3,12,28,40,183,7481,0,300,0,2,153,166,83,24,0,123,11,1581
9,119,108,176,202,104,23,119,52,51,63,1332,18,31,5,31,7,11,6,24,4,323,24,318,118,17,75,217,1,226,48,46
0,31,235,3,356,269,10,0,221,26,0,0,170,4,138,168,110,191,199,103,1,31,1,1,143,43,16,4,2,4,3227,33
349,847,2,118,33,19,39,422,346,1,14,64,25,76,0,1052,4,403,24,9,12,50,15,105,64,18,1711,33,0,83,529,13
2,2713,54,18,225,104,51,121,1288,6,3,34,46,12,0,4183,17,2866,69,10,0,632,0,4,168,264,91,28,4,141,1820,72
63,4232,16,104,60,19,159,2459,157,12,22,207,18,258,1,1012,25,1419,22,8,9,532,5,388,118,47,382,49,1,394,232,115
19,36,196,1330,16,55,1637,8,83,135,81,11,128,1250,186,211,1014,88,2855,261,41,53,105,40,16,912,190,45,663,117,96,74
27,7,182,1016,24,79,147,23,93,18,364,5,22,671,31,60,311,17,613,32,925,101,726,216,30,165,100,99,484,453,19,25
33,62,71,1154,69,103,3172,28,4,41,118,503,76,913,11,195,644,98,1466,89,6,722,42,135,30,1740,48,166,61,578,26,37
3,9,40,383,3,12,1,11,13,2,161,21,4,15,0,1,33,1,16,1,165,188,511,83,6,0,39,580,10,32,2,17
6,39,2020,101,1098,2303,30,49,0,496,19,60,330,43,0,11,15,25,34,719,19,45,9,114,575,12,1,66,0,58,0,291
0,4,40,36,4,1,71,7,148,122,0,0,5,267,428,52,513,9,409,85,92,4,0,1,4,17,35,1,994,0,170,225
74,40,7,222,164,2,732,62,356,147,4,7,300,265,25,89,267,5,448,214,0,50,6,11,5,299,577,9,16,67,32,3
114,719,400,436,2726,1181,66,708,21,178,546,3138,277,100,5,44,52,72,36,165,76,1028,65,2692,2525,83,168,768,1,604,70,70
51,700,25,96,65,92,94,503,764,4,3,44,11,92,0,3867,11,1380,41,7,0,172,2,5,164,67,366,28,0,145,843,48
16,210,131,417,258,78,5938,7,37,205,9,45,172,568,94,375,1219,91,5043,399,3,263,12,40,11,3073,89,54,130,26,123,52
9,35,294,38,5833,179,90,84,42,824,2,129,3028,49,0,3,10,19,14,2176,0,327,0,29,1728,40,4,24,0,108,10,442
26,231,674,100,49,52,55,172,2,963,6,6,1157,74,1,30,27,44,86,1248,26,31,16,30,177,21,38,16,5,24,6,858
0,66,55,49,36,5,1521,2,45,378,1,0,278,190,1707,342,1698,206,4882,389,7,34,1,0,4,1573,31,4,116,0,380,66
0,2,75,2,162,48,7,9,19,188,3,14,184,10,0,2,4,6,7,388,2,11,1,19,95,6,3,10,0,3,1,236
9,366,9,3,10,12,8,224,266,5,12,183,14,19,0,379,10,378,11,3,2,13,4,5,22,33,143,24,3,10,234,29
7,3,54,217,7,5,15,5,75,11,26,0,3,130,18,9,94,1,113,17,1543,3,171,118,15,7,38,13,801,38,17,73
78,49,111,1291,34,176,362,28,16,21,511,147,64,757,6,66,451,74,859,38,243,649,490,377,28,1017,80,237,83,975,11,27
2,41,43,151,242,90,46,99,968,12,3,8,58,90,1,874,52,92,49,33,14,29,25,54,138,15,464,14,5,76,633,16
0,233,61,101,208,155,148,28,521,12,0,7,44,40,1,3772,37,921,157,21,1,263,0,0,195,133,109,6,1,109,2034,38
