ihp_cluster,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_525
55,125.0,226.0,28.0,15.0,281.0,25.0,89.0,87.0,39.0,49.0,87.0,6.0,95.0,79.0,12.0,0.0,0.0
56,87.0,208.0,23.0,18.0,206.0,28.0,58.0,54.0,36.0,37.0,84.0,5.0,84.0,69.0,8.0,0.0,0.0
57,9.0,8.0,9.0,2.0,8.0,3.0,14.0,6.0,4.0,4.0,4.0,0.0,1.0,8.0,0.0,0.0,0.0
58,319.0,742.0,45.0,25.0,695.0,51.0,167.0,323.0,97.0,76.0,249.0,12.0,217.0,267.0,11.0,0.0,0.0
59,24.0,37.0,1.0,0.0,37.0,5.0,8.0,23.0,12.0,1.0,23.0,0.0,17.0,11.0,1.0,0.0,0.0
60,252.0,306.0,76.0,86.0,348.0,65.0,347.0,127.0,40.0,119.0,136.0,20.0,101.0,161.0,48.0,0.0,0.0
61,5.0,23.0,5.0,5.0,23.0,3.0,19.0,2.0,5.0,10.0,13.0,0.0,14.0,6.0,1.0,0.0,0.0
62,25.0,35.0,17.0,8.0,32.0,6.0,22.0,12.0,6.0,13.0,7.0,1.0,11.0,9.0,5.0,0.0,0.0
63,16.0,36.0,0.0,0.0,32.0,1.0,6.0,12.0,7.0,2.0,11.0,0.0,6.0,11.0,1.0,0.0,0.0
64,1.0,2.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
65,39.0,81.0,6.0,3.0,68.0,7.0,21.0,21.0,13.0,8.0,30.0,0.0,23.0,24.0,3.0,0.0,0.0
66,11.0,30.0,2.0,3.0,28.0,2.0,9.0,13.0,6.0,5.0,9.0,3.0,10.0,11.0,1.0,0.0,0.0
67,144.0,343.0,26.0,18.0,321.0,36.0,109.0,121.0,50.0,43.0,100.0,7.0,108.0,107.0,13.0,0.0,0.0
68,5.0,8.0,0.0,0.0,12.0,2.0,7.0,2.0,1.0,2.0,3.0,0.0,3.0,4.0,1.0,0.0,0.0
69,138.0,164.0,52.0,64.0,222.0,44.0,177.0,66.0,47.0,115.0,87.0,20.0,71.0,87.0,41.0,0.0,0.0
70,3.0,8.0,1.0,0.0,7.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
71,33.0,53.0,4.0,4.0,56.0,4.0,46.0,17.0,5.0,10.0,19.0,3.0,14.0,17.0,1.0,0.0,0.0
