ihp_cluster,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_525
0,32.0,30.0,14.0,28.0,30.0,11.0,51.0,19.0,7.0,22.0,21.0,16.0,8.0,18.0,10.0,0.0,0.0
1,17.0,26.0,3.0,4.0,21.0,5.0,16.0,16.0,14.0,13.0,13.0,6.0,15.0,6.0,2.0,0.0,0.0
2,21.0,34.0,3.0,6.0,31.0,5.0,25.0,23.0,18.0,17.0,17.0,11.0,17.0,12.0,2.0,0.0,0.0
3,7.0,29.0,1.0,6.0,25.0,9.0,14.0,24.0,12.0,12.0,9.0,8.0,16.0,11.0,0.0,0.0,0.0
4,7.0,14.0,2.0,4.0,14.0,3.0,25.0,3.0,4.0,6.0,4.0,11.0,5.0,12.0,1.0,0.0,0.0
5,44.0,7.0,40.0,46.0,35.0,3.0,95.0,7.0,19.0,53.0,13.0,24.0,1.0,23.0,17.0,0.0,0.0
6,11.0,21.0,6.0,3.0,17.0,8.0,11.0,10.0,7.0,8.0,7.0,6.0,8.0,13.0,4.0,0.0,0.0
7,14.0,21.0,11.0,5.0,12.0,4.0,17.0,9.0,6.0,14.0,15.0,2.0,4.0,5.0,4.0,0.0,0.0
8,15.0,34.0,8.0,8.0,34.0,5.0,20.0,12.0,10.0,11.0,12.0,12.0,7.0,9.0,2.0,0.0,0.0
9,3.0,19.0,1.0,3.0,13.0,3.0,3.0,5.0,8.0,4.0,7.0,3.0,7.0,5.0,0.0,0.0,0.0
10,7.0,15.0,5.0,6.0,13.0,6.0,14.0,10.0,10.0,15.0,9.0,3.0,7.0,2.0,0.0,0.0,0.0
11,4.0,8.0,5.0,8.0,13.0,1.0,29.0,2.0,5.0,13.0,4.0,4.0,0.0,5.0,2.0,0.0,0.0
12,19.0,6.0,9.0,10.0,13.0,4.0,48.0,10.0,2.0,19.0,9.0,8.0,4.0,9.0,8.0,0.0,0.0
13,5.0,18.0,0.0,2.0,9.0,5.0,7.0,10.0,10.0,3.0,5.0,3.0,8.0,8.0,3.0,0.0,0.0
14,2.0,5.0,1.0,0.0,7.0,1.0,2.0,3.0,1.0,0.0,2.0,2.0,5.0,5.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16,66.0,30.0,73.0,67.0,52.0,11.0,132.0,16.0,14.0,60.0,22.0,43.0,5.0,38.0,29.0,0.0,0.0
17,3.0,5.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,4.0,2.0,1.0,0.0,0.0
18,7.0,1.0,5.0,3.0,3.0,4.0,11.0,1.0,1.0,10.0,2.0,1.0,3.0,2.0,2.0,0.0,0.0
19,7.0,9.0,4.0,4.0,18.0,2.0,37.0,6.0,2.0,28.0,5.0,3.0,4.0,10.0,5.0,0.0,0.0
20,21.0,49.0,7.0,10.0,27.0,14.0,12.0,34.0,20.0,12.0,9.0,7.0,28.0,18.0,5.0,0.0,0.0
21,22.0,33.0,9.0,21.0,33.0,11.0,68.0,24.0,8.0,23.0,16.0,21.0,23.0,17.0,6.0,0.0,0.0
22,77.0,36.0,54.0,68.0,78.0,11.0,107.0,16.0,29.0,85.0,22.0,63.0,20.0,43.0,52.0,0.0,0.0
23,29.0,50.0,13.0,18.0,34.0,11.0,59.0,24.0,17.0,15.0,12.0,8.0,20.0,21.0,12.0,0.0,0.0
24,14.0,60.0,4.0,8.0,38.0,6.0,10.0,25.0,28.0,5.0,9.0,2.0,27.0,11.0,0.0,0.0,0.0
25,16.0,16.0,18.0,11.0,13.0,2.0,28.0,7.0,7.0,22.0,8.0,3.0,6.0,12.0,8.0,0.0,0.0
26,13.0,9.0,10.0,7.0,14.0,3.0,21.0,4.0,2.0,5.0,7.0,5.0,3.0,10.0,7.0,0.0,0.0
27,3.0,13.0,0.0,0.0,12.0,1.0,6.0,4.0,3.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
28,55.0,113.0,16.0,20.0,82.0,29.0,58.0,86.0,42.0,35.0,32.0,29.0,52.0,36.0,12.0,0.0,0.0
29,5.0,1.0,3.0,5.0,1.0,2.0,7.0,5.0,1.0,3.0,2.0,5.0,1.0,1.0,2.0,0.0,0.0
30,12.0,44.0,4.0,6.0,27.0,5.0,21.0,26.0,8.0,18.0,12.0,8.0,24.0,17.0,9.0,0.0,0.0
31,5.0,2.0,4.0,4.0,10.0,1.0,41.0,2.0,5.0,15.0,2.0,7.0,5.0,5.0,2.0,0.0,0.0
32,22.0,73.0,3.0,8.0,60.0,18.0,17.0,29.0,34.0,20.0,23.0,11.0,36.0,34.0,6.0,0.0,0.0
33,3.0,6.0,1.0,0.0,6.0,1.0,2.0,2.0,0.0,3.0,7.0,0.0,4.0,2.0,0.0,0.0,0.0
34,20.0,8.0,10.0,11.0,17.0,3.0,35.0,6.0,9.0,17.0,5.0,8.0,3.0,7.0,8.0,0.0,0.0
35,8.0,21.0,2.0,6.0,18.0,3.0,17.0,15.0,7.0,7.0,10.0,9.0,8.0,11.0,1.0,0.0,0.0
36,35.0,16.0,20.0,28.0,15.0,6.0,36.0,6.0,5.0,19.0,12.0,16.0,3.0,10.0,7.0,0.0,0.0
37,19.0,24.0,8.0,12.0,17.0,8.0,28.0,13.0,16.0,11.0,12.0,8.0,9.0,12.0,7.0,0.0,0.0
38,27.0,82.0,6.0,7.0,55.0,14.0,34.0,44.0,29.0,38.0,19.0,14.0,41.0,36.0,6.0,0.0,0.0
39,5.0,6.0,7.0,6.0,6.0,3.0,39.0,2.0,2.0,10.0,6.0,10.0,2.0,15.0,4.0,0.0,0.0
40,5.0,3.0,5.0,4.0,8.0,0.0,16.0,3.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,0.0,0.0
41,13.0,25.0,4.0,5.0,23.0,5.0,19.0,6.0,5.0,8.0,6.0,4.0,6.0,7.0,4.0,0.0,0.0
42,6.0,2.0,1.0,2.0,7.0,2.0,8.0,5.0,1.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,0.0
43,5.0,33.0,1.0,3.0,34.0,0.0,11.0,14.0,8.0,15.0,9.0,1.0,12.0,6.0,2.0,0.0,0.0
44,32.0,70.0,7.0,8.0,51.0,16.0,36.0,32.0,30.0,21.0,21.0,19.0,33.0,25.0,4.0,0.0,0.0
45,4.0,3.0,2.0,1.0,7.0,1.0,11.0,0.0,1.0,9.0,3.0,4.0,0.0,3.0,1.0,0.0,0.0
46,8.0,13.0,9.0,16.0,23.0,5.0,41.0,11.0,2.0,19.0,2.0,21.0,2.0,10.0,7.0,0.0,0.0
47,19.0,17.0,10.0,14.0,18.0,7.0,25.0,20.0,13.0,10.0,16.0,14.0,18.0,3.0,10.0,0.0,0.0
48,69.0,54.0,50.0,47.0,52.0,17.0,124.0,33.0,18.0,52.0,22.0,65.0,19.0,27.0,34.0,0.0,0.0
49,12.0,15.0,5.0,10.0,13.0,5.0,11.0,7.0,2.0,9.0,8.0,9.0,3.0,12.0,4.0,0.0,0.0
