ihp_cluster,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_525
0,19.0,6.0,4.0,4.0,8.0,4.0,17.0,2.0,1.0,4.0,10.0,2.0,0.0,7.0,2.0,0.0,0.0
1,5.0,7.0,0.0,2.0,5.0,6.0,1.0,3.0,6.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2,10.0,5.0,3.0,0.0,7.0,6.0,8.0,4.0,5.0,4.0,5.0,0.0,7.0,3.0,2.0,0.0,0.0
3,5.0,1.0,1.0,0.0,5.0,3.0,3.0,2.0,1.0,0.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0
4,19.0,12.0,8.0,7.0,12.0,8.0,21.0,3.0,2.0,6.0,7.0,1.0,5.0,5.0,7.0,0.0,0.0
5,44.0,11.0,34.0,32.0,52.0,9.0,71.0,7.0,6.0,25.0,4.0,8.0,4.0,11.0,21.0,0.0,0.0
6,6.0,6.0,2.0,1.0,3.0,2.0,3.0,1.0,0.0,3.0,7.0,0.0,1.0,3.0,1.0,0.0,0.0
7,6.0,1.0,1.0,0.0,6.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0
8,3.0,8.0,2.0,1.0,6.0,2.0,0.0,1.0,1.0,3.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0
9,0.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
10,7.0,8.0,4.0,1.0,5.0,1.0,5.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4.0,1.0,1.0,1.0,2.0,0.0,8.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0
12,78.0,31.0,28.0,18.0,36.0,10.0,124.0,8.0,14.0,37.0,22.0,10.0,13.0,22.0,16.0,0.0,0.0
13,1.0,3.0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0
14,3.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
16,29.0,15.0,20.0,21.0,38.0,5.0,51.0,3.0,4.0,14.0,6.0,0.0,5.0,6.0,10.0,0.0,0.0
17,1.0,8.0,1.0,0.0,4.0,1.0,2.0,1.0,3.0,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0
18,3.0,4.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
19,0.0,1.0,2.0,6.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
20,9.0,11.0,1.0,3.0,4.0,9.0,5.0,1.0,2.0,4.0,7.0,0.0,7.0,1.0,2.0,0.0,0.0
21,19.0,14.0,6.0,12.0,15.0,9.0,18.0,3.0,11.0,13.0,9.0,1.0,5.0,7.0,2.0,0.0,0.0
22,53.0,15.0,19.0,27.0,27.0,5.0,35.0,6.0,14.0,49.0,12.0,12.0,9.0,22.0,16.0,0.0,0.0
