ihp_cluster,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_525
0,22.0,10.0,10.0,7.0,14.0,3.0,46.0,6.0,3.0,17.0,6.0,0.0,2.0,7.0,16.0,0.0,0.0
1,5.0,12.0,1.0,1.0,10.0,6.0,4.0,0.0,0.0,1.0,5.0,1.0,6.0,2.0,1.0,0.0,0.0
2,19.0,17.0,3.0,6.0,16.0,7.0,10.0,1.0,8.0,4.0,11.0,0.0,2.0,5.0,5.0,0.0,0.0
3,4.0,5.0,5.0,0.0,6.0,6.0,6.0,1.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
4,5.0,3.0,0.0,0.0,6.0,1.0,11.0,1.0,4.0,1.0,7.0,0.0,1.0,2.0,1.0,0.0,0.0
5,90.0,13.0,70.0,92.0,69.0,9.0,183.0,4.0,30.0,105.0,23.0,32.0,5.0,51.0,31.0,0.0,0.0
6,19.0,17.0,0.0,3.0,18.0,5.0,8.0,2.0,4.0,5.0,10.0,0.0,3.0,5.0,0.0,0.0,0.0
7,2.0,4.0,4.0,0.0,9.0,0.0,9.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
8,20.0,18.0,3.0,3.0,16.0,6.0,12.0,6.0,7.0,2.0,13.0,1.0,6.0,4.0,5.0,0.0,0.0
9,1.0,5.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
10,1.0,3.0,2.0,1.0,0.0,1.0,6.0,0.0,1.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
11,6.0,0.0,2.0,1.0,1.0,0.0,8.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
12,29.0,4.0,5.0,2.0,14.0,3.0,20.0,1.0,1.0,3.0,13.0,2.0,5.0,4.0,7.0,0.0,0.0
13,4.0,2.0,0.0,0.0,7.0,3.0,2.0,0.0,1.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0
14,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
16,78.0,13.0,37.0,43.0,65.0,12.0,103.0,12.0,14.0,41.0,22.0,19.0,4.0,44.0,33.0,0.0,0.0
17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
18,3.0,0.0,1.0,6.0,4.0,2.0,8.0,2.0,0.0,3.0,1.0,4.0,1.0,2.0,4.0,0.0,0.0
19,5.0,0.0,0.0,3.0,1.0,0.0,5.0,0.0,0.0,6.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0
20,6.0,6.0,1.0,0.0,14.0,3.0,4.0,1.0,2.0,1.0,7.0,1.0,2.0,4.0,2.0,0.0,0.0
21,10.0,3.0,2.0,0.0,5.0,2.0,14.0,2.0,3.0,4.0,3.0,0.0,2.0,3.0,5.0,0.0,0.0
22,176.0,33.0,122.0,106.0,213.0,19.0,123.0,12.0,86.0,244.0,38.0,185.0,8.0,339.0,251.0,0.0,0.0
23,17.0,23.0,5.0,7.0,22.0,5.0,30.0,5.0,5.0,10.0,15.0,1.0,7.0,10.0,2.0,0.0,0.0
24,13.0,12.0,0.0,1.0,10.0,3.0,1.0,0.0,6.0,2.0,8.0,0.0,2.0,2.0,4.0,0.0,0.0
25,5.0,2.0,2.0,3.0,4.0,0.0,10.0,0.0,1.0,4.0,4.0,0.0,1.0,1.0,7.0,0.0,0.0
26,30.0,15.0,11.0,12.0,20.0,6.0,31.0,2.0,4.0,12.0,18.0,3.0,7.0,12.0,15.0,0.0,0.0
27,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0
28,15.0,14.0,3.0,5.0,16.0,12.0,11.0,5.0,12.0,7.0,3.0,5.0,11.0,9.0,10.0,0.0,0.0
29,3.0,0.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0
30,13.0,12.0,3.0,1.0,17.0,6.0,6.0,3.0,7.0,5.0,6.0,1.0,1.0,6.0,1.0,0.0,0.0
31,3.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
32,6.0,11.0,4.0,1.0,9.0,3.0,7.0,3.0,6.0,6.0,6.0,1.0,4.0,4.0,0.0,0.0,0.0
33,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
34,40.0,10.0,6.0,8.0,27.0,6.0,35.0,1.0,8.0,7.0,10.0,1.0,5.0,5.0,11.0,0.0,0.0
35,13.0,9.0,4.0,1.0,10.0,4.0,9.0,1.0,5.0,3.0,5.0,3.0,4.0,1.0,2.0,0.0,0.0
36,28.0,5.0,26.0,33.0,30.0,4.0,53.0,3.0,5.0,26.0,8.0,13.0,3.0,13.0,6.0,0.0,0.0
37,2.0,3.0,3.0,2.0,9.0,7.0,20.0,1.0,3.0,7.0,3.0,3.0,5.0,1.0,2.0,0.0,0.0
38,10.0,14.0,2.0,0.0,10.0,12.0,7.0,4.0,6.0,2.0,10.0,2.0,6.0,2.0,2.0,0.0,0.0
39,2.0,1.0,0.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0
40,21.0,5.0,4.0,7.0,5.0,4.0,29.0,2.0,1.0,6.0,3.0,3.0,1.0,5.0,7.0,0.0,0.0
41,3.0,2.0,0.0,2.0,3.0,0.0,3.0,1.0,3.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0
42,1.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
43,4.0,7.0,0.0,0.0,11.0,1.0,2.0,0.0,1.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0
44,4.0,9.0,4.0,1.0,15.0,13.0,6.0,0.0,2.0,3.0,8.0,2.0,5.0,3.0,0.0,0.0,0.0
45,12.0,0.0,1.0,2.0,7.0,2.0,12.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0
46,15.0,3.0,2.0,0.0,15.0,6.0,49.0,0.0,2.0,20.0,3.0,2.0,4.0,5.0,9.0,0.0,0.0
47,6.0,4.0,1.0,5.0,9.0,2.0,4.0,3.0,0.0,1.0,6.0,1.0,1.0,1.0,3.0,0.0,0.0
48,69.0,17.0,24.0,37.0,44.0,12.0,89.0,10.0,12.0,48.0,24.0,13.0,13.0,47.0,35.0,0.0,0.0
49,5.0,3.0,2.0,0.0,7.0,1.0,1.0,4.0,6.0,5.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0
50,4.0,4.0,0.0,0.0,9.0,6.0,6.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0
51,11.0,17.0,4.0,4.0,24.0,15.0,24.0,5.0,7.0,7.0,8.0,2.0,9.0,3.0,9.0,0.0,0.0
52,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
53,3.0,4.0,7.0,2.0,5.0,4.0,3.0,0.0,6.0,4.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0
54,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
55,7.0,1.0,2.0,2.0,3.0,4.0,6.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
56,85.0,17.0,47.0,42.0,59.0,24.0,146.0,7.0,8.0,57.0,20.0,8.0,13.0,41.0,46.0,0.0,0.0
57,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
58,9.0,3.0,4.0,0.0,4.0,10.0,2.0,2.0,1.0,2.0,5.0,2.0,0.0,1.0,2.0,0.0,0.0
59,30.0,8.0,23.0,20.0,18.0,5.0,68.0,6.0,7.0,28.0,9.0,3.0,0.0,26.0,18.0,0.0,0.0
60,1.0,1.0,2.0,4.0,0.0,0.0,3.0,1.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0
61,1.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
62,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
63,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
64,12.0,21.0,6.0,3.0,26.0,13.0,24.0,7.0,10.0,5.0,11.0,4.0,4.0,16.0,10.0,0.0,0.0
65,0.0,1.0,0.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
66,1.0,4.0,1.0,2.0,9.0,0.0,5.0,1.0,0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0
67,16.0,23.0,3.0,1.0,29.0,6.0,9.0,7.0,4.0,3.0,11.0,0.0,9.0,8.0,5.0,0.0,0.0
68,25.0,19.0,10.0,11.0,27.0,19.0,41.0,3.0,3.0,15.0,24.0,4.0,6.0,11.0,8.0,0.0,0.0
69,7.0,3.0,5.0,3.0,6.0,6.0,4.0,4.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0
70,76.0,16.0,19.0,31.0,73.0,8.0,78.0,0.0,32.0,67.0,21.0,23.0,6.0,49.0,35.0,0.0,0.0
