ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
603,57.0,933.0,1356.0,5.0,2.0,2.0,34.0,35.0,16.0,2.0,0.0,13.0,31.0,11.0,60.0,42.0,30.0,3.0,7.0,178.0,205.0,2.0,0.0,678.0,4305.0
604,41.0,478.0,1010.0,1.0,0.0,2.0,7.0,10.0,4.0,5.0,0.0,17.0,11.0,11.0,73.0,17.0,28.0,5.0,4.0,56.0,24.0,4.0,4.0,283.0,2699.0
605,406.0,1963.0,6704.0,10.0,10.0,8.0,62.0,61.0,26.0,11.0,11.0,69.0,80.0,23.0,129.0,78.0,117.0,28.0,27.0,357.0,196.0,6.0,5.0,1314.0,12306.0
606,22.0,364.0,303.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,12.0,4.0,14.0,5.0,18.0,0.0,0.0,11.0,5.0,0.0,0.0,74.0,1443.0
607,335.0,1290.0,2031.0,11.0,4.0,5.0,28.0,17.0,11.0,6.0,4.0,23.0,53.0,20.0,87.0,51.0,79.0,7.0,4.0,99.0,40.0,4.0,6.0,559.0,5381.0
608,72.0,1264.0,925.0,5.0,0.0,0.0,9.0,13.0,6.0,0.0,0.0,0.0,26.0,11.0,83.0,6.0,25.0,0.0,0.0,31.0,6.0,1.0,0.0,222.0,3313.0
609,541.0,3059.0,4774.0,20.0,15.0,5.0,44.0,71.0,29.0,13.0,7.0,72.0,142.0,47.0,235.0,81.0,178.0,23.0,18.0,303.0,169.0,10.0,7.0,1489.0,11961.0
610,191.0,1849.0,2923.0,5.0,6.0,9.0,24.0,20.0,13.0,3.0,1.0,32.0,59.0,21.0,90.0,76.0,92.0,5.0,5.0,135.0,64.0,5.0,3.0,668.0,6909.0
611,51.0,829.0,1476.0,2.0,0.0,2.0,20.0,30.0,8.0,6.0,2.0,18.0,23.0,9.0,80.0,11.0,16.0,3.0,11.0,97.0,38.0,6.0,1.0,383.0,3733.0
612,658.0,4586.0,10214.0,43.0,34.0,33.0,179.0,181.0,78.0,35.0,26.0,316.0,167.0,71.0,281.0,115.0,268.0,44.0,60.0,577.0,287.0,55.0,21.0,2871.0,21812.0
613,64.0,556.0,1058.0,6.0,7.0,1.0,16.0,10.0,8.0,11.0,4.0,16.0,20.0,3.0,46.0,36.0,28.0,4.0,10.0,187.0,33.0,6.0,0.0,452.0,3195.0
614,204.0,1953.0,2922.0,13.0,4.0,7.0,40.0,38.0,12.0,4.0,5.0,35.0,41.0,23.0,78.0,49.0,78.0,8.0,14.0,123.0,44.0,8.0,3.0,627.0,6947.0
615,12.0,181.0,375.0,0.0,1.0,1.0,7.0,4.0,4.0,1.0,1.0,8.0,2.0,0.0,19.0,9.0,8.0,0.0,3.0,20.0,4.0,2.0,0.0,94.0,1371.0
616,96.0,588.0,877.0,2.0,2.0,3.0,8.0,2.0,5.0,1.0,3.0,6.0,15.0,9.0,29.0,8.0,32.0,2.0,4.0,48.0,20.0,0.0,4.0,203.0,2583.0
617,138.0,1351.0,1520.0,5.0,2.0,3.0,28.0,17.0,8.0,4.0,1.0,13.0,34.0,6.0,48.0,24.0,48.0,1.0,5.0,47.0,24.0,2.0,3.0,323.0,4272.0
618,439.0,2684.0,5677.0,11.0,18.0,10.0,38.0,77.0,23.0,5.0,2.0,58.0,123.0,53.0,214.0,93.0,150.0,18.0,22.0,279.0,165.0,17.0,7.0,1383.0,12184.0
619,51.0,466.0,1205.0,11.0,5.0,2.0,13.0,13.0,10.0,4.0,4.0,33.0,17.0,5.0,31.0,34.0,42.0,8.0,10.0,104.0,41.0,1.0,3.0,391.0,3123.0
620,41.0,304.0,260.0,4.0,0.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,15.0,1.0,8.0,4.0,20.0,0.0,0.0,6.0,8.0,0.0,0.0,73.0,1371.0
621,30.0,771.0,845.0,2.0,1.0,0.0,2.0,4.0,2.0,0.0,0.0,1.0,21.0,6.0,55.0,4.0,18.0,1.0,3.0,44.0,23.0,1.0,1.0,189.0,2645.0
622,104.0,725.0,792.0,10.0,0.0,1.0,12.0,7.0,3.0,3.0,0.0,3.0,17.0,8.0,31.0,67.0,38.0,2.0,3.0,44.0,12.0,2.0,4.0,267.0,2777.0
623,63.0,421.0,641.0,4.0,1.0,0.0,4.0,6.0,5.0,3.0,0.0,1.0,18.0,4.0,40.0,12.0,29.0,2.0,0.0,21.0,7.0,4.0,0.0,161.0,2070.0
624,26.0,461.0,669.0,2.0,1.0,0.0,6.0,3.0,2.0,0.0,0.0,1.0,16.0,5.0,30.0,10.0,17.0,2.0,1.0,20.0,5.0,0.0,5.0,126.0,2032.0
625,194.0,1548.0,2173.0,9.0,1.0,1.0,29.0,22.0,13.0,5.0,3.0,8.0,38.0,18.0,55.0,30.0,73.0,1.0,4.0,74.0,33.0,4.0,2.0,423.0,5386.0
626,111.0,1061.0,2411.0,5.0,12.0,5.0,17.0,36.0,16.0,2.0,5.0,35.0,39.0,16.0,88.0,26.0,90.0,6.0,11.0,112.0,36.0,4.0,1.0,562.0,5333.0
627,219.0,2271.0,3251.0,11.0,10.0,6.0,35.0,39.0,9.0,6.0,5.0,40.0,51.0,31.0,123.0,47.0,101.0,6.0,12.0,141.0,56.0,8.0,3.0,740.0,7848.0
628,92.0,1925.0,1840.0,4.0,0.0,0.0,8.0,15.0,6.0,2.0,0.0,12.0,42.0,11.0,102.0,35.0,69.0,2.0,3.0,130.0,43.0,1.0,0.0,485.0,5455.0
629,179.0,1109.0,2214.0,15.0,6.0,8.0,33.0,47.0,17.0,5.0,6.0,54.0,32.0,17.0,67.0,51.0,94.0,12.0,9.0,142.0,48.0,1.0,11.0,675.0,5481.0
630,107.0,672.0,854.0,6.0,2.0,1.0,5.0,10.0,3.0,0.0,1.0,5.0,23.0,4.0,22.0,15.0,49.0,3.0,1.0,43.0,8.0,1.0,2.0,204.0,2671.0
631,49.0,1088.0,902.0,0.0,0.0,3.0,0.0,6.0,2.0,0.0,0.0,3.0,33.0,11.0,87.0,60.0,29.0,0.0,0.0,45.0,19.0,0.0,1.0,299.0,3268.0
632,118.0,1042.0,3079.0,9.0,9.0,3.0,42.0,40.0,12.0,4.0,3.0,38.0,48.0,15.0,72.0,24.0,55.0,7.0,19.0,112.0,49.0,16.0,5.0,582.0,6035.0
633,459.0,2525.0,4275.0,15.0,14.0,11.0,49.0,56.0,31.0,8.0,17.0,80.0,94.0,38.0,178.0,292.0,162.0,14.0,16.0,237.0,85.0,5.0,5.0,1407.0,10706.0
634,111.0,1592.0,1977.0,8.0,4.0,3.0,24.0,22.0,8.0,2.0,2.0,15.0,35.0,9.0,513.0,87.0,83.0,2.0,4.0,113.0,58.0,1.0,3.0,996.0,6306.0
635,28.0,430.0,462.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,2.0,12.0,2.0,16.0,5.0,11.0,0.0,1.0,21.0,9.0,0.0,0.0,88.0,1731.0
636,137.0,764.0,3808.0,9.0,10.0,18.0,69.0,34.0,15.0,7.0,7.0,98.0,16.0,7.0,49.0,48.0,45.0,23.0,17.0,149.0,108.0,9.0,3.0,741.0,6827.0
637,132.0,1047.0,1337.0,9.0,4.0,2.0,10.0,16.0,5.0,5.0,4.0,7.0,25.0,16.0,50.0,13.0,46.0,0.0,3.0,69.0,35.0,2.0,0.0,321.0,3795.0
638,341.0,1867.0,8776.0,13.0,35.0,9.0,74.0,63.0,30.0,15.0,14.0,118.0,57.0,20.0,92.0,141.0,335.0,46.0,43.0,337.0,228.0,36.0,15.0,1721.0,15064.0
639,229.0,1966.0,3053.0,16.0,17.0,8.0,78.0,30.0,39.0,10.0,17.0,74.0,72.0,15.0,137.0,50.0,149.0,9.0,13.0,180.0,90.0,6.0,6.0,1016.0,7919.0
640,39.0,295.0,530.0,9.0,2.0,1.0,7.0,5.0,1.0,3.0,3.0,5.0,12.0,3.0,23.0,12.0,31.0,0.0,2.0,30.0,7.0,1.0,0.0,157.0,1818.0
641,39.0,789.0,1685.0,9.0,4.0,3.0,17.0,14.0,10.0,3.0,6.0,33.0,22.0,6.0,47.0,16.0,26.0,4.0,10.0,77.0,27.0,8.0,2.0,344.0,3842.0
642,24.0,345.0,587.0,1.0,1.0,1.0,9.0,6.0,4.0,1.0,2.0,10.0,15.0,1.0,21.0,9.0,20.0,1.0,1.0,70.0,23.0,2.0,0.0,198.0,1994.0
643,6.0,399.0,376.0,1.0,0.0,0.0,2.0,8.0,7.0,2.0,0.0,0.0,14.0,7.0,45.0,1.0,4.0,0.0,0.0,12.0,2.0,0.0,0.0,105.0,1634.0
644,72.0,764.0,733.0,4.0,0.0,0.0,12.0,7.0,8.0,0.0,0.0,3.0,19.0,5.0,46.0,104.0,56.0,0.0,2.0,25.0,6.0,1.0,0.0,298.0,2809.0
645,75.0,798.0,972.0,4.0,1.0,2.0,5.0,7.0,0.0,0.0,0.0,4.0,16.0,10.0,36.0,5.0,27.0,1.0,2.0,24.0,8.0,0.0,2.0,154.0,2798.0
646,815.0,4429.0,10265.0,45.0,55.0,34.0,184.0,185.0,84.0,19.0,21.0,311.0,167.0,62.0,248.0,128.0,262.0,52.0,66.0,567.0,373.0,59.0,19.0,2941.0,22037.0
647,261.0,2179.0,5423.0,12.0,6.0,8.0,48.0,104.0,22.0,15.0,15.0,83.0,71.0,31.0,158.0,66.0,229.0,21.0,23.0,301.0,172.0,13.0,9.0,1407.0,11324.0
648,34.0,388.0,1094.0,2.0,2.0,3.0,71.0,18.0,12.0,3.0,1.0,18.0,22.0,2.0,33.0,29.0,27.0,5.0,6.0,148.0,31.0,6.0,2.0,441.0,3046.0
649,19.0,594.0,855.0,1.0,1.0,1.0,11.0,32.0,6.0,1.0,0.0,0.0,44.0,7.0,26.0,0.0,17.0,1.0,0.0,37.0,5.0,2.0,3.0,195.0,2507.0
650,72.0,2006.0,2179.0,5.0,0.0,1.0,12.0,22.0,6.0,3.0,0.0,10.0,49.0,19.0,132.0,21.0,66.0,1.0,5.0,135.0,74.0,9.0,0.0,570.0,6047.0
651,180.0,1113.0,1521.0,5.0,1.0,5.0,22.0,14.0,7.0,2.0,5.0,12.0,38.0,9.0,71.0,19.0,60.0,2.0,8.0,72.0,26.0,5.0,2.0,385.0,4235.0
652,194.0,914.0,1449.0,13.0,2.0,3.0,16.0,33.0,3.0,1.0,1.0,9.0,34.0,15.0,64.0,20.0,60.0,3.0,4.0,67.0,32.0,2.0,3.0,385.0,3979.0
653,132.0,1640.0,2154.0,4.0,4.0,6.0,20.0,21.0,10.0,2.0,3.0,10.0,54.0,11.0,57.0,19.0,74.0,1.0,9.0,62.0,19.0,3.0,0.0,389.0,5357.0
654,82.0,654.0,1442.0,6.0,3.0,4.0,12.0,11.0,3.0,3.0,2.0,17.0,25.0,12.0,64.0,67.0,64.0,3.0,12.0,125.0,68.0,1.0,1.0,503.0,3838.0
655,76.0,1349.0,1355.0,3.0,1.0,0.0,10.0,21.0,10.0,5.0,0.0,13.0,30.0,14.0,80.0,13.0,31.0,0.0,6.0,83.0,24.0,3.0,0.0,347.0,4129.0
656,261.0,2016.0,3776.0,13.0,10.0,10.0,40.0,24.0,20.0,8.0,6.0,46.0,56.0,16.0,83.0,41.0,116.0,12.0,9.0,176.0,83.0,5.0,1.0,775.0,8259.0
657,346.0,2638.0,4928.0,16.0,10.0,20.0,45.0,67.0,25.0,4.0,10.0,81.0,86.0,32.0,159.0,106.0,162.0,17.0,125.0,309.0,164.0,9.0,3.0,1450.0,11469.0
658,187.0,2025.0,1865.0,2.0,1.0,1.0,27.0,34.0,1.0,2.0,0.0,6.0,74.0,18.0,87.0,20.0,61.0,2.0,5.0,212.0,54.0,7.0,1.0,615.0,5965.0
659,34.0,585.0,1233.0,6.0,5.0,0.0,8.0,13.0,3.0,1.0,2.0,9.0,23.0,3.0,32.0,4.0,18.0,3.0,5.0,78.0,27.0,1.0,1.0,242.0,2995.0
660,79.0,739.0,2054.0,7.0,17.0,16.0,59.0,24.0,11.0,7.0,8.0,79.0,15.0,8.0,42.0,45.0,55.0,11.0,20.0,282.0,51.0,40.0,7.0,804.0,5140.0
661,79.0,985.0,803.0,4.0,2.0,1.0,3.0,14.0,4.0,1.0,2.0,3.0,24.0,14.0,69.0,4.0,23.0,0.0,2.0,40.0,12.0,1.0,0.0,223.0,2974.0
662,416.0,2721.0,5278.0,20.0,16.0,10.0,64.0,51.0,21.0,11.0,15.0,70.0,87.0,26.0,138.0,66.0,184.0,20.0,16.0,224.0,180.0,19.0,5.0,1243.0,11563.0
663,368.0,2429.0,5052.0,15.0,17.0,25.0,75.0,60.0,24.0,11.0,15.0,103.0,71.0,17.0,123.0,55.0,146.0,23.0,18.0,222.0,92.0,11.0,17.0,1140.0,10792.0
664,38.0,770.0,955.0,1.0,0.0,1.0,6.0,14.0,3.0,2.0,0.0,3.0,21.0,3.0,61.0,30.0,28.0,0.0,2.0,41.0,25.0,0.0,0.0,241.0,2909.0
665,72.0,1072.0,965.0,2.0,0.0,0.0,8.0,10.0,7.0,0.0,1.0,4.0,38.0,11.0,78.0,8.0,23.0,0.0,3.0,29.0,12.0,1.0,0.0,235.0,3244.0
666,69.0,426.0,391.0,1.0,2.0,1.0,5.0,3.0,0.0,0.0,0.0,2.0,14.0,4.0,29.0,2.0,34.0,2.0,2.0,26.0,9.0,1.0,2.0,139.0,1830.0
667,14.0,254.0,269.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,13.0,4.0,10.0,0.0,0.0,7.0,1.0,0.0,0.0,42.0,1288.0
668,51.0,653.0,565.0,2.0,1.0,0.0,6.0,6.0,3.0,1.0,0.0,6.0,10.0,2.0,40.0,8.0,30.0,2.0,0.0,30.0,16.0,1.0,1.0,165.0,2267.0
669,15.0,147.0,132.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,5.0,7.0,0.0,0.0,6.0,1.0,0.0,0.0,25.0,1013.0
670,101.0,1221.0,2865.0,6.0,11.0,8.0,51.0,59.0,18.0,12.0,9.0,97.0,45.0,14.0,114.0,29.0,96.0,14.0,29.0,187.0,57.0,7.0,1.0,864.0,6585.0
671,103.0,680.0,1072.0,7.0,4.0,6.0,21.0,11.0,2.0,1.0,2.0,15.0,16.0,9.0,35.0,25.0,38.0,3.0,6.0,52.0,11.0,17.0,0.0,281.0,3088.0
672,24.0,177.0,111.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,1.0,4.0,3.0,6.0,2.0,0.0,16.0,3.0,0.0,1.0,49.0,1082.0
673,386.0,3112.0,6161.0,13.0,14.0,18.0,105.0,74.0,33.0,18.0,7.0,102.0,105.0,25.0,182.0,65.0,198.0,24.0,27.0,342.0,139.0,15.0,7.0,1513.0,13358.0
674,77.0,1084.0,2203.0,4.0,9.0,1.0,49.0,19.0,12.0,4.0,7.0,44.0,38.0,11.0,66.0,37.0,48.0,13.0,17.0,184.0,53.0,17.0,2.0,635.0,5308.0
675,50.0,360.0,248.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,6.0,3.0,20.0,0.0,2.0,15.0,4.0,0.0,1.0,61.0,1455.0
676,590.0,2497.0,3938.0,27.0,5.0,3.0,48.0,69.0,27.0,15.0,9.0,49.0,109.0,48.0,138.0,65.0,154.0,7.0,11.0,209.0,82.0,3.0,5.0,1083.0,9867.0
677,100.0,1006.0,1562.0,5.0,3.0,5.0,17.0,13.0,16.0,4.0,3.0,28.0,31.0,6.0,45.0,19.0,49.0,2.0,3.0,85.0,27.0,4.0,3.0,368.0,4081.0
678,248.0,1496.0,3579.0,57.0,14.0,14.0,51.0,56.0,15.0,5.0,7.0,63.0,39.0,14.0,81.0,62.0,136.0,9.0,20.0,193.0,91.0,13.0,8.0,948.0,7897.0
679,37.0,476.0,367.0,3.0,0.0,1.0,7.0,1.0,5.0,1.0,0.0,2.0,19.0,10.0,26.0,5.0,15.0,0.0,1.0,19.0,8.0,0.0,2.0,125.0,1809.0
680,105.0,1262.0,1028.0,5.0,3.0,1.0,9.0,13.0,2.0,0.0,1.0,8.0,33.0,12.0,78.0,21.0,50.0,0.0,0.0,66.0,47.0,5.0,0.0,354.0,3783.0
