ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
701,211.0,1285.0,3840.0,31.0,79.0,51.0,372.0,109.0,75.0,28.0,26.0,565.0,104.0,16.0,237.0,71.0,72.0,90.0,100.0,387.0,102.0,93.0,10.0,2618.0,11273.0
702,63.0,481.0,1140.0,6.0,4.0,2.0,27.0,15.0,10.0,2.0,5.0,33.0,27.0,10.0,92.0,20.0,15.0,2.0,6.0,50.0,24.0,1.0,4.0,355.0,3096.0
703,89.0,997.0,1030.0,7.0,3.0,1.0,23.0,21.0,11.0,4.0,3.0,22.0,60.0,14.0,149.0,14.0,19.0,3.0,3.0,66.0,20.0,2.0,4.0,449.0,3717.0
704,242.0,1144.0,3689.0,20.0,41.0,23.0,215.0,114.0,40.0,13.0,17.0,239.0,90.0,20.0,143.0,69.0,94.0,55.0,58.0,251.0,135.0,42.0,15.0,1694.0,9167.0
705,245.0,2080.0,2844.0,16.0,13.0,16.0,71.0,56.0,28.0,8.0,12.0,96.0,113.0,35.0,262.0,55.0,132.0,18.0,16.0,178.0,75.0,9.0,2.0,1211.0,8296.0
706,156.0,1098.0,1245.0,15.0,9.0,11.0,57.0,17.0,16.0,13.0,10.0,34.0,59.0,12.0,153.0,23.0,60.0,9.0,7.0,71.0,19.0,4.0,3.0,602.0,4409.0
707,152.0,585.0,1338.0,6.0,17.0,14.0,66.0,19.0,20.0,14.0,12.0,106.0,33.0,12.0,122.0,44.0,34.0,19.0,19.0,134.0,37.0,22.0,7.0,757.0,4296.0
708,141.0,1280.0,2205.0,6.0,17.0,21.0,125.0,71.0,32.0,6.0,20.0,178.0,63.0,17.0,154.0,49.0,57.0,21.0,23.0,214.0,87.0,24.0,10.0,1195.0,6724.0
709,14.0,201.0,245.0,2.0,5.0,0.0,6.0,3.0,1.0,1.0,0.0,18.0,10.0,4.0,34.0,5.0,14.0,1.0,5.0,36.0,15.0,6.0,0.0,166.0,1501.0
710,134.0,886.0,2724.0,14.0,24.0,33.0,161.0,92.0,41.0,14.0,26.0,267.0,53.0,14.0,127.0,40.0,78.0,63.0,52.0,226.0,83.0,39.0,5.0,1452.0,7358.0
711,68.0,920.0,738.0,1.0,2.0,0.0,3.0,9.0,2.0,1.0,3.0,16.0,47.0,12.0,121.0,11.0,33.0,5.0,2.0,71.0,14.0,2.0,2.0,357.0,3151.0
712,242.0,1264.0,1258.0,19.0,4.0,8.0,23.0,19.0,12.0,17.0,6.0,32.0,89.0,28.0,198.0,25.0,65.0,4.0,7.0,109.0,34.0,6.0,1.0,706.0,4888.0
713,117.0,1077.0,915.0,18.0,4.0,5.0,20.0,14.0,13.0,7.0,4.0,21.0,66.0,21.0,131.0,19.0,44.0,0.0,5.0,55.0,22.0,2.0,2.0,473.0,3768.0
714,43.0,301.0,221.0,3.0,1.0,0.0,8.0,2.0,2.0,0.0,2.0,7.0,7.0,4.0,27.0,9.0,12.0,0.0,2.0,17.0,8.0,3.0,1.0,115.0,1509.0
715,15.0,86.0,28.0,2.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,7.0,4.0,8.0,0.0,1.0,8.0,0.0,0.0,1.0,42.0,928.0
716,115.0,1090.0,2009.0,12.0,27.0,11.0,101.0,60.0,46.0,27.0,13.0,173.0,48.0,24.0,139.0,40.0,63.0,25.0,25.0,193.0,64.0,32.0,10.0,1133.0,6196.0
717,95.0,711.0,526.0,11.0,1.0,0.0,11.0,8.0,5.0,4.0,6.0,4.0,48.0,17.0,88.0,11.0,27.0,1.0,2.0,28.0,9.0,3.0,2.0,286.0,2621.0
718,315.0,1067.0,3631.0,30.0,49.0,36.0,189.0,98.0,82.0,31.0,30.0,315.0,71.0,25.0,168.0,67.0,106.0,48.0,52.0,245.0,108.0,53.0,8.0,1811.0,9353.0
719,43.0,337.0,477.0,6.0,3.0,5.0,7.0,5.0,7.0,4.0,3.0,19.0,21.0,5.0,55.0,8.0,18.0,3.0,3.0,37.0,13.0,5.0,2.0,229.0,2034.0
720,146.0,1128.0,1980.0,23.0,14.0,16.0,66.0,44.0,31.0,13.0,21.0,106.0,61.0,17.0,129.0,26.0,58.0,15.0,18.0,144.0,61.0,6.0,4.0,873.0,5720.0
721,59.0,784.0,447.0,4.0,2.0,0.0,9.0,7.0,1.0,1.0,0.0,3.0,30.0,11.0,97.0,5.0,23.0,2.0,1.0,36.0,6.0,3.0,1.0,242.0,2495.0
722,221.0,1295.0,3266.0,25.0,37.0,17.0,140.0,98.0,74.0,19.0,21.0,218.0,62.0,24.0,150.0,86.0,109.0,35.0,51.0,229.0,82.0,38.0,6.0,1521.0,8546.0
723,281.0,1703.0,1894.0,28.0,28.0,8.0,72.0,46.0,37.0,24.0,11.0,62.0,117.0,44.0,289.0,43.0,91.0,6.0,14.0,130.0,43.0,5.0,3.0,1101.0,6803.0
724,56.0,342.0,289.0,3.0,1.0,0.0,12.0,2.0,6.0,5.0,1.0,9.0,23.0,6.0,44.0,22.0,14.0,14.0,4.0,63.0,13.0,1.0,1.0,244.0,1899.0
725,92.0,597.0,702.0,8.0,8.0,2.0,25.0,18.0,8.0,11.0,6.0,15.0,29.0,7.0,54.0,20.0,37.0,6.0,9.0,68.0,9.0,1.0,2.0,343.0,2802.0
726,170.0,1850.0,1826.0,8.0,10.0,5.0,34.0,34.0,20.0,9.0,9.0,45.0,83.0,30.0,222.0,39.0,76.0,3.0,5.0,135.0,64.0,4.0,3.0,838.0,6248.0
727,63.0,684.0,485.0,8.0,2.0,3.0,16.0,11.0,6.0,2.0,2.0,12.0,24.0,24.0,67.0,10.0,38.0,4.0,5.0,36.0,12.0,4.0,2.0,288.0,2535.0
728,136.0,874.0,1053.0,15.0,15.0,9.0,40.0,23.0,10.0,11.0,13.0,52.0,44.0,11.0,128.0,32.0,53.0,10.0,12.0,97.0,17.0,7.0,9.0,608.0,4007.0
