count,keyword_id,keyword_text
35,54928,emotional exhaustion
35,94395,flabbergasted
34,67615,cheerful smiling
34,43471,sulk
32,80773,emotions faces
32,126256,contempt
31,75471,mental disorder
31,122957,obsession
29,107355,open minded
29,23332,worn out
25,120556,kind look
25,92034,stressed pain
25,47993,maniac
24,100595,stressed out
24,27158,fun time
23,96867,feeling good
23,123044,hysterics
22,73280,cheerful person
22,64642,nervous breakdown
22,129300,peeved
22,25753,mental problem
22,93061,happy smiling
20,110960,coldhearted
20,117942,infuriated
20,108464,smiling sun
19,93096,happy indoors
19,55756,surprised expression
18,73523,confident smile
18,53348,emotional outsourcing
18,74118,excited looking
18,111042,insensitive
18,122257,happy guy
18,89799,laughing self
17,67840,confident person
17,130397,numb
17,111078,overexcited
17,128224,disdain
17,46327,happy time
17,101635,panic attack
17,39653,remorse
16,80013,cheerful smile
16,74043,emotional upset
16,29155,love is love
16,65525,surprised hipster
15,60028,gasping expressive
15,123003,psychosis
15,122157,happy day
15,102983,happy person
15,28629,sad boy
15,29579,sad eyes
14,46265,Extremely happy
14,76308,relaxation time
13,95964,chilling out
13,56822,confused expression
13,61087,satisfied customer
13,88859,funny gesture
13,23961,happy couple
13,85096,happy customer
13,32423,lovestory
13,82811,peaceful scene
13,58194,surprise expression
12,27025,emotional abuse
12,117889,exultation
12,124886,joy free
12,110983,nonchalance
12,116793,happy meal
12,33819,happy moments
12,109724,happy party
12,57475,learning disability
12,43791,Love
11,30390,emotional pain
11,68265,empty expression
11,113076,empty look
11,105405,feeling bad
11,47208,overburdened
11,55956,psychological crisis
11,117998,astonishes
11,43967,fun house
11,88857,funny moments
11,105731,funny party
11,93059,happy shopper
11,64280,laughing out loud
11,24714,love couple
11,28767,pain relief
11,84108,surprise point
10,80258,confident pose
10,47096,feeling unwell
10,53397,feelings and emotions
10,103058,irritability
10,98432,low-spirited
10,81204,fun atmosphere
10,89798,laughing lady
10,92159,surprise face
10,65526,surprised emotion
9,27954,fun activity
9,122176,happy air
9,117950,happy talk
9,86438,happy village
9,9652,Love Letter
8,52030,anger negative emotion
8,74649,guilty pleasure
8,19409,Hangry
8,63908,happiness concept
8,116820,happy chef
7,126250,facepalm
7,116851,happy farm
7,93056,happy flowers
7,25401,happy hanukkah
7,31035,happy pregnancy
7,85975,happy-go-lucky
7,120724,love date
7,124992,love day
7,106815,love family
7,114396,love sport
7,107785,rage-filled
6,105734,funny crazy
6,116861,happy cake
6,61951,happy customer car
6,101631,happy garden
6,21465,Happy Holidays - Short Phrase
6,125841,happy tv
6,97887,hope concept
6,89800,laughing face
6,92158,surprise view
5,103104,carefreeness
5,113438,fun school
5,26085,funny memes
5,74715,happiness happy
5,77810,happy adventure
5,86190,happy hardcore
5,66002,happy high school
5,118213,happy home
5,85003,happy laughter
5,71421,happy retirement
5,30542,happy valentine s day
5,126472,lovesick
5,49931,mental positivity attitude
5,19473,Postpartum Depression
5,118111,regretting
5,118001,repentance
5,122987,reverence
5,121387,sad movie
5,84107,surprise party
5,92162,surprised guy
5,84963,temper tantrum
4,79321,amazed express
4,62531,amazed expression
4,58639,astonished unboxing
4,127465,fun cup
4,120060,fun light
4,105732,funny clown
4,113563,goofy face
4,85671,happy bachelor
4,93113,happy emotion
4,84964,happy emotions
4,66148,happy farmers day
4,93187,happy hipster
4,26362,happy kwanzaa
4,26927,happy nowruz
4,78134,happy portraits
4,26245,happy st patricks day
4,93099,happy student
4,19995,Love Lock
4,12027,Love Note
4,114904,pain sinus
4,65066,relaxation relief
4,78921,temper tantrums
4,116253,tired eyes
3,86712,anger control
3,111990,angry face
3,50263,embarrassment embarrassed
3,33339,fun background
3,120061,fun funny
3,120062,fun image
3,120059,fun sport
3,133039,fun workout
3,32870,funny beautiful
3,30605,funny cat
3,88858,funny grimace
3,97218,funny person
3,84974,happy cheerful
3,93127,happy citizen
3,93244,happy elderly
3,101780,happy farmer
3,94151,happy florist
3,116799,happy hill
3,122509,happy joy
3,77876,happy pensioner
3,102119,happy winner
3,114399,love field
3,127592,love of
3,33212,mental health maintenance
3,98587,mental heath
3,82939,pleasure point
3,76309,relaxation area
3,101075,unhappy face
2,103824,amazed face
2,118998,angry guy
2,67101,anxiety disorder
2,62886,carefree isolated
2,74480,fun celebration
2,105724,fun factory
2,113441,fun gadget
2,105722,fun indoors
2,120063,fun radio
2,88860,funny glasses
2,88861,funny hipster
2,113451,funny nose
2,68608,funny sunglasses
2,81372,grief-stricken
2,89195,happiness day
2,109810,happy aging
2,117437,happy eyes
2,51894,happy facial expression
2,122349,happy fun
2,79113,happy hooligan
2,51812,happy in the foreground
2,110042,happy issue
2,78887,happy lifestyle
2,117097,happy news
2,33683,happy parents
2,102742,happy pascha
2,93169,happy science
2,102613,happy smiles
2,85433,happy surprise
2,102211,happy tenant
2,132987,happy worker
2,113913,hope hotel
2,51974,laughing happily beach
2,81976,laughing mouth
2,81975,laughing stock
2,69355,love and freedom
2,89984,love and live
2,120729,love ball
2,47269,Love between two places
2,98423,love concept
2,114402,love hurts
2,64472,mental depression
2,82290,mental disease
2,90151,mental energy
2,29978,mental health problems
2,106943,mental mind
2,43817,pain scales
2,99082,pain symptom
2,94480,panic attacks
2,82806,peace tranquil
2,55453,personality disorder
2,76310,relaxation room
2,31316,relaxation unconsciousness
2,92160,surprise gift
2,92161,surprise look
2,84112,surprised look
2,47877,unhappy mood
2,84457,unhappy person
2,132438,unhappy worker
1,111982,amazed guy
1,48205,angry bearded farmer holding shovel in hand
1,95136,angry summer
1,111991,angry wife
1,67096,annoyed outburst
1,79355,anxiety attack
1,59101,anxiety depression
1,72654,anxiety patient
1,72656,anxious anxiety
1,72657,anxious unhappy
1,59340,carefree lifestyle
1,118466,disdaining
1,73863,displeased face
1,88849,fun accessory
1,127469,fun day
1,120065,fun event
1,81207,fun expression
1,127466,fun fun
1,41390,fun house mirror
1,60002,fun in a stairwell
1,81208,fun in the sun
1,127464,fun joy
1,81205,fun joy joyful
1,113443,fun joyful
1,97206,fun laughter
1,105727,fun looking
