0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,2,0,0,13,5,0,0,0,24,0,5,14,0,0,0,2,0,51,1,0,0,0,0,13,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,42,0,0,0,0,0,0,0,0,0,0,0,20,1,4,0,2,0,0,1,0,0,2,0,1,0,0,0,0,0,36,2,0,0,0,0,0,8,0,1,1,0,0,0,0,2,0,1,0,1,0,0,0,0,11,2,0,0,0,1,0,0,0,0,4
0,20,1,0,115,4,2,29,9,0,0,26,0,12,0,5,2,0,0,0,0,3,0,21,0,0,4,0,3,35,1,1,0,0,1,1,0,0,0,0,30,5,24,1,0,0,0,1,0,1,1,2,0,0,11,3,83,25,14,5,0,0,0,0,49,2,0,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0,0,1,0,1,0,16,4,10,32,0,3,0,0,0,2,18,0,23,0,34,0,0,0,2,0,0,0,1,1,3,11,85,3,0,1,0,1,93,39,0,0,2,11,10,16,0
0,1,0,0,0,0,4,0,0,15,19,0,0,0,0,0,0,0,0,6,2,10,0,2,0,0,4,0,0,0,2,2,0,1,0,0,0,0,0,2,0,9,1,1,40,0,21,10,0,0,1,0,0,0,4,0,0,1,0,1,3,0,1,0,0,2,0,3,0,1,0,0,0,1,0,1,0,0,0,0,23,0,4,0,0,14,0,0,0,1,0,0,0,2,1,6,0,0,0,0,17,0,0,0,1,0,0,7,0,3,1,0,0,0,13,0,0,0,2,0,0,1,3,0,0,1,0,0
0,1,0,0,2,0,0,1,3,10,4,2,0,0,0,0,23,0,0,7,0,14,0,1,0,0,26,4,15,10,0,16,0,1,2,0,1,1,0,0,1,0,0,0,0,6,9,6,0,0,2,0,0,0,1,7,1,0,2,7,0,0,1,4,0,3,0,7,0,3,1,0,0,1,0,1,0,95,1,22,5,1,0,0,1,6,2,1,16,0,2,0,2,4,36,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,10,0,1,2,44,0,0,1,0,8,0,2,11,61,0,7,3,0
0,54,2,9,0,0,0,0,0,20,2,8,1,0,0,3,0,3,0,2,2,0,0,50,1,0,34,1,1,2,0,1,0,0,1,0,0,0,0,0,0,33,1,0,0,0,6,5,3,95,1,11,9,0,39,0,33,6,0,5,3,0,0,0,56,3,0,7,0,0,4,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,3,1,1,64,7,0,2,0,1,2,0,1,1,0,0,2,3,12,121,0,2,0,551,1,0,2
0,7,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,3,2,1,0,4,0,0,6,0,0,0,0,24,0,1,0,0,0,0,0,12,0,0,0,0,2,2,7,212,0,8,8,1,0,0,2,0,3,0,0,0,510,28,24,1,0,4,2,18,0,125,0,0,0,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,13,0,0,0,0,0,0,0,0,1020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,248,0,0,14,0,0,0
6,2,2,1,1,8,19,7,1,149,1,0,1,5,24,0,1,0,19,0,5,0,511,3,0,1,2,0,19,1,1,0,2,1,111,11,2,5,6,0,3,0,1,101,1,2,44,1,0,0,44,2,6,2,0,32,1,2,1,0,0,0,0,0,0,3,0,0,1,0,2,1,23,8,2,0,0,3,8,1,0,91,0,47,15,0,6,8,3,9,0,0,6,0,2,2,110,1,1,0,1,1,1,1,0,0,0,3,3,1,17,13,0,3,6,21,4,1,1,3,0,0,1634,0,0,3,0,3
0,56,0,4,2,0,1,1,0,0,2,25,0,5,0,6,0,0,0,0,0,0,0,33,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,169,9,0,2,0,4,2,0,51,0,27,2,0,98,1,17,112,1,8,0,0,0,0,40,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,2,0,1,14,0,0,0,0,0,0,3,0,0,0,0,0,2,0,87,0,5,0,0,0,3,0,16,0,0,0,0,1,9,27,0,0,0,45,1,2,1
0,63,1,2,35,2,2,1,1,3,3,39,1,12,0,2,0,0,0,0,0,3,0,46,0,0,6,1,1,2,0,0,0,0,0,0,0,0,0,0,2,22,5,0,0,0,3,1,2,13,0,13,3,0,94,0,28,137,0,5,0,0,0,0,190,1,0,0,0,0,0,3,0,0,0,0,8,0,0,0,1,0,4,0,0,1,0,3,0,13,83,0,0,0,0,0,1,0,0,1,0,0,0,4,0,99,3,2,0,0,1,6,3,31,3,0,0,1,1,31,188,0,10,1,36,8,8,0
7,10,5,7,3,11,21,2,13,7,0,5,20,1,1,18,0,20,3,0,5,3,49,5,1,3,0,1,8,43,34,0,0,0,7,4,0,2,0,0,17,12,13,13,0,0,1,1,15,4,1,14,40,0,0,2,4,0,19,0,0,0,0,1,0,1,0,0,46,0,20,6,62,6,3,10,9,0,6,1,0,23,8,18,26,1,0,30,2,0,0,0,1,2,1,0,14,12,1,1,7,56,0,2,0,0,13,0,14,5,2,0,7,3,0,2,1,4,10,2,2,0,82,1,0,0,5,0
