arms_cluster_id,object_cluster_0,object_cluster_1,object_cluster_2,object_cluster_3,object_cluster_4,object_cluster_5,object_cluster_6,object_cluster_7,object_cluster_8,object_cluster_9,object_cluster_10,object_cluster_11,object_cluster_12,object_cluster_13,object_cluster_14,object_cluster_15,object_cluster_16,object_cluster_17,object_cluster_18,object_cluster_19,object_cluster_20,object_cluster_21,object_cluster_22,object_cluster_23,object_cluster_24,object_cluster_25,object_cluster_26,object_cluster_27,object_cluster_28,object_cluster_29,object_cluster_30,object_cluster_31,object_cluster_32,object_cluster_33,object_cluster_34,object_cluster_35,object_cluster_36,object_cluster_37,object_cluster_38,object_cluster_39,object_cluster_40,object_cluster_41,object_cluster_42,object_cluster_43,object_cluster_44,object_cluster_45,object_cluster_46,object_cluster_47,object_cluster_48,object_cluster_49,object_cluster_50,object_cluster_51,object_cluster_52,object_cluster_53,object_cluster_54,object_cluster_55,object_cluster_56,object_cluster_57,object_cluster_58,object_cluster_59,object_cluster_60,object_cluster_61,object_cluster_62,object_cluster_63,object_cluster_64,object_cluster_65,object_cluster_66,object_cluster_67,object_cluster_68,object_cluster_69,object_cluster_70,object_cluster_71,object_cluster_72,object_cluster_73,object_cluster_74,object_cluster_75,object_cluster_76,object_cluster_77,object_cluster_78,object_cluster_79,object_cluster_80,object_cluster_81,object_cluster_82,object_cluster_83,object_cluster_84,object_cluster_85,object_cluster_86,object_cluster_87,object_cluster_88,object_cluster_89,object_cluster_90,object_cluster_91,object_cluster_92,object_cluster_93,object_cluster_94,object_cluster_95,object_cluster_96,object_cluster_97,object_cluster_98,object_cluster_99,object_cluster_100,object_cluster_101,object_cluster_102,object_cluster_103,object_cluster_104,object_cluster_105,object_cluster_106,object_cluster_107,object_cluster_108,object_cluster_109,object_cluster_110,object_cluster_111,object_cluster_112,object_cluster_113,object_cluster_114,object_cluster_115,object_cluster_116,object_cluster_117,object_cluster_118,object_cluster_119,object_cluster_120,object_cluster_121,object_cluster_122,object_cluster_123,object_cluster_124,object_cluster_125,object_cluster_126,object_cluster_127,object_cluster_128,object_cluster_129,object_cluster_130,object_cluster_131,object_cluster_132,object_cluster_133,object_cluster_134,object_cluster_135,object_cluster_136,object_cluster_137,total
26,0,130,601,187,201,43,22,111,836,1887,47,48,14,1258,273,47,195,155,40,60,62,14,3,28,909,1331,4103,6830,478,336,53,23,1176,1168,453,147,79,331,125,919,245,1534,116,182,226,1186,349,349,114,228,29,123,148,109,297,651,1971,991,1680,673,1179,31,189,1963,71,162,76,4930,31,48,1,52,105,6076,1416,832,203,252,63,284,814,1997,264,348,405,0,66,21,19,78,111,0,158,511,52,163,26,196,18,2,197,264,13,141,2,40,2,11,165,266,425,14,4,24,39,30,3,0,4,1,0,0,0,469,24,0,0,24,0,0,0,0,19,334,0,0,0,323,61975
27,0,31,236,14,16,8,9,34,42,84,3,37,5,220,76,29,386,10,8,8,4,4,1,1,134,482,1592,4403,87,350,17,15,2131,369,105,121,16,138,29,411,271,600,53,78,95,331,287,316,65,176,178,52,19,28,197,479,782,294,3263,372,594,7,49,572,22,69,27,2638,12,22,3,26,43,1083,253,1667,172,280,216,199,413,787,221,287,2605,0,208,6,80,26,34,0,65,46,61,46,73,5478,648,364,3690,1988,791,3522,87,1430,34,161,983,115,107,12,1,31,14,40,1,3,19,0,0,0,0,13,12,0,0,8,0,0,0,0,6,39,0,0,0,48,52159
28,0,591,1830,457,553,149,84,506,490,4597,152,218,30,2371,4173,483,1426,1306,405,347,429,54,21,91,2571,8949,13686,17628,788,2312,311,141,12723,3946,2225,859,352,909,639,3454,1736,5151,519,936,985,3233,1404,2885,720,4406,165,293,686,347,3030,2598,4365,1390,3776,1679,4039,72,304,1834,80,484,67,12220,56,149,4,141,132,5061,2210,2512,1104,2095,223,1186,1422,852,542,575,1598,0,84,159,31,89,73,0,324,206,231,428,223,1484,88,18,257,1536,109,830,78,201,14,112,1319,1189,763,397,88,228,153,2190,13,2,102,14,0,0,0,155,17,0,0,32,0,0,0,0,16,160,0,1,0,477,185413
29,0,4,38,4,8,1,1,7,2,9,2,2,1,34,11,2,24,1,0,1,1,0,0,1,40,16,323,943,19,84,0,2,1109,56,28,3,6,19,8,251,12,298,26,42,32,139,84,2962,47,244,41,23,31,18,129,66,145,63,110,57,212,6,18,405,6,54,5,763,11,6,0,18,19,411,60,37,15,10,191,38,84,25,27,13,141,0,56,3,26,81,126,0,43,65,21,20,36,10,0,0,3,7,1,13,0,1,0,0,6,5,17,1,0,0,1,2,39,19,91,29,0,0,0,15,4,0,0,4,0,0,0,0,7,41,0,0,0,30,11028
30,0,630,1816,376,275,43,143,465,939,805,89,264,65,992,540,101,206,74,57,86,54,5,5,14,1323,1355,4895,11399,511,299,79,77,2150,1033,635,150,204,767,439,4032,339,6660,297,730,408,1950,740,613,175,323,136,119,183,154,267,1031,9064,1285,5908,1004,4238,307,1965,13828,983,750,1311,13954,480,241,89,501,551,7260,2310,1754,3884,286,265,1205,1145,313,592,331,146,0,853,122,22,260,161,0,3557,4145,52,505,163,81,761,1,113,148,7,85,15,28,6,6,348,581,617,6,6,18,12,9,8,6,25,1,0,0,0,997,435,0,0,529,0,0,0,0,731,3423,0,0,0,1627,147937
31,0,2314,7370,1088,2996,245,715,1493,1284,9853,222,393,119,11683,3365,3553,7530,881,748,228,134,86,55,135,5519,15765,21609,43159,3684,9635,392,355,50308,9309,5594,1036,2162,5361,2655,8842,1976,18955,2082,1051,4001,6836,5493,10784,1182,4891,868,1198,1127,1097,7696,9341,26917,11559,14383,43230,14727,836,1847,22513,761,4125,958,65188,399,582,42,1085,961,26094,6939,5709,3203,30795,1409,13039,9187,7272,4880,3571,16333,0,2384,686,191,1728,2203,0,7268,2223,6074,1945,1723,4010,474,157,5629,5147,727,3764,532,2325,242,385,1234,1524,2615,553,100,684,1047,937,137,45,328,73,0,0,0,1030,337,0,0,501,0,0,0,0,436,2325,0,4,0,3041,725765
32,0,186,881,159,417,42,43,133,142,4765,17,188,164,548,244,93,405,44,12,5,5,9,3,12,3031,3486,7929,22578,881,1292,68,79,3931,2795,866,251,286,955,579,3339,647,7756,378,270,697,1701,760,1134,398,719,235,224,381,439,2055,1777,4022,1827,5007,1135,3833,51,1217,10769,390,1619,583,37143,100,67,9,204,487,26746,10961,1102,1080,566,645,2321,6701,3404,8764,2328,2050,0,451,781,479,2589,2679,0,3613,1599,1215,2654,660,447,16,4,538,257,23,196,15,109,2,8,413,193,1879,228,50,366,1040,298,36,22,147,30,0,0,0,759,162,0,0,503,0,0,0,0,496,2056,0,0,0,2490,245068
33,0,184,609,96,216,22,28,122,77,2408,7,314,8,433,128,31,128,34,6,9,7,4,0,2,1196,3247,4419,12569,742,992,61,206,4913,2540,423,84,327,1796,301,728,155,2138,82,171,174,374,172,286,154,183,84,115,116,62,336,403,1825,491,1191,540,840,47,851,15460,106,670,143,16518,47,60,9,89,430,18275,1214,395,494,189,156,537,46676,914,748,2373,2817,0,798,33,108,582,750,0,1045,1986,98,5594,74,260,4,4,292,108,13,115,8,30,2,3,211,142,335,33,21,24,86,50,17,0,7,3,0,0,0,136,115,0,0,67,0,0,0,0,73,555,0,0,0,737,173046
34,0,177,1112,114,587,32,22,147,65,4096,14,147,200,458,222,50,144,70,5,12,5,1,3,6,3035,3390,5776,25538,709,1859,38,104,5856,3210,1172,325,298,903,625,3515,870,7928,341,263,691,1692,569,1018,317,505,205,189,359,345,1910,1323,4581,2523,6275,977,4282,80,1178,12705,431,2031,631,32356,73,79,7,324,590,23768,8205,1385,838,577,3493,1544,6704,2027,8608,1493,2179,0,482,886,424,3380,3207,0,3963,1860,1002,2462,518,342,71,8,429,178,67,144,14,92,4,25,769,292,976,211,41,194,885,246,29,27,73,26,0,0,0,796,223,0,0,525,0,0,0,0,508,3260,0,0,0,3189,244339
35,0,335,3183,289,1550,72,77,360,512,7072,32,113,36,2948,836,655,3794,548,86,70,26,32,15,38,1151,10754,6162,14265,565,4655,81,86,6405,3086,1947,212,178,2760,1244,29101,3189,29915,1133,1326,3285,9237,4738,6678,872,7936,604,721,1203,344,5219,2588,11013,6131,18058,16334,7080,2045,1327,6844,537,7682,365,67732,609,884,62,9718,1102,12424,5599,5740,5004,1781,2863,39616,1907,789,505,446,2990,0,1371,146,91,976,1025,0,1152,926,480,1388,347,2825,3706,110,1285,4652,4630,1795,235,2083,45,213,602,303,2934,31247,5583,17587,734,322,4673,851,3721,1304,0,0,0,274,144,0,0,202,0,0,0,0,112,857,0,1,0,1310,523748
