arms_cluster_id,object_cluster_0,object_cluster_1,object_cluster_2,object_cluster_3,object_cluster_4,object_cluster_5,object_cluster_6,object_cluster_7,object_cluster_8,object_cluster_9,object_cluster_10,object_cluster_11,object_cluster_12,object_cluster_13,object_cluster_14,object_cluster_15,object_cluster_16,object_cluster_17,object_cluster_18,object_cluster_19,object_cluster_20,object_cluster_21,object_cluster_22,object_cluster_23,object_cluster_24,object_cluster_25,object_cluster_26,object_cluster_27,object_cluster_28,object_cluster_29,object_cluster_30,object_cluster_31,object_cluster_32,object_cluster_33,object_cluster_34,object_cluster_35,object_cluster_36,object_cluster_37,object_cluster_38,object_cluster_39,object_cluster_40,object_cluster_41,object_cluster_42,object_cluster_43,object_cluster_44,object_cluster_45,object_cluster_46,object_cluster_47,object_cluster_48,object_cluster_49,object_cluster_50,object_cluster_51,object_cluster_52,object_cluster_53,object_cluster_54,object_cluster_55,object_cluster_56,object_cluster_57,object_cluster_58,object_cluster_59,object_cluster_60,object_cluster_61,object_cluster_62,object_cluster_63,object_cluster_64,object_cluster_65,object_cluster_66,object_cluster_67,object_cluster_68,object_cluster_69,object_cluster_70,object_cluster_71,object_cluster_72,object_cluster_73,object_cluster_74,object_cluster_75,object_cluster_76,object_cluster_77,object_cluster_78,object_cluster_79,object_cluster_80,object_cluster_81,object_cluster_82,object_cluster_83,object_cluster_84,object_cluster_85,object_cluster_86,object_cluster_87,object_cluster_88,object_cluster_89,object_cluster_90,object_cluster_91,object_cluster_92,object_cluster_93,object_cluster_94,object_cluster_95,object_cluster_96,object_cluster_97,object_cluster_98,object_cluster_99,object_cluster_100,object_cluster_101,object_cluster_102,object_cluster_103,object_cluster_104,object_cluster_105,object_cluster_106,object_cluster_107,object_cluster_108,object_cluster_109,object_cluster_110,object_cluster_111,object_cluster_112,object_cluster_113,object_cluster_114,object_cluster_115,object_cluster_116,object_cluster_117,object_cluster_118,object_cluster_119,object_cluster_120,object_cluster_121,object_cluster_122,object_cluster_123,object_cluster_124,object_cluster_125,object_cluster_126,object_cluster_127,object_cluster_128,object_cluster_129,object_cluster_130,object_cluster_131,object_cluster_132,object_cluster_133,object_cluster_134,object_cluster_135,object_cluster_136,object_cluster_137,total
46,0,1875,6524,2408,1526,659,1176,5076,1007,4195,544,319,207,2358,337,102,243,120,46,66,35,4,17,22,13208,2179,18172,49139,3608,2904,884,555,9123,3405,9329,1397,627,2359,961,6592,450,9197,366,1340,643,1962,1481,377,188,329,86,195,316,162,457,834,10190,1251,5700,668,3702,338,3669,36168,1238,2663,1749,50445,486,673,44,841,1317,16235,5419,1270,4212,363,1393,1834,6447,722,1519,860,686,0,766,367,53,659,629,0,2925,13871,363,1147,266,148,20,6,190,92,30,54,18,31,2,9,1799,1625,2553,18,13,37,44,244,2,2,18,1,0,0,0,1147,1133,0,0,609,0,0,0,0,880,4783,0,0,0,3896,374243
47,0,5250,21584,2432,6181,946,857,2155,2449,23796,397,1342,264,16837,2840,1055,3691,631,184,157,136,41,56,117,28006,26144,75263,184832,7199,8129,573,924,29412,22668,5111,1885,9741,5203,3796,14041,7157,54765,1836,1587,2910,6481,3932,6686,1354,4239,818,1214,1419,1158,5005,4750,44170,12001,26149,5816,19390,805,5202,62824,1851,8515,2389,235655,686,831,98,1426,1789,75104,32944,7192,6192,3592,2786,10888,24965,15253,15914,16936,13225,0,2954,1466,569,6287,6592,0,29189,14510,3928,18283,1907,4486,206,111,3994,3690,332,3792,279,1654,123,313,4294,2511,8929,505,120,1773,1980,1756,142,30,519,62,0,0,0,3741,1673,0,0,1345,0,0,0,0,1033,10792,0,3,0,24542,1446639
48,0,212,3208,828,226,86,56,831,2535,963,49,32,38,2272,280,25,201,37,8,9,28,5,4,19,786,2337,3350,3500,388,2105,116,94,5205,1293,530,144,177,11074,519,1446,1446,2323,118,121,218,510,423,340,96,449,42,118,125,96,340,316,4820,556,1653,2374,1174,84,257,2469,48,198,112,7675,70,78,6,123,77,1765,563,403,353,127,104,496,420,297,147,233,354,0,404,103,37,78,90,0,375,509,55,131,43,237,19,0,57,285,41,141,10,35,0,6,274,189,216,28,6,73,62,178,9,4,75,2,0,0,0,55,53,0,0,12,0,0,0,0,35,299,0,0,0,329,83688
49,0,1245,4228,432,637,233,236,341,611,5301,75,121,48,4769,395,189,495,99,23,25,29,6,7,21,3953,2442,11039,19351,1102,2543,160,140,8070,2240,1666,562,1433,1399,1456,3687,685,14187,305,508,644,2366,1295,981,139,479,68,114,184,197,773,779,15148,9709,10580,6174,4988,127,2257,24879,1251,5924,2579,139141,346,893,34,560,451,21143,4113,3228,1080,818,1195,1993,917,1478,261,415,770,0,691,192,10,392,474,0,159727,1240,101,485,138,296,8,3,231,318,28,151,16,66,3,10,693,862,572,53,16,49,222,170,16,2,11,0,0,0,0,915,303,0,0,217,0,0,0,0,272,2368,0,5,0,5157,543448
50,0,468,179,33,26,5,6,25,21,122,2,13,4,141,22,7,41,17,6,4,4,4,0,1,144,148,690,1616,57,539,7,65,1202,285,46,10,12,150,49,642,173,428,10,13,35,77,61,56,4,19,6,17,24,14,122,61,823,216,446,101,183,5,81,1021,50,127,52,1946,9,16,2,47,26,918,146,146,85,65,35,531,848,60,54,60,311,0,39,9,5,41,52,0,73,102,39,37,27,29,0,1,25,43,1,22,1,10,0,2,75,65,218,12,6,15,10,7,1,1,6,0,0,0,0,43,14,0,0,8,0,0,0,0,34,194,0,0,0,103,17713
51,0,114,422,59,178,16,24,90,42,929,7,104,22,318,87,41,80,8,30,13,5,1,2,1,553,727,1430,7400,320,563,37,31,8278,725,591,84,64,201,4035,3504,351,6008,291,295,381,985,652,619,73,322,52,39,74,46,664,395,6430,2453,5520,470,3729,141,1292,11778,933,1705,1837,11942,392,491,36,432,471,8667,1677,1816,818,471,170,1078,1441,247,2181,199,518,0,248,58,82,115,167,0,216,3862,3563,823,1220,78,2,2,61,95,28,17,5,21,0,9,120,181,346,9,5,31,9,70,10,2,46,3,0,0,0,2077,441,0,0,3187,0,0,0,0,711,5880,0,0,0,2247,137765
52,0,3368,4773,388,3802,151,643,1100,728,13070,96,355,73,12880,1722,7862,18435,605,232,184,113,58,44,141,4656,7207,30415,44313,7609,3295,253,227,23772,4087,3458,516,1441,3936,1594,52054,16034,184095,7270,8285,17168,53371,7341,14550,3009,12109,2261,2468,1214,3206,7028,14102,158032,263961,200683,181866,85263,2290,19548,267679,6349,34336,7361,248902,9334,14463,1105,14512,13421,175817,38639,66615,7685,22136,2489,14045,4513,11318,3795,4466,4236,0,7580,543,559,724,768,0,32275,11260,2297,17983,789,3221,183,35,3621,3787,434,1861,167,747,217,187,1283,484,4191,384,244,1327,8657,231,158,7,101,16,0,0,0,12083,4818,0,0,2232,0,0,0,0,2168,50701,0,5,0,26445,2702799
53,0,127,784,68,58,43,56,114,121,271,12,159,6,503,65,26,118,35,16,5,4,5,1,13,342,249,2434,9081,131,177,5,9,1082,343,121,29,41,150,32,1084,523,4355,96,178,155,549,93,162,31,160,34,86,68,52,159,155,4649,556,2215,177,2410,28,847,6436,348,281,370,10852,34,29,1,54,260,4289,594,580,434,94,45,1183,425,146,171,131,102,0,146,34,8,124,132,0,277,2348,19,411,108,51,4,0,30,43,3,21,8,5,1,9,573,83,171,9,5,14,5,10,3,0,26,0,0,0,0,641,482,0,0,86,0,0,0,0,286,2243,0,0,0,1186,72122
54,0,314,8114,904,267,193,87,1096,2846,891,13,97,45,399,163,37,193,172,24,14,11,11,1,7,732,537,2897,9406,657,718,151,58,1460,634,755,163,134,499,251,843,345,2273,46,105,126,513,135,142,124,67,43,36,29,30,129,120,3094,666,1640,2333,975,34,587,4631,338,385,430,10808,31,38,1,64,129,4721,22083,317,432,280,119,326,607,125,271,125,187,0,237,121,10,143,133,0,265,1139,27,270,157,26,3,0,30,9,0,12,0,3,1,2,516,671,232,7,4,15,156,20,1,3,14,0,0,0,0,428,113,0,0,118,0,0,0,0,321,1226,0,0,0,1062,103329
55,0,3671,8369,839,257,380,233,1128,2159,1925,119,212,80,12253,1704,4009,27167,5244,992,629,227,287,38,103,7893,3432,19011,22997,1110,2383,173,205,5950,1892,754,330,1356,1236,502,12734,10523,24417,2153,2353,2923,8821,1965,3978,2714,2222,427,505,923,1604,1822,3638,20144,10089,14557,8785,17049,100,1512,14618,369,2035,556,34407,660,1053,67,925,879,11389,4342,4161,809,2705,234,1547,1240,2902,813,1680,3840,0,681,117,121,176,170,0,1985,1409,531,1067,78,3598,38,27,581,1922,35,900,263,429,40,93,490,580,740,35,16,33,54,115,18,3,47,3,0,0,0,425,292,0,0,241,0,0,0,0,300,2161,0,2,0,1728,409982
56,0,2974,7750,1461,788,616,2020,3163,159,1494,60,156,137,1343,102,29,154,27,8,14,4,2,5,7,6886,652,9387,8943,3179,369,67,57,1767,1078,374,147,206,618,156,1949,278,4329,140,293,294,920,635,729,227,602,383,187,209,296,321,652,5325,2716,4684,940,1859,75,920,14551,302,750,422,22129,264,195,18,196,1125,7669,2012,1201,940,280,212,534,5663,2597,404,1931,221,0,279,36,602,117,102,0,1050,4319,79,944,52,129,5,1,92,162,9,63,4,24,8,8,917,244,3374,4,10,17,21,24,2,0,5,0,0,0,0,643,340,0,0,397,0,0,0,0,182,2853,0,1,0,2346,168403
57,0,18,170,14,6,9,1,18,10,66,2,8,0,37,4,10,10,5,3,0,1,0,1,0,91,53,436,1703,52,33,7,5,179,88,20,3,6,37,6,40,21,213,6,8,16,35,16,21,2,7,1,4,3,3,25,28,260,54,108,27,86,4,50,603,53,30,88,1213,5,5,1,3,6,484,53,41,37,20,39,42,57,32,34,29,10,0,24,24,1,14,13,0,73,230,1,44,2,29,1,0,2,10,0,4,5,1,0,1,112,47,19,0,0,1,2,1,1,0,0,0,0,0,0,54,13,0,0,21,0,0,0,0,25,186,0,0,0,142,8138
58,0,645,1079,370,239,93,58,214,302,2063,35,60,24,2060,278,81,551,235,39,30,35,4,6,36,1268,1927,6620,20583,1240,2449,622,298,5272,1404,3224,492,1635,1492,1587,3593,2433,7722,2068,1832,2523,3467,659,1119,891,988,104,127,502,778,3047,29784,10454,4147,5515,1633,13790,99,939,3981,184,766,541,10800,238,457,24,286,412,4201,1590,2557,739,1055,481,1833,260,2009,153,263,970,0,64,92,20,71,49,0,1126,346,51,158,179,930,26,6,188,495,15,379,37,86,10,17,519,2762,272,44,5,49,68,142,19,5,44,1,0,0,0,139,13,0,0,21,0,0,0,0,59,275,0,0,0,163,199609
59,0,857,4221,742,1748,163,348,890,428,9089,240,2206,115,6148,1799,2417,8982,1029,335,118,109,50,26,85,3434,24624,68544,82137,19876,8545,416,510,41128,23180,1573,825,646,2423,1014,13289,21329,38681,3054,2932,4161,11203,3298,21302,1384,12876,830,858,1317,1442,7372,31879,38070,31102,38236,21862,27428,537,3400,32834,599,3377,608,62517,697,1142,129,1014,1585,83941,14628,16242,5538,32733,843,5057,23685,370055,8228,43381,19940,0,1772,10216,383,529,528,0,1369,2297,1529,10003,929,7070,227,67,6512,4746,194,4651,148,918,275,180,479,381,3142,274,53,330,331,902,22,10,89,3,0,0,0,1060,682,0,0,292,0,0,0,0,143,4730,0,1,0,3494,1458596
60,0,114,450,56,262,28,34,78,60,1190,6,107,6,262,50,23,117,21,14,45,11,0,1,12,408,432,1316,9910,228,254,28,36,1437,649,221,106,54,269,151,733,146,2732,44,92,123,351,86,74,36,64,9,24,32,54,134,126,4806,2354,2266,565,1188,21,2551,8679,1714,2064,2003,21359,45,32,2,39,136,5106,1463,604,324,69,457,813,2945,130,148,87,106,0,173,54,2,410,448,0,7921,1604,16,339,97,24,0,0,15,26,3,12,4,2,0,5,2151,395,295,16,11,5,388,67,2,1,2,0,0,0,0,494,144,0,0,156,0,0,0,0,1101,1903,0,0,0,961,104629
61,0,317,544,89,271,17,32,126,119,1042,39,75,10,1122,457,201,382,131,18,25,37,5,8,28,1649,1386,3380,5486,332,847,223,87,2493,1135,1266,215,371,1020,634,8525,604,18609,2382,3494,3199,6186,814,1177,146,759,127,285,231,921,575,3042,16158,2849,10077,1474,14085,146,1211,6405,355,989,515,13105,274,310,22,450,885,8998,1808,4560,4184,725,418,5751,1197,349,543,236,499,0,124,81,12,92,68,0,546,1470,106,526,84,237,9,10,297,282,112,95,52,33,16,32,231,198,414,300,34,187,41,109,8,2,13,1,0,0,0,431,89,0,0,116,0,0,0,0,172,626,0,0,0,463,182992
62,0,60,229,57,50,53,87,286,86,174,33,25,3,138,70,10,48,338,16,11,17,4,3,1,376,171,1030,2031,135,96,12,17,287,255,96,32,33,88,36,345,57,373,11,43,30,157,143,68,24,35,13,18,21,34,81,103,423,93,254,68,196,12,99,1528,25,66,45,2353,16,14,1,14,61,992,207,132,91,43,17,136,449,128,66,57,53,0,27,83,8,31,37,0,110,625,2,59,11,28,1,0,5,13,4,15,1,16,0,1,111,44,91,4,7,20,3,10,6,0,2,0,0,0,0,33,52,0,0,19,0,0,0,0,9,201,0,0,0,137,17515
63,0,12245,54711,3469,2616,3760,3092,3948,4767,19124,597,1241,846,36875,1424,530,2686,435,147,173,90,29,37,78,27534,12622,96909,79569,8551,2836,202,317,7039,5651,1216,416,3628,1885,976,17266,5677,101975,2606,2242,6050,11686,2769,3103,1147,2585,642,523,613,940,1488,2774,85934,38013,55556,18165,56483,597,9461,87119,4735,14842,5797,966005,1755,2293,248,2888,2961,55182,18738,14896,2240,1425,1654,3813,5309,2099,2942,10726,2147,0,598,298,211,1583,1748,0,26454,12381,399,23116,402,690,22,11,638,1534,94,342,197,266,85,136,2091,505,5668,79,30,281,281,116,23,1,16,3,0,0,0,5912,2322,0,0,1729,0,0,0,0,2830,23371,0,10,0,187223,2344076
