ihp_cluster,ihg_0,ihg_1,ihg_2,ihg_3,ihg_4,ihg_5,ihg_6,ihg_7,ihg_8,ihg_9,ihg_10,ihg_11,ihg_12,ihg_13,ihg_14,ihg_15,ihg_16,ihg_17,ihg_18,ihg_19,ihg_20,ihg_21,ihg_22,ihg_23,ihg_24,ihg_25,ihg_26,ihg_27,ihg_28,ihg_29,ihg_30,ihg_31,ihg_32,ihg_33,ihg_34,ihg_35,ihg_36,ihg_37,ihg_38,ihg_39,ihg_40,ihg_41,ihg_42,ihg_43,ihg_44,ihg_45,ihg_46,ihg_47,ihg_48,ihg_49,ihg_50,ihg_51,ihg_52,ihg_53,ihg_54,ihg_55,ihg_56,ihg_57,ihg_58,ihg_59,ihg_60,ihg_61,ihg_62,ihg_63,ihg_64,ihg_65,ihg_66,ihg_67,ihg_68,ihg_69,ihg_70,ihg_71,ihg_72,ihg_73,ihg_74,ihg_75,ihg_76,ihg_77,ihg_78,ihg_79,ihg_80,ihg_81,ihg_82,ihg_83,ihg_84,ihg_85,ihg_86,ihg_87,ihg_88,ihg_89,ihg_90,ihg_91,ihg_92,ihg_93,ihg_94,ihg_95,ihg_96,ihg_97,ihg_98,ihg_99,ihg_100,ihg_101,ihg_102,ihg_103,ihg_104,ihg_105,ihg_106,ihg_107,ihg_108,ihg_109,ihg_110,ihg_111,ihg_112,ihg_113,ihg_114,ihg_115,ihg_116,ihg_117,ihg_118,ihg_119,ihg_120,ihg_121,ihg_122,ihg_123,ihg_124,ihg_125,ihg_126,ihg_127
0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,1.0,5.0,3.0,11.0,0.0,0.0,20.0,88.0,0.0,0.0,20.0,15.0,1.0,1.0,1.0,22.0,13.0,21.0,52.0,0.0,5.0,0.0,25.0,0.0,56.0,14.0,0.0,0.0,0.0,0.0,34.0,3.0,0.0,9.0,0.0,5.0,2.0,8.0,12.0,1.0,0.0,11.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,19.0,78.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0,9.0,1.0,81.0,4.0,18.0,31.0,0.0,50.0,0.0,0.0,4.0,2.0,12.0,2.0,0.0,0.0,0.0,0.0,56.0,14.0,1.0,1.0,2.0,0.0,34.0,17.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,3.0,0.0,2.0,1.0,1.0,5.0,4.0,0.0,0.0,3.0,5.0,4.0,0.0,0.0,1.0,7.0,0.0,4.0,1.0,4.0
1,0.0,273.0,2.0,20.0,581.0,14.0,81.0,172.0,1237.0,0.0,5.0,475.0,4.0,16.0,33.0,432.0,1.0,5.0,1.0,7.0,0.0,11.0,4.0,115.0,1.0,1.0,99.0,0.0,25.0,1508.0,4.0,14.0,1.0,2.0,22.0,3.0,0.0,1.0,0.0,0.0,149.0,122.0,992.0,10.0,3.0,3.0,5.0,2.0,10.0,29.0,1.0,28.0,34.0,0.0,1835.0,11.0,1262.0,174.0,148.0,43.0,0.0,0.0,0.0,0.0,2473.0,7.0,0.0,0.0,1.0,3.0,163.0,3.0,10.0,5.0,37.0,0.0,24.0,17.0,1.0,9.0,1.0,8.0,4.0,1.0,10.0,4.0,3.0,76.0,12.0,118.0,231.0,0.0,7.0,0.0,54.0,0.0,11.0,38.0,3.0,1341.0,1.0,49.0,3.0,30.0,0.0,50.0,3.0,27.0,0.0,6.0,7.0,424.0,24.0,443.0,122.0,8.0,2.0,4.0,1.0,366.0,333.0,0.0,1.0,1076.0,132.0,33.0,54.0,0.0
2,0.0,3.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,2.0,34.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,0.0,18.0,3.0,15.0,0.0,4.0,7.0,0.0,7.0,2.0,1.0,0.0,53.0,6.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,17.0,1.0,1.0,743.0,7.0,90.0,7.0,0.0,2.0,8.0,2.0,0.0,3.0,3.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,8.0,3.0,3.0,1.0,12.0,0.0,4.0,0.0,0.0,6.0,17.0,0.0,0.0,1.0,1.0,0.0,2.0,93.0,0.0,33.0,0.0,1.0,28.0,6.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,8.0,0.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,4.0,1.0,43.0,0.0,6.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0,0.0
3,0.0,6.0,1.0,0.0,11.0,10.0,51.0,91.0,77.0,38.0,153.0,17.0,2.0,3.0,2.0,52.0,292.0,0.0,1.0,39.0,13.0,55.0,3.0,41.0,10.0,0.0,211.0,22.0,26.0,98.0,0.0,86.0,1.0,14.0,53.0,22.0,2.0,0.0,0.0,3.0,14.0,0.0,34.0,2.0,41.0,55.0,41.0,43.0,4.0,3.0,25.0,0.0,0.0,2.0,12.0,43.0,20.0,0.0,20.0,274.0,35.0,1.0,10.0,14.0,17.0,14.0,2.0,26.0,0.0,14.0,4.0,0.0,3.0,11.0,31.0,3.0,0.0,1072.0,10.0,135.0,40.0,13.0,32.0,0.0,2.0,17.0,86.0,14.0,276.0,7.0,11.0,0.0,13.0,23.0,2124.0,0.0,2.0,4.0,18.0,35.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,185.0,0.0,2.0,81.0,5.0,16.0,17.0,868.0,7.0,0.0,3.0,27.0,63.0,4.0,0.0,8.0,251.0,0.0,60.0,5.0,5.0
4,0.0,23.0,6.0,204.0,3.0,0.0,0.0,1.0,0.0,39.0,31.0,0.0,20.0,0.0,0.0,1.0,0.0,340.0,0.0,80.0,7.0,1.0,0.0,14.0,2.0,35.0,266.0,3.0,0.0,0.0,0.0,12.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,13.0,1.0,12.0,17.0,532.0,59.0,16.0,16.0,116.0,0.0,16.0,0.0,28.0,0.0,0.0,12.0,61.0,1.0,0.0,2.0,22.0,2.0,0.0,10.0,0.0,0.0,65.0,343.0,0.0,2.0,0.0,3.0,15.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,15.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,54.0,17.0,64.0,76.0,112.0,4.0,42.0,0.0,3.0,113.0,0.0,0.0,15.0,0.0,0.0,32.0,8.0,0.0,70.0,8.0,3.0,0.0,449.0,12.0,0.0,8.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,67.0,5.0,12.0,1.0,0.0,0.0,0.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,161.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,1.0,0.0,6.0,0.0,0.0,0.0
6,27.0,0.0,1.0,3.0,10.0,70.0,111.0,9.0,32.0,227.0,141.0,3.0,2.0,1.0,280.0,16.0,17.0,21.0,49.0,1.0,1.0,8.0,1664.0,4.0,0.0,23.0,39.0,2.0,40.0,17.0,1.0,19.0,35.0,6.0,153.0,116.0,548.0,111.0,171.0,0.0,15.0,12.0,9.0,492.0,13.0,13.0,181.0,4.0,91.0,0.0,80.0,0.0,10.0,26.0,2.0,198.0,2.0,3.0,2.0,6.0,31.0,1.0,0.0,1.0,4.0,35.0,2.0,2.0,35.0,0.0,15.0,13.0,1454.0,312.0,884.0,1.0,3.0,259.0,1354.0,12.0,5.0,168.0,1.0,139.0,47.0,9.0,207.0,11.0,38.0,95.0,2.0,15.0,52.0,0.0,30.0,5.0,144.0,2.0,1388.0,2.0,6.0,3.0,30.0,1.0,0.0,0.0,15.0,48.0,14.0,24.0,34.0,507.0,1.0,2.0,66.0,4254.0,39.0,2.0,0.0,20.0,1.0,0.0,246.0,16.0,0.0,6.0,3.0,4.0
7,0.0,103.0,2.0,41.0,1.0,5.0,28.0,7.0,6.0,1.0,8.0,27.0,3.0,11.0,0.0,19.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,129.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,386.0,83.0,0.0,36.0,0.0,41.0,0.0,17.0,121.0,0.0,114.0,20.0,0.0,641.0,0.0,83.0,252.0,0.0,32.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,5.0,0.0,0.0,8.0,27.0,1.0,17.0,1.0,0.0,14.0,0.0,0.0,1.0,3.0,25.0,98.0,1.0,0.0,2.0,1.0,2.0,0.0,29.0,74.0,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,4.0,0.0,3.0,45.0,13.0,0.0,162.0,7.0,54.0,4.0,0.0,2.0,32.0,1.0,30.0,1.0,0.0,0.0,10.0,14.0,14.0,57.0,0.0,3.0,3.0,52.0,14.0,5.0,3.0
8,0.0,63.0,5.0,45.0,104.0,4.0,8.0,12.0,6.0,16.0,55.0,100.0,21.0,125.0,0.0,30.0,0.0,28.0,0.0,19.0,0.0,12.0,0.0,171.0,0.0,1.0,48.0,1.0,4.0,29.0,1.0,85.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,11.0,96.0,41.0,1.0,32.0,9.0,33.0,14.0,101.0,132.0,15.0,36.0,55.0,0.0,770.0,1.0,150.0,169.0,4.0,143.0,11.0,0.0,0.0,0.0,687.0,5.0,2.0,9.0,0.0,4.0,141.0,34.0,3.0,7.0,8.0,5.0,15.0,0.0,0.0,0.0,30.0,2.0,91.0,2.0,0.0,13.0,2.0,5.0,1.0,267.0,246.0,1.0,5.0,1.0,2.0,0.0,0.0,2.0,1.0,6.0,3.0,0.0,41.0,13.0,0.0,261.0,11.0,36.0,1.0,1.0,20.0,540.0,6.0,23.0,80.0,1.0,0.0,4.0,29.0,25.0,367.0,0.0,2.0,10.0,100.0,39.0,6.0,0.0
9,11.0,9.0,21.0,12.0,6.0,9.0,27.0,3.0,21.0,4.0,0.0,3.0,3.0,27.0,9.0,32.0,1.0,13.0,6.0,0.0,0.0,0.0,243.0,1.0,2.0,5.0,1.0,1.0,5.0,47.0,282.0,0.0,1.0,1.0,12.0,0.0,2.0,0.0,1.0,5.0,24.0,4.0,8.0,18.0,1.0,0.0,0.0,1.0,23.0,0.0,1.0,12.0,31.0,1.0,0.0,5.0,9.0,0.0,13.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,74.0,1.0,19.0,15.0,175.0,12.0,30.0,1.0,12.0,3.0,5.0,1.0,3.0,37.0,21.0,28.0,77.0,1.0,5.0,31.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,32.0,14.0,105.0,6.0,9.0,126.0,0.0,18.0,0.0,1.0,6.0,2.0,9.0,35.0,1.0,1.0,5.0,5.0,0.0,63.0,2.0,2.0,7.0,5.0,1.0,1.0,25.0,20.0,1.0,0.0,18.0,2.0
