"cluster_id","COUNT(image_id)","slot_signature_n_objects","slot_signature_token"
1,30,5,25,25,0,0,0,0,26,26,26
2,162598,1,0,67,0,0,0,0,0,0,0
3,3613963,0,0,0,0,0,0,0,0,0,0
4,7,3,55,67,0,0,0,0,0,60,0
5,1402,2,60,41,0,0,0,0,0,0,0
6,2347,2,8,8,0,0,0,0,0,0,0
7,2108,1,0,2,0,0,0,0,0,0,0
8,17328,1,0,41,0,0,0,0,0,0,0
9,93,2,41,40,0,0,0,0,0,0,0
10,5317,2,0,0,0,0,0,90,90,0,0
11,1117,2,24,67,0,0,0,0,0,0,0
12,214679,2,67,67,0,0,0,0,0,0,0
13,1,4,0,60,0,0,0,40,45,45,0
14,9114,2,67,0,0,0,0,0,27,0,0
15,8220,2,16,16,0,0,0,0,0,0,0
16,1,4,25,26,0,0,0,0,0,26,26
17,8407,1,0,39,0,0,0,0,0,0,0
18,543,3,57,57,0,0,0,0,0,57,0
19,25496,2,57,57,0,0,0,0,0,0,0
20,530,2,41,57,0,0,0,0,0,0,0
21,169,3,67,63,92,0,0,0,0,0,0
22,3419,3,63,63,92,0,0,0,0,0,0
23,267,2,19,19,0,0,0,0,0,0,0
24,94,1,19,0,0,0,0,0,0,0,0
25,116,2,0,34,0,0,0,0,27,0,0
26,2524,3,63,63,0,0,0,0,0,60,0
27,974,1,0,59,0,0,0,0,0,0,0
28,2,3,45,41,0,0,0,0,0,46,0
29,2,3,46,41,0,0,0,0,0,60,0
30,27496,2,59,59,0,0,0,0,0,0,0
31,1266,1,37,0,0,0,0,0,0,0,0
32,1,5,45,58,0,0,0,0,42,63,63
33,6744,4,57,57,0,0,0,0,63,63,0
34,3309,3,57,57,0,0,0,0,73,0,0
35,94898,1,67,0,0,0,0,0,0,0,0
36,22203,2,84,84,0,0,0,0,0,0,0
37,184,1,15,0,0,0,0,0,0,0,0
38,14140,2,101,101,0,0,0,0,0,0,0
39,6093,2,47,47,0,0,0,0,0,0,0
40,2034,2,15,15,0,0,0,0,0,0,0
41,13282,2,24,24,0,0,0,0,0,0,0
42,4514,1,0,24,0,0,0,0,0,0,0
43,328,3,0,0,0,0,0,0,24,24,24
44,109180,2,73,73,0,0,0,0,0,0,0
45,236,3,56,56,0,0,0,0,0,0,56
46,82,4,56,56,0,0,0,63,63,0,0
47,62,3,57,57,0,0,0,0,0,0,60
48,1,5,60,62,0,0,0,47,47,47,0
49,1,4,95,95,0,0,0,0,0,41,59
50,5157,2,26,67,0,0,0,0,0,0,0
51,120,4,26,26,0,0,0,67,67,0,0
52,97,3,26,26,0,0,0,67,0,0,0
53,1003,3,41,41,0,0,0,0,0,56,0
54,176,3,63,73,0,0,0,0,0,56,0
55,1,4,60,2,0,0,0,0,63,56,0
56,80,3,60,63,0,0,0,0,27,0,0
57,14586,1,26,0,0,0,0,0,0,0,0
58,1408,2,60,63,0,0,0,0,0,0,0
59,735,3,58,58,0,0,0,0,0,0,58
60,715,2,67,24,0,0,0,0,0,0,0
61,240,1,0,0,0,0,0,0,0,0,24
62,219,3,67,67,0,0,0,0,24,0,0
63,3628,1,24,0,0,0,0,0,0,0,0
64,139,3,67,0,0,0,0,92,92,0,0
65,2583,2,0,0,0,0,0,92,92,0,0
66,11032,2,74,74,0,0,0,0,0,0,0
67,2263,2,17,17,0,0,0,0,0,0,0
68,11811,2,2,2,0,0,0,0,0,0,0
69,4093,2,41,63,0,0,0,0,0,0,0
70,15363,1,0,73,0,0,0,0,0,0,0
71,5564,2,28,28,0,0,0,0,0,0,0
72,30947,1,0,63,0,0,0,0,0,0,0
73,7764,2,58,58,0,0,0,0,0,0,0
74,236,2,63,62,0,0,0,0,0,0,0
75,9195,1,0,86,0,0,0,0,0,0,0
76,384,4,41,41,0,0,0,0,0,56,56
77,27,3,55,42,0,0,0,0,0,60,0
78,116,3,2,67,0,0,0,0,27,0,0
79,11220,2,60,60,0,0,0,0,0,0,0
80,80,3,39,39,0,0,0,0,0,45,0
81,14373,1,73,0,0,0,0,0,0,0,0
82,823,2,0,67,0,0,0,0,13,0,0
83,1590,3,67,67,0,0,0,0,13,0,0
84,29726,2,41,41,0,0,0,0,0,0,0
85,69,2,2,41,0,0,0,0,0,0,0
86,304,2,0,41,0,0,0,0,0,63,0
87,16410,1,0,26,0,0,0,0,0,0,0
88,3221,1,0,25,0,0,0,0,0,0,0
89,4567,2,0,0,0,0,0,0,63,63,0
90,10630,3,67,67,0,0,0,0,27,0,0
91,262446,1,0,0,0,0,0,0,27,0,0
92,87,2,67,0,0,0,0,0,0,0,26
93,23194,2,26,26,0,0,0,0,0,0,0
94,398,3,0,67,0,0,0,0,0,26,26
95,72,2,38,67,0,0,0,0,0,0,0
96,4379,2,40,40,0,0,0,0,0,0,0
97,1465,3,57,57,0,0,0,0,63,0,0
98,1560,3,60,60,0,0,0,0,0,56,0
99,442,1,0,0,0,0,0,0,0,59,0
100,214,2,0,0,0,0,0,26,0,26,0
101,2431,2,63,95,0,0,0,0,0,0,0
102,1412,1,0,0,0,0,0,0,24,0,0
103,1183,1,0,16,0,0,0,0,0,0,0
104,79,3,63,41,0,0,0,0,0,67,0
105,2913,2,36,36,0,0,0,0,0,0,0
106,2,4,67,56,0,0,0,0,0,41,60
107,209,3,26,26,0,0,0,0,13,0,0
108,4238,2,73,67,0,0,0,0,0,0,0
109,782,2,56,41,0,0,0,0,0,0,0
110,3220,2,73,63,0,0,0,0,0,0,0
111,1748,3,67,67,0,0,0,0,0,26,0
112,2011,3,67,67,0,0,0,0,0,56,0
113,970,4,67,67,0,0,0,0,0,26,26
114,2104,1,0,60,0,0,0,0,0,0,0
115,2,2,49,119,0,0,0,0,0,0,0
116,6,3,45,45,0,50,0,0,0,0,0
117,186438,2,63,63,0,0,0,0,0,0,0
118,1415,1,57,0,0,0,0,0,0,0,0
119,4,3,100,100,0,0,0,0,44,0,0
120,12637,2,100,100,0,0,0,0,0,0,0
121,16031,2,0,67,0,0,0,0,27,0,0
122,4251,1,0,0,0,0,0,0,0,56,0
123,2637,3,59,59,0,0,0,0,0,63,0
124,4,3,45,45,50,0,0,0,0,0,0
125,8478,2,37,37,0,0,0,0,0,0,0
126,49,3,44,44,0,0,0,0,0,60,0
127,7,3,60,60,0,0,0,51,0,0,0
128,1803,3,2,2,0,0,0,0,27,0,0
129,1,4,59,45,0,0,0,73,73,0,0
130,655,4,63,63,0,0,0,67,0,67,0
131,1680,2,43,43,0,0,0,0,0,0,0
132,8133,1,0,0,0,0,0,0,0,63,0
133,742,3,57,57,0,0,0,41,0,0,0
134,306,2,5,5,0,0,0,0,0,0,0
135,155,4,57,57,92,0,0,0,67,0,0
136,25,3,67,56,92,0,0,0,0,0,0
137,1,6,45,47,0,46,0,47,46,47,0
138,2565,2,46,46,0,0,0,0,0,0,0
139,1095,1,0,0,0,0,0,0,26,0,0
140,20070,2,56,56,0,0,0,0,0,0,0
141,174,3,67,60,0,0,0,0,0,56,0
142,4324,1,0,58,0,0,0,0,0,0,0
143,212,2,0,56,0,0,0,0,0,56,0
144,1,4,95,24,0,0,0,0,0,63,56
145,2697,1,101,0,0,0,0,0,0,0,0
146,395,3,67,0,0,0,0,0,26,26,0
147,48,3,56,73,0,0,0,0,0,56,0
148,23,3,60,60,0,0,0,0,44,0,0
149,6,4,41,63,0,0,0,67,0,56,0
150,6,3,26,41,0,0,0,0,0,56,0
151,636,2,0,67,0,0,0,0,0,26,0
152,9375,2,1,1,0,0,0,0,0,0,0
153,14157,1,0,0,92,0,0,0,0,0,0
154,1611,1,0,0,0,0,0,0,0,0,36
155,36,1,0,0,0,0,45,0,0,0,0
156,123,4,2,2,0,0,0,0,26,26,0
157,877,1,0,44,0,0,0,0,0,0,0
158,6645,1,0,0,0,0,0,0,13,0,0
159,29,4,41,56,0,0,0,0,0,60,60
160,1603,4,60,60,0,0,0,0,63,63,0
161,1858,2,104,104,0,0,0,0,0,0,0
162,943,2,57,67,0,0,0,0,0,0,0
163,5,3,63,57,0,0,0,67,0,0,0
164,19,3,0,67,0,0,0,41,0,63,0
165,591,1,0,35,0,0,0,0,0,0,0
166,39,4,2,2,0,0,0,0,0,28,28
167,2,4,101,101,0,0,0,0,0,97,60
168,16,3,101,101,0,0,0,0,0,97,0
169,1,4,58,58,0,0,0,0,0,97,56
170,1,3,39,0,0,0,0,0,0,97,58
171,7646,2,77,77,0,0,0,0,0,0,0
172,19,2,64,76,0,0,0,0,0,0,0
173,6909,1,0,0,0,0,0,27,0,0,0
174,523,1,104,0,0,0,0,0,0,0,0
175,1101,1,16,0,0,0,0,0,0,0,0
176,3387,2,67,26,0,0,0,0,0,0,0
177,615,1,0,104,0,0,0,0,0,0,0
178,2337,2,48,48,0,0,0,0,0,0,0
179,2176,4,67,67,0,0,0,0,26,26,0
180,1841,1,29,0,0,0,0,0,0,0,0
181,856,4,57,57,0,0,0,0,0,63,63
182,4,2,0,63,0,0,0,45,0,0,0
183,260,3,41,41,0,0,0,0,0,57,0
184,346,3,59,59,0,0,0,0,27,0,0
185,5588,2,63,0,0,0,0,0,27,0,0
186,1,4,48,48,0,0,0,53,0,60,0
187,5881,1,0,56,0,0,0,0,0,0,0
188,376,3,57,57,0,0,0,0,0,60,0
189,7023,2,29,29,0,0,0,0,0,0,0
190,2251,1,45,0,0,0,0,0,0,0,0
191,1883,3,60,60,0,0,0,0,0,63,0
192,37,3,40,40,0,0,0,0,0,63,0
193,1154,1,0,0,0,0,0,0,73,0,0
194,26,4,41,41,0,0,0,0,63,60,0
195,80,2,0,0,0,0,0,41,0,60,0
196,122,3,60,63,0,0,0,41,0,0,0
197,678,2,60,56,0,0,0,0,0,0,0
198,3,4,41,60,0,0,0,63,63,0,0
199,35,4,57,57,0,0,0,41,63,0,0
