0,7004,"['peopl', 'excit', 'happi', 'enjoy', 'communic', 'telephon', 'educ', 'lifestyl', 'technolog', 'horizont', 'look', 'camera', 'outdoor', 'danc', 'ecstat', 'cheer', 'mobil', 'phone', 'white_ethn', 'public', 'park', 'laugh', 'smile', 'sing', 'listen', 'hold', 'play', 'internet', 'univers', 'bosnia', 'herzegovina', 'person', 'play', 'teenag', 'adult', 'young', 'adult', 'headphon', 'music', 'celebr', 'citi', 'life', 'femal', 'women', 'teenag', 'girl', 'portrait', 'photographi', 'player', 'univers', 'student', 'student', 'phone', 'wireless', 'technolog', 'relax', 'smart', 'phone', 'mobil', 'social', 'media', 'high', 'school', 'portabl', 'inform', 'devic', 'hipster', 'cultur', 'femal', 'high', 'school', 'student']"
1,7110,[]
2,7426,[]
3,7428,[]
4,7723,[]
5,7903,[]
6,7938,[]
7,7956,[]
8,8073,[]
9,8215,"['peopl', 'formalwear', 'confid', 'happi', 'uniform', 'skill', 'horizont', 'look', 'camera', 'indoor', 'year', 'europ', 'view', 'white_ethn', 'doctor', 'smile', 'belgium', 'person', 'adult', 'young', 'adult', 'color', 'imag', 'coat', 'femal', 'doctor', 'young', 'woman', 'women', 'woman', 'portrait', 'photographi', 'focus', 'foreground', 'adult', 'headshot', 'brussel', 'capit', 'region']"
0,8217,[]
1,8239,[]
2,8320,[]
3,8401,"['peopl', 'imag', 'casual', 'cloth', 'happi', 'growth', 'desk', 'wealth', 'busi', 'financ', 'coin', 'vertic', 'look', 'camera', 'indoor', 'offic', 'year', 'europ', 'view', 'blond', 'hair', 'white_ethn', 'smile', 'belgium', 'person', 'adult', 'young', 'adult', 'color', 'imag', 'piggi', 'bank', 'save', 'raini', 'insert', 'invest', 'save', 'femal', 'young', 'woman', 'women', 'woman', 'portrait', 'businesswoman', 'photographi', 'toothi', 'smile', 'white', 'collar', 'worker', 'focus', 'foreground', 'adult', 'headshot', 'brussel', 'capit', 'region', 'businesswear']"
4,8462,[]
5,8465,"['peopl', 'confid', 'satisfact', 'happi', 'horizont', 'look', 'camera', 'indoor', 'year', 'europ', 'close', 'view', 'blue', 'eye', 'cheer', 'content', 'emot', 'medium', 'length', 'hair', 'blond', 'hair', 'white_ethn', 'smile', 'belgium', 'person', 'adult', 'young', 'adult', 'color', 'imag', 'young', 'woman', 'women', 'woman', 'portrait', 'photographi', 'toothi', 'smile', 'adult', 'beauti', 'peopl', 'headshot', 'beauti', 'woman', 'brussel', 'capit', 'region']"
6,8481,[]
7,8500,[]
8,8592,[]
9,8636,"['peopl', 'casual', 'cloth', 'happi', 'vertic', 'look', 'camera', 'waist', 'indoor', 'year', 'europ', 'close', 'necklac', 'view', 'blue', 'eye', 'medium', 'length', 'hair', 'blond', 'hair', 'white_ethn', 'smile', 'belgium', 'person', 'adult', 'young', 'adult', 'color', 'imag', 'young', 'woman', 'women', 'woman', 'portrait', 'photographi', 'focus', 'foreground', 'adult', 'beauti', 'peopl', 'beauti', 'woman', 'brussel', 'capit', 'region']"
0,8680,[]
1,8826,[]
2,8884,"['peopl', 'fresh', 'lifestyl', 'natur', 'horizont', 'look', 'camera', 'outdoor', 'year', 'slovakia', 'direct', 'view', 'white_ethn', 'plant', 'lie', 'smile', 'flower', 'flower', 'head', 'poppi', 'plant', 'agricultur', 'field', 'person', 'adult', 'young', 'adult', 'bratislava', 'color', 'imag', 'beauti', 'natur', 'young', 'women', 'young', 'woman', 'women', 'woman', 'portrait', 'leisur', 'activ', 'photographi', 'adult', 'headshot', 'beauti', 'woman']"
3,9389,[]
4,9498,[]
5,9535,[]
6,9632,[]
7,9634,"['peopl', 'confid', 'vertic', 'studio', 'shoot', 'look', 'camera', 'waist', 'year', 'view', 'straight', 'hair', 'black', 'hair', 'singapor', 'smile', 'touch', 'hold', 'person', 'beauti', 'adult', 'young', 'adult', 'color', 'imag', 'wristwatch', 'hand', 'hair', 'young', 'woman', 'women', 'woman', 'portrait', 'photographi', 'feminin', 'color', 'background', 'adult', 'indian', 'ethnic', 'beig', 'background', 'beauti', 'woman']"
8,9654,[]
9,9697,[]
0,9835,[]
1,9887,"['peopl', 'cloth', 'happi', 'sensual', 'enjoy', 'human', 'natur', 'vacat', 'travel', 'destin', 'horizont', 'outdoor', 'human', 'bodi', 'human', 'face', 'cheer', 'brown', 'hair', 'white_ethn', 'smile', 'montenegro', 'summer', 'beach', 'person', 'beauti', 'adult', 'young', 'adult', 'year', 'year', 'cute', 'coastlin', 'femal', 'women', 'women', 'woman', 'portrait', 'leisur', 'activ', 'photographi', 'travel', 'adult', 'beauti', 'peopl', 'relax', 'beauti', 'woman', 'sunni']"
2,9969,"['peopl', 'happi', 'carefre', 'tourist', 'resort', 'bikini', 'vacat', 'horizont', 'outdoor', 'year', 'caribbean', 'white_ethn', 'smile', 'tropic', 'climat', 'tree', 'tropic', 'tree', 'island', 'beach', 'jamaica', 'person', 'beauti', 'adult', 'young', 'adult', 'color', 'imag', 'young', 'women', 'young', 'woman', 'women', 'woman', 'portrait', 'leisur', 'activ', 'photographi', 'urban', 'scene', 'adult', 'beauti', 'peopl', 'relax', 'headshot', 'beauti', 'woman']"
3,10031,[]
4,10184,"['peopl', 'protect', 'workwear', 'construct', 'industri', 'industri', 'horizont', 'look', 'camera', 'outdoor', 'view', 'white_ethn', 'occup', 'blue', 'collar', 'worker', 'smile', 'austria', 'work', 'river', 'australia', 'queensland', 'brisban', 'waterfront', 'person', 'construct', 'site', 'headwear', 'adult', 'young', 'adult', 'color', 'imag', 'hardhat', 'reflect', 'cloth', 'copi', 'space', 'femal', 'women', 'young', 'women', 'young', 'woman', 'women', 'woman', 'portrait', 'photographi', 'construct', 'worker', 'gender', 'stereotyp', 'adult']"
5,10397,[]
6,10404,"['peopl', 'dress', 'place', 'work', 'home', 'interior', 'concentr', 'busi', 'lifestyl', 'technolog', 'vertic', 'panoram', 'quarter', 'length', 'indoor', 'offic', 'select', 'focus', 'view', 'posit', 'emot', 'content', 'emot', 'black', 'hair', 'south', 'korea', 'asian', 'indian', 'ethnic', 'occup', 'window', 'stand', 'smile', 'touch', 'hold', 'work', 'person', 'adult', 'adult', 'year', 'color', 'imag', 'blous', 'korean', 'ethnic', 'attitud', 'look', 'group', 'object', 'women', 'adult', 'women', 'adult', 'woman', 'women', 'woman', 'businesswoman', 'photographi', 'digit', 'tablet', 'suit', 'white', 'collar', 'worker', 'hair', 'adult', 'businesswear', 'formal', 'businesswear']"
7,10673,[]
8,10899,[]
9,11081,[]
0,11122,[]
1,11238,[]
2,11251,[]
3,11271,[]
4,11443,[]
5,11545,"['peopl', 'eleg', 'casual', 'cloth', 'confid', 'cool', 'attitud', 'shirt', 'horizont', 'studio', 'shoot', 'look', 'camera', 'indoor', 'czech', 'republ', 'eyeglass', 'hairstyl', 'african', 'american', 'ethnic', 'stand', 'look', 'star', 'black', 'color', 'white', 'color', 'modern', 'person', 'adult', 'young', 'adult', 'arm', 'cross', 'youth', 'cultur', 'afro', 'hairstyl', 'nerd', 'male', 'young', 'young', 'fashion', 'model', 'portrait', 'photographi', 'blank', 'express', 'funki', 'fashion', 'african', 'ethnic', 'white', 'background', 'adult', 'relax', 'smart', 'casual', 'handsom', 'peopl', 'fashion', 'hipster', 'cultur', 'natur', 'black', 'hair']"
6,11563,[]
7,11572,[]
8,11577,[]
9,11578,[]
0,11581,[]
1,11590,[]
2,11665,[]
3,12036,"['peopl', 'activ', 'vital', 'motion', 'speed', 'citi', 'determin', 'endur', 'lifestyl', 'sport', 'vertic', 'length', 'outdoor', 'long', 'hair', 'scandinavian', 'descent', 'jog', 'run', 'smile', 'denmark', 'citi', 'street', 'street', 'pink', 'color', 'autumn', 'dusk', 'curv', 'person', 'healthi', 'lifestyl', 'exercis', 'sidewalk', 'adult', 'young', 'adult', 'sport', 'train', 'citi', 'life', 'copi', 'space', 'athlet', 'odens', 'femal', 'women', 'young', 'women', 'young', 'woman', 'women', 'woman', 'wellb', 'leisur', 'activ', 'photographi', 'heat', 'haze', 'adult', 'beauti', 'peopl', 'beauti', 'woman', 'activ', 'lifestyl']"
4,12100,"['peopl', 'happi', 'sign', 'home', 'interior', 'horizont', 'indoor', 'apart', 'singapor', 'chines', 'ethnic', 'live', 'room', 'show', 'christma', 'tropic', 'climat', 'tree', 'summer', 'tropic', 'tree', 'decor', 'person', 'beauti', 'placard', 'christma', 'tree', 'teenag', 'adult', 'young', 'adult', 'cute', 'color', 'imag', 'christma', 'light', 'singaporean', 'cultur', 'celebr', 'copi', 'space', 'femal', 'women', 'teenag', 'girl', 'christma', 'decor', 'portrait', 'photographi', 'adolesc', 'child', 'banner', 'sign', 'holiday', 'event', 'decemb', 'beauti', 'peopl', 'celebr']"
5,12106,[]
6,12111,[]
7,12114,[]
8,12126,[]
9,12128,[]
0,12130,[]
1,12136,[]
2,12140,"['peopl', 'happi', 'sign', 'home', 'interior', 'vertic', 'indoor', 'apart', 'singapor', 'chines', 'ethnic', 'live', 'room', 'show', 'christma', 'tropic', 'climat', 'tree', 'summer', 'tropic', 'tree', 'decor', 'person', 'beauti', 'placard', 'christma', 'tree', 'teenag', 'adult', 'young', 'adult', 'cute', 'color', 'imag', 'christma', 'light', 'singaporean', 'cultur', 'celebr', 'copi', 'space', 'femal', 'women', 'teenag', 'girl', 'christma', 'decor', 'portrait', 'photographi', 'adolesc', 'child', 'banner', 'sign', 'holiday', 'event', 'decemb', 'beauti', 'peopl', 'celebr']"
