ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_23,hsv_24,hsv_25,hsv_26,hsv_27,hsv_28,hsv_29,hsv_30,hsv_31,hsv_32,hsv_33,hsv_34,hsv_35,hsv_36,hsv_37,hsv_38,hsv_39,hsv_40,hsv_41,hsv_42,hsv_43,hsv_44,hsv_45,hsv_46,hsv_47,hsv_48,hsv_49,hsv_50,hsv_51,hsv_52,hsv_53,hsv_54,hsv_55,hsv_56,hsv_57,hsv_58,hsv_59,hsv_60,hsv_61,hsv_62,hsv_63,hsv_64,hsv_65,hsv_66,hsv_67,hsv_68,hsv_69,hsv_70,hsv_71,hsv_72,hsv_73,hsv_74,hsv_75,hsv_76,hsv_77,hsv_78,hsv_79,hsv_80,hsv_81,hsv_82,hsv_83,hsv_84,hsv_85,hsv_86,hsv_87,hsv_88,hsv_89,hsv_90,hsv_91,hsv_92,hsv_93,hsv_94,hsv_95,hsv_96
0,9.0,0.0,19.0,9.0,6.0,2.0,2.0,4.0,7.0,5.0,8.0,0.0,10.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,10.0,16.0,5.0,7.0,2.0,12.0,26.0,3.0,0.0,5.0,0.0,3.0,0.0,4.0,20.0,6.0,1.0,0.0,3.0,1.0,1.0,3.0,6.0,7.0,2.0,7.0,0.0,2.0,1.0,1.0,2.0,4.0,6.0,8.0,0.0,2.0,2.0,7.0,17.0,4.0,1.0,0.0,9.0,4.0,0.0,1.0,13.0,11.0,0.0,1.0,1.0,2.0,4.0,0.0,3.0,6.0,0.0,2.0,11.0,1.0,14.0,1.0,1.0,4.0,9.0,3.0,2.0,18.0,10.0,5.0,1.0,4.0,3.0,2.0,7.0,7.0,0.0
1,40.0,26.0,60.0,95.0,33.0,58.0,17.0,12.0,45.0,10.0,116.0,22.0,47.0,30.0,19.0,14.0,29.0,22.0,30.0,13.0,62.0,47.0,28.0,44.0,17.0,50.0,59.0,44.0,18.0,17.0,12.0,19.0,9.0,48.0,52.0,52.0,14.0,20.0,11.0,21.0,17.0,15.0,31.0,44.0,42.0,40.0,26.0,11.0,30.0,17.0,19.0,24.0,60.0,27.0,10.0,17.0,33.0,43.0,56.0,27.0,15.0,19.0,43.0,60.0,9.0,13.0,44.0,12.0,9.0,26.0,20.0,8.0,24.0,22.0,17.0,48.0,39.0,18.0,58.0,10.0,29.0,17.0,12.0,63.0,74.0,30.0,28.0,64.0,52.0,47.0,16.0,33.0,18.0,17.0,40.0,18.0,0.0
2,3.0,3.0,5.0,34.0,5.0,30.0,2.0,7.0,8.0,9.0,50.0,9.0,5.0,9.0,2.0,15.0,16.0,5.0,6.0,6.0,8.0,10.0,5.0,8.0,1.0,19.0,45.0,6.0,2.0,5.0,6.0,3.0,12.0,10.0,14.0,11.0,9.0,9.0,1.0,2.0,4.0,12.0,6.0,17.0,13.0,5.0,5.0,6.0,8.0,7.0,1.0,2.0,5.0,3.0,4.0,1.0,10.0,6.0,17.0,13.0,2.0,19.0,5.0,15.0,3.0,3.0,8.0,14.0,1.0,0.0,16.0,3.0,7.0,13.0,8.0,9.0,12.0,4.0,14.0,1.0,11.0,3.0,2.0,25.0,10.0,10.0,8.0,10.0,21.0,9.0,1.0,7.0,8.0,9.0,5.0,2.0,0.0
3,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,3.0,2.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,4.0,0.0,2.0,1.0,1.0,1.0,4.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,3.0,5.0,3.0,1.0,0.0,3.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,4.0,0.0,8.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,6.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0
4,2.0,0.0,2.0,3.0,0.0,6.0,2.0,0.0,0.0,1.0,10.0,2.0,1.0,4.0,1.0,1.0,7.0,2.0,3.0,1.0,2.0,3.0,5.0,2.0,2.0,4.0,13.0,5.0,1.0,2.0,0.0,0.0,5.0,5.0,1.0,6.0,0.0,5.0,0.0,0.0,1.0,2.0,0.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,4.0,8.0,4.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0,3.0,4.0,3.0,0.0,5.0,0.0,0.0,0.0,1.0,4.0,5.0,2.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0
5,2.0,6.0,13.0,32.0,6.0,37.0,10.0,14.0,15.0,18.0,111.0,30.0,9.0,5.0,1.0,23.0,27.0,14.0,26.0,8.0,6.0,9.0,11.0,15.0,6.0,11.0,158.0,14.0,14.0,6.0,28.0,7.0,21.0,24.0,13.0,13.0,6.0,19.0,6.0,0.0,1.0,19.0,20.0,50.0,15.0,6.0,6.0,19.0,20.0,17.0,11.0,6.0,11.0,9.0,5.0,4.0,6.0,9.0,22.0,9.0,4.0,26.0,7.0,35.0,5.0,4.0,9.0,18.0,5.0,10.0,26.0,4.0,15.0,4.0,8.0,27.0,20.0,3.0,33.0,4.0,23.0,7.0,19.0,51.0,19.0,5.0,7.0,10.0,24.0,16.0,6.0,11.0,8.0,8.0,7.0,4.0,0.0
6,3.0,1.0,12.0,14.0,4.0,4.0,4.0,4.0,10.0,6.0,20.0,2.0,4.0,5.0,1.0,1.0,5.0,3.0,0.0,3.0,8.0,7.0,3.0,5.0,0.0,8.0,22.0,5.0,2.0,6.0,3.0,2.0,1.0,11.0,4.0,8.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,9.0,6.0,3.0,2.0,1.0,5.0,18.0,2.0,0.0,3.0,11.0,7.0,0.0,1.0,10.0,2.0,0.0,2.0,0.0,2.0,7.0,4.0,3.0,13.0,2.0,0.0,7.0,2.0,10.0,2.0,2.0,11.0,9.0,5.0,4.0,9.0,11.0,7.0,0.0,2.0,0.0,1.0,7.0,2.0,0.0
7,7.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,0.0,1.0,1.0,2.0,1.0,4.0,6.0,4.0,2.0,1.0,3.0,0.0,2.0,0.0,2.0,1.0,3.0,0.0,2.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,7.0,3.0,0.0,1.0,2.0,2.0,6.0,2.0,0.0,1.0,4.0,2.0,1.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,4.0,0.0,1.0,9.0,2.0,2.0,1.0,0.0,6.0,0.0,0.0,1.0,5.0,8.0,2.0,0.0
8,43.0,14.0,56.0,46.0,34.0,42.0,12.0,12.0,25.0,10.0,76.0,14.0,40.0,31.0,21.0,13.0,28.0,13.0,33.0,22.0,74.0,61.0,32.0,37.0,8.0,69.0,51.0,13.0,6.0,18.0,12.0,24.0,9.0,30.0,86.0,32.0,31.0,23.0,6.0,11.0,15.0,15.0,12.0,41.0,34.0,49.0,20.0,7.0,21.0,11.0,28.0,20.0,66.0,41.0,7.0,17.0,41.0,34.0,66.0,30.0,14.0,15.0,49.0,41.0,6.0,12.0,81.0,13.0,13.0,14.0,25.0,7.0,17.0,13.0,15.0,38.0,21.0,17.0,33.0,7.0,18.0,14.0,9.0,41.0,63.0,43.0,24.0,92.0,48.0,70.0,5.0,12.0,35.0,25.0,65.0,34.0,0.0
9,1.0,1.0,3.0,6.0,4.0,2.0,1.0,2.0,1.0,5.0,5.0,2.0,1.0,0.0,0.0,2.0,6.0,1.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,5.0,0.0,6.0,4.0,6.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,3.0,2.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,5.0,0.0,0.0,6.0,9.0,0.0,3.0,0.0,3.0,1.0,0.0,3.0,2.0,0.0,1.0,4.0,6.0,0.0,2.0,1.0,2.0,0.0,2.0,2.0,0.0
