ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
535,25.0,524.0,261.0,3.0,0.0,0.0,5.0,2.0,3.0,1.0,3.0,4.0,21.0,3.0,31.0,4.0,8.0,1.0,0.0,15.0,2.0,1.0,2.0,109.0,1563.0
536,6.0,53.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,10.0,0.0,0.0,2.0,2.0,0.0,1.0,20.0,680.0
537,39.0,996.0,1126.0,2.0,15.0,9.0,86.0,40.0,30.0,16.0,26.0,131.0,50.0,9.0,98.0,21.0,52.0,12.0,21.0,147.0,32.0,21.0,0.0,818.0,4334.0
538,12.0,86.0,27.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,685.0
539,22.0,270.0,112.0,2.0,1.0,1.0,3.0,0.0,3.0,2.0,1.0,0.0,8.0,4.0,16.0,4.0,11.0,0.0,0.0,15.0,0.0,1.0,0.0,72.0,1087.0
540,2.0,84.0,71.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,6.0,2.0,1.0,0.0,0.0,6.0,1.0,2.0,0.0,29.0,755.0
541,4.0,197.0,232.0,0.0,3.0,0.0,7.0,4.0,6.0,3.0,2.0,7.0,8.0,3.0,33.0,4.0,7.0,1.0,1.0,21.0,5.0,1.0,0.0,116.0,1206.0
542,11.0,258.0,122.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,10.0,3.0,34.0,1.0,8.0,0.0,0.0,13.0,6.0,0.0,0.0,84.0,1101.0
543,0.0,64.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,7.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,16.0,658.0
544,2.0,188.0,55.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,5.0,2.0,29.0,0.0,2.0,0.0,2.0,4.0,1.0,0.0,0.0,48.0,885.0
545,28.0,366.0,128.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,12.0,1.0,28.0,2.0,25.0,0.0,0.0,9.0,4.0,0.0,0.0,89.0,1245.0
546,10.0,204.0,105.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,4.0,3.0,25.0,0.0,3.0,0.0,0.0,8.0,2.0,0.0,0.0,51.0,967.0
547,0.0,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,594.0
548,2.0,22.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,598.0
549,32.0,1043.0,804.0,5.0,9.0,10.0,62.0,18.0,18.0,15.0,15.0,50.0,43.0,18.0,104.0,21.0,35.0,15.0,5.0,88.0,31.0,16.0,5.0,583.0,3594.0
550,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,560.0
551,114.0,1971.0,2809.0,10.0,27.0,19.0,101.0,80.0,32.0,12.0,22.0,153.0,80.0,13.0,177.0,49.0,88.0,25.0,24.0,211.0,63.0,22.0,6.0,1214.0,7873.0
552,22.0,527.0,512.0,3.0,4.0,2.0,21.0,7.0,5.0,0.0,6.0,28.0,28.0,7.0,55.0,10.0,14.0,3.0,6.0,40.0,13.0,3.0,2.0,257.0,2127.0
553,12.0,255.0,180.0,0.0,0.0,1.0,10.0,4.0,5.0,1.0,2.0,3.0,7.0,6.0,26.0,0.0,8.0,1.0,0.0,18.0,5.0,1.0,2.0,100.0,1200.0
554,2.0,46.0,25.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,5.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,22.0,671.0
555,5.0,59.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,7.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,682.0
556,7.0,99.0,45.0,1.0,0.0,1.0,4.0,3.0,2.0,4.0,0.0,0.0,5.0,1.0,3.0,1.0,5.0,2.0,0.0,4.0,1.0,0.0,1.0,38.0,783.0
557,21.0,579.0,433.0,1.0,1.0,1.0,8.0,8.0,3.0,5.0,2.0,22.0,27.0,4.0,49.0,7.0,15.0,3.0,11.0,42.0,14.0,2.0,0.0,225.0,2040.0
558,13.0,267.0,269.0,3.0,2.0,2.0,3.0,5.0,4.0,1.0,2.0,12.0,13.0,1.0,25.0,4.0,8.0,2.0,3.0,27.0,8.0,5.0,0.0,130.0,1367.0
