ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
0,59.0,492.0,1375.0,11.0,220.0,32.0,90.0,15.0,352.0,96.0,104.0,75.0,103.0,2.0,26.0,65.0,26.0,215.0,68.0,145.0,20.0,30.0,12.0,1707.0,5340.0
1,30.0,46.0,89.0,1.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,4.0,2.0,2.0,6.0,2.0,0.0,0.0,0.0,9.0,2.0,2.0,1.0,39.0,244.0
2,38.0,240.0,213.0,5.0,2.0,1.0,15.0,3.0,2.0,3.0,1.0,6.0,11.0,2.0,7.0,6.0,16.0,3.0,3.0,20.0,4.0,5.0,1.0,116.0,725.0
3,4.0,64.0,158.0,1.0,1.0,0.0,8.0,2.0,2.0,8.0,3.0,12.0,3.0,0.0,3.0,6.0,8.0,6.0,7.0,15.0,4.0,1.0,1.0,91.0,411.0
4,9.0,79.0,132.0,3.0,1.0,3.0,10.0,1.0,5.0,9.0,5.0,5.0,5.0,1.0,3.0,6.0,64.0,4.0,6.0,19.0,4.0,1.0,0.0,155.0,534.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
6,11.0,49.0,65.0,1.0,0.0,0.0,11.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,4.0,4.0,1.0,1.0,7.0,3.0,0.0,0.0,40.0,211.0
7,6.0,109.0,75.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,10.0,0.0,0.0,4.0,0.0,0.0,0.0,24.0,245.0
8,11.0,101.0,38.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,1.0,1.0,2.0,2.0,2.0,4.0,9.0,0.0,1.0,8.0,2.0,1.0,0.0,39.0,236.0
9,16.0,65.0,96.0,0.0,1.0,0.0,6.0,0.0,4.0,6.0,3.0,5.0,4.0,0.0,2.0,7.0,8.0,5.0,4.0,14.0,2.0,0.0,1.0,72.0,330.0
10,12.0,117.0,268.0,3.0,1.0,5.0,18.0,3.0,16.0,1.0,7.0,17.0,2.0,1.0,8.0,15.0,7.0,3.0,8.0,33.0,9.0,4.0,1.0,162.0,731.0
