ihp_cluster,hsv_0,hsv_1,hsv_2,hsv_3,hsv_4,hsv_5,hsv_6,hsv_7,hsv_8,hsv_9,hsv_10,hsv_11,hsv_12,hsv_13,hsv_14,hsv_15,hsv_16,hsv_17,hsv_18,hsv_19,hsv_20,hsv_21,hsv_22,hsv_3_to_22_sum,total
0,18.0,184.0,288.0,4.0,26.0,2.0,25.0,0.0,17.0,4.0,22.0,17.0,17.0,3.0,23.0,19.0,13.0,47.0,6.0,47.0,7.0,2.0,1.0,302.0,1094.0
1,6.0,68.0,36.0,4.0,0.0,3.0,14.0,0.0,1.0,2.0,0.0,1.0,18.0,2.0,16.0,2.0,12.0,0.0,0.0,7.0,2.0,1.0,5.0,90.0,291.0
2,11.0,60.0,42.0,1.0,8.0,0.0,8.0,1.0,1.0,3.0,1.0,0.0,3.0,4.0,8.0,1.0,4.0,0.0,0.0,4.0,2.0,1.0,0.0,50.0,215.0
3,1.0,26.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,76.0
4,6.0,42.0,80.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,3.0,4.0,3.0,1.0,7.0,2.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,35.0,202.0
5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
6,4.0,79.0,117.0,1.0,1.0,0.0,6.0,2.0,0.0,2.0,4.0,3.0,6.0,0.0,6.0,3.0,4.0,0.0,0.0,8.0,4.0,0.0,0.0,50.0,306.0
7,3.0,19.0,13.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,6.0,3.0,5.0,0.0,1.0,3.0,0.0,0.0,4.0,33.0,108.0
8,3.0,13.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,43.0
9,6.0,18.0,18.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,17.0,85.0
