cluster_key,cluster_id,pose_id,topic_id,input_csv,output_folder,input_ct_from_filename,input_csv_rows,ct_matches_csv,output_rows,loss_count,retention_pct,flagged_low_output,anchor_stuck,no_output_folder,multiple_runs,run_count,log_rows_total,log_rows_saved,log_skip_face,log_rows_write_failed,log_cache_hits,log_cache_misses,log_exclude_rows_before,log_exclude_dropped,log_dedupe_confirmed_dupes
c114_p34_t0,c114,p34,t0,df_sorted_c114_p34_t0_ct228.csv,clustercc114_p34_t0_1779802014.4681962,228,228,True,225,3,98.7,False,False,False,False,1,,,,,,,,,
c114_p7_t0,c114,p7,t0,df_sorted_c114_p7_t0_ct515.csv,clustercc114_p7_t0_1779802061.028557,515,515,True,234,281,45.4,False,False,False,False,1,,,,,,,,,
c116_p11_t0,c116,p11,t0,df_sorted_c116_p11_t0_ct162.csv,clustercc116_p11_t0_1779802066.7786958,162,162,True,159,3,98.1,False,False,False,False,1,,,,,,,,,
c116_p15_t0,c116,p15,t0,df_sorted_c116_p15_t0_ct229.csv,clustercc116_p15_t0_1779802071.6231942,229,229,True,192,37,83.8,False,False,False,False,1,,,,,,,,,
c116_p34_t0,c116,p34,t0,df_sorted_c116_p34_t0_ct256.csv,clustercc116_p34_t0_1779802077.355699,256,256,True,238,18,93.0,False,False,False,False,1,,,,,,,,,
c117_p11_t0,c117,p11,t0,df_sorted_c117_p11_t0_ct200.csv,clustercc117_p11_t0_1779802083.614547,200,200,True,195,5,97.5,False,False,False,False,1,,,,,,,,,
c117_p133_t0,c117,p133,t0,df_sorted_c117_p133_t0_ct160.csv,clustercc117_p133_t0_1779802089.616553,160,160,True,157,3,98.1,False,False,False,False,1,,,,,,,,,
c117_p15_t0,c117,p15,t0,df_sorted_c117_p15_t0_ct350.csv,clustercc117_p15_t0_1779802119.755562,350,350,True,230,120,65.7,False,False,False,False,1,,,,,,,,,
c117_p188_t0,c117,p188,t0,df_sorted_c117_p188_t0_ct98.csv,clustercc117_p188_t0_1779802139.515535,98,98,True,95,3,96.9,False,False,False,False,1,,,,,,,,,
c117_p34_t0,c117,p34,t0,df_sorted_c117_p34_t0_ct428.csv,clustercc117_p34_t0_1779802153.867292,428,428,True,239,189,55.8,False,False,False,False,1,,,,,,,,,
c118_p11_t0,c118,p11,t0,df_sorted_c118_p11_t0_ct109.csv,clustercc118_p11_t0_1779802167.660636,109,109,True,104,5,95.4,False,False,False,False,1,,,,,,,,,
c118_p15_t0,c118,p15,t0,df_sorted_c118_p15_t0_ct197.csv,clustercc118_p15_t0_1779802179.150879,197,197,True,194,3,98.5,False,False,False,False,1,,,,,,,,,
c118_p34_t0,c118,p34,t0,df_sorted_c118_p34_t0_ct125.csv,clustercc118_p34_t0_1779802180.0050979,125,125,True,120,5,96.0,False,False,False,False,1,,,,,,,,,
c119_p15_t0,c119,p15,t0,df_sorted_c119_p15_t0_ct526.csv,clustercc119_p15_t0_1779802183.2990851,526,526,True,235,291,44.7,False,False,False,False,1,,,,,,,,,
c119_p34_t0,c119,p34,t0,df_sorted_c119_p34_t0_ct152.csv,clustercc119_p34_t0_1779802192.4472268,152,152,True,151,1,99.3,False,False,False,False,1,,,,,,,,,
c11_p11_t0,c11,p11,t0,df_sorted_c11_p11_t0_ct102.csv,clustercc11_p11_t0_1779802208.6993868,102,102,True,97,5,95.1,False,False,False,False,1,,,,,,,,,
c11_p15_t0,c11,p15,t0,df_sorted_c11_p15_t0_ct256.csv,clustercc11_p15_t0_1779802302.001333,256,256,True,222,34,86.7,False,False,False,False,1,,,,,,,,,
c11_p29_t0,c11,p29,t0,df_sorted_c11_p29_t0_ct146.csv,clustercc11_p29_t0_1779802307.496994,146,146,True,145,1,99.3,False,False,False,False,1,,,,,,,,,
c11_p34_t0,c11,p34,t0,df_sorted_c11_p34_t0_ct165.csv,clustercc11_p34_t0_1779802313.0556061,165,165,True,162,3,98.2,False,False,False,False,1,,,,,,,,,
c11_p58_t0,c11,p58,t0,df_sorted_c11_p58_t0_ct168.csv,clustercc11_p58_t0_1779802317.913234,168,168,True,168,0,100.0,False,False,False,False,1,,,,,,,,,
c121_p15_t0,c121,p15,t0,df_sorted_c121_p15_t0_ct210.csv,clustercc121_p15_t0_1779802377.608316,210,210,True,206,4,98.1,False,False,False,False,1,,,,,,,,,
c122_p15_t0,c122,p15,t0,df_sorted_c122_p15_t0_ct569.csv,clustercc122_p15_t0_1779802388.7916749,569,569,True,239,330,42.0,False,False,False,False,1,,,,,,,,,
c123_p11_t0,c123,p11,t0,df_sorted_c123_p11_t0_ct182.csv,clustercc123_p11_t0_1779802398.456555,182,182,True,177,5,97.3,False,False,False,False,1,,,,,,,,,
c123_p34_t0,c123,p34,t0,df_sorted_c123_p34_t0_ct118.csv,clustercc123_p34_t0_1779802410.565541,118,118,True,111,7,94.1,False,False,False,False,1,,,,,,,,,
c124_p11_t0,c124,p11,t0,df_sorted_c124_p11_t0_ct218.csv,clustercc124_p11_t0_1779802411.0547462,218,218,True,215,3,98.6,False,False,False,False,1,,,,,,,,,
c124_p34_t0,c124,p34,t0,df_sorted_c124_p34_t0_ct239.csv,clustercc124_p34_t0_1779802411.915792,239,239,True,235,4,98.3,False,False,False,False,1,,,,,,,,,
c124_p58_t0,c124,p58,t0,df_sorted_c124_p58_t0_ct97.csv,clustercc124_p58_t0_1779802415.385816,97,97,True,94,3,96.9,False,False,False,False,1,,,,,,,,,
c125_p15_t0,c125,p15,t0,df_sorted_c125_p15_t0_ct169.csv,clustercc125_p15_t0_1779802423.222443,169,169,True,169,0,100.0,False,False,False,False,1,,,,,,,,,
c126_p15_t0,c126,p15,t0,df_sorted_c126_p15_t0_ct606.csv,clustercc126_p15_t0_1779802424.914345,606,606,True,238,368,39.3,False,False,False,False,1,,,,,,,,,
c127_p29_t0,c127,p29,t0,df_sorted_c127_p29_t0_ct102.csv,clustercc127_p29_t0_1779802437.866486,102,102,True,102,0,100.0,False,False,False,False,1,,,,,,,,,
c127_p58_t0,c127,p58,t0,df_sorted_c127_p58_t0_ct188.csv,clustercc127_p58_t0_1779802453.874038,188,188,True,168,20,89.4,False,False,False,False,1,,,,,,,,,
c128_p15_t0,c128,p15,t0,df_sorted_c128_p15_t0_ct384.csv,clustercc128_p15_t0_1779802469.179934,384,384,True,231,153,60.2,False,False,False,False,1,,,,,,,,,
c129_p15_t0,c129,p15,t0,df_sorted_c129_p15_t0_ct334.csv,clustercc129_p15_t0_1779802479.590683,334,334,True,234,100,70.1,False,False,False,False,1,,,,,,,,,
c129_p2263_t0,c129,p2263,t0,df_sorted_c129_p2263_t0_ct265.csv,clustercc129_p2263_t0_1779802506.0195022,265,265,True,240,25,90.6,False,False,False,False,1,,,,,,,,,
c129_p2341_t0,c129,p2341,t0,df_sorted_c129_p2341_t0_ct129.csv,clustercc129_p2341_t0_1779802512.9999418,129,129,True,129,0,100.0,False,False,False,False,1,,,,,,,,,
c129_p25_t0,c129,p25,t0,df_sorted_c129_p25_t0_ct153.csv,clustercc129_p25_t0_1779802553.805969,153,153,True,148,5,96.7,False,False,False,False,1,,,,,,,,,
c129_p29_t0,c129,p29,t0,df_sorted_c129_p29_t0_ct127.csv,clustercc129_p29_t0_1779802569.4260411,127,127,True,124,3,97.6,False,False,False,False,1,,,,,,,,,
c129_p34_t0,c129,p34,t0,df_sorted_c129_p34_t0_ct95.csv,clustercc129_p34_t0_1779802570.61432,95,95,True,95,0,100.0,False,False,False,False,1,,,,,,,,,
c129_p586_t0,c129,p586,t0,df_sorted_c129_p586_t0_ct161.csv,clustercc129_p586_t0_1779802613.55772,161,161,True,158,3,98.1,False,False,False,False,1,,,,,,,,,
c129_p727_t0,c129,p727,t0,df_sorted_c129_p727_t0_ct120.csv,clustercc129_p727_t0_1779802613.700186,120,120,True,120,0,100.0,False,False,False,False,1,,,,,,,,,
c129_p733_t0,c129,p733,t0,df_sorted_c129_p733_t0_ct97.csv,clustercc129_p733_t0_1779802615.700449,97,97,True,97,0,100.0,False,False,False,False,1,,,,,,,,,
c129_p7_t0,c129,p7,t0,df_sorted_c129_p7_t0_ct193.csv,clustercc129_p7_t0_1779802616.2071218,193,193,True,188,5,97.4,False,False,False,False,1,,,,,,,,,
c12_p11_t0,c12,p11,t0,df_sorted_c12_p11_t0_ct163.csv,clustercc12_p11_t0_1779802621.804791,163,163,True,161,2,98.8,False,False,False,False,1,,,,,,,,,
c12_p15_t0,c12,p15,t0,df_sorted_c12_p15_t0_ct278.csv,clustercc12_p15_t0_1779802630.085956,278,278,True,228,50,82.0,False,False,False,False,1,,,,,,,,,
c12_p34_t0,c12,p34,t0,df_sorted_c12_p34_t0_ct201.csv,clustercc12_p34_t0_1779802634.393597,201,201,True,200,1,99.5,False,False,False,False,1,,,,,,,,,
c130_p11_t0,c130,p11,t0,df_sorted_c130_p11_t0_ct235.csv,clustercc130_p11_t0_1779802639.4088671,235,235,True,233,2,99.1,False,False,False,False,1,,,,,,,,,
c130_p15_t0,c130,p15,t0,df_sorted_c130_p15_t0_ct470.csv,clustercc130_p15_t0_1779802643.304702,470,470,True,235,235,50.0,False,False,False,False,1,,,,,,,,,
c130_p28_t0,c130,p28,t0,df_sorted_c130_p28_t0_ct118.csv,clustercc130_p28_t0_1779802649.0803142,118,118,True,117,1,99.2,False,False,False,False,1,,,,,,,,,
c130_p34_t0,c130,p34,t0,df_sorted_c130_p34_t0_ct309.csv,clustercc130_p34_t0_1779802658.737029,309,309,True,238,71,77.0,False,False,False,False,1,,,,,,,,,
c131_p11_t0,c131,p11,t0,df_sorted_c131_p11_t0_ct180.csv,clustercc131_p11_t0_1779802659.026144,180,180,True,175,5,97.2,False,False,False,False,1,,,,,,,,,
c131_p133_t0,c131,p133,t0,df_sorted_c131_p133_t0_ct162.csv,clustercc131_p133_t0_1779802682.324558,162,162,True,157,5,96.9,False,False,False,False,1,,,,,,,,,
c131_p25_t0,c131,p25,t0,df_sorted_c131_p25_t0_ct304.csv,clustercc131_p25_t0_1779802707.965564,304,304,True,236,68,77.6,False,False,False,False,1,,,,,,,,,
c131_p34_t0,c131,p34,t0,df_sorted_c131_p34_t0_ct289.csv,clustercc131_p34_t0_1779802718.1275442,289,289,True,237,52,82.0,False,False,False,False,1,,,,,,,,,
c134_p15_t0,c134,p15,t0,df_sorted_c134_p15_t0_ct431.csv,clustercc134_p15_t0_1779802722.368424,431,431,True,225,206,52.2,False,False,False,False,1,,,,,,,,,
c136_p15_t0,c136,p15,t0,df_sorted_c136_p15_t0_ct393.csv,clustercc136_p15_t0_1779802751.969928,393,393,True,239,154,60.8,False,False,False,False,1,,,,,,,,,
c137_p11_t0,c137,p11,t0,df_sorted_c137_p11_t0_ct340.csv,clustercc137_p11_t0_1779802759.3353689,340,340,True,237,103,69.7,False,False,False,False,1,,,,,,,,,
c137_p34_t0,c137,p34,t0,df_sorted_c137_p34_t0_ct383.csv,clustercc137_p34_t0_1779802769.7169862,383,383,True,234,149,61.1,False,False,False,False,1,,,,,,,,,
c138_p11_t0,c138,p11,t0,df_sorted_c138_p11_t0_ct138.csv,clustercc138_p11_t0_1779802804.99283,138,138,True,137,1,99.3,False,False,False,False,1,,,,,,,,,
c138_p15_t0,c138,p15,t0,df_sorted_c138_p15_t0_ct315.csv,clustercc138_p15_t0_1779802818.547431,315,315,True,236,79,74.9,False,False,False,False,1,,,,,,,,,
c138_p1685_t0,c138,p1685,t0,df_sorted_c138_p1685_t0_ct159.csv,clustercc138_p1685_t0_1779802821.922066,159,159,True,158,1,99.4,False,False,False,False,1,,,,,,,,,
c138_p34_t0,c138,p34,t0,df_sorted_c138_p34_t0_ct148.csv,clustercc138_p34_t0_1779802822.9489,148,148,True,146,2,98.6,False,False,False,False,1,,,,,,,,,
c138_p58_t0,c138,p58,t0,df_sorted_c138_p58_t0_ct224.csv,clustercc138_p58_t0_1779802835.624886,224,224,True,222,2,99.1,False,False,False,False,1,,,,,,,,,
c138_p79_t0,c138,p79,t0,df_sorted_c138_p79_t0_ct125.csv,clustercc138_p79_t0_1779802855.452384,125,125,True,122,3,97.6,False,False,False,False,1,,,,,,,,,
c139_p11_t0,c139,p11,t0,df_sorted_c139_p11_t0_ct148.csv,clustercc139_p11_t0_1779802876.6602821,148,148,True,144,4,97.3,False,False,False,False,1,,,,,,,,,
c139_p34_t0,c139,p34,t0,df_sorted_c139_p34_t0_ct107.csv,clustercc139_p34_t0_1779802877.949538,107,107,True,103,4,96.3,False,False,False,False,1,,,,,,,,,
c140_p2341_t0,c140,p2341,t0,df_sorted_c140_p2341_t0_ct162.csv,clustercc140_p2341_t0_1779802887.354523,162,162,True,160,2,98.8,False,False,False,False,1,,,,,,,,,
c140_p734_t0,c140,p734,t0,df_sorted_c140_p734_t0_ct173.csv,clustercc140_p734_t0_1779802905.592619,173,173,True,170,3,98.3,False,False,False,False,1,,,,,,,,,
c140_p7_t0,c140,p7,t0,df_sorted_c140_p7_t0_ct184.csv,clustercc140_p7_t0_1779802918.345047,184,184,True,178,6,96.7,False,False,False,False,1,,,,,,,,,
