cluster_no,pose_no,n,pitch_median,pitch_mean,pitch_std,pitch_p5,pitch_p95,pitch_iqr,pitch_survival_pct,pitch_outlier_pct,yaw_median,yaw_mean,yaw_std,yaw_p5,yaw_p95,yaw_iqr,yaw_survival_pct,yaw_outlier_pct,roll_median,roll_mean,roll_std,roll_p5,roll_p95,roll_iqr,roll_survival_pct,roll_outlier_pct
c51_p28_t0,28,226,-27.756,-23.0966,20.1075,-51.581,14.1092,25.6112,59.7345,6.1947,-0.1705,1.2784,14.4539,-16.2935,33.6372,15.0155,51.7699,7.0796,2.9215,4.0862,7.8442,-6.104,17.2735,7.9375,75.6637,4.8673
c52_p1685_t0,1685,898,-24.115,-21.8762,17.7295,-47.7086,9.546,24.9348,60.3563,4.8998,-1.068,-1.465,10.3468,-19.4294,16.5312,9.3255,68.0401,6.6815,-0.111,-0.3357,4.9794,-8.8846,8.0349,3.5232,88.9755,6.9042
c56_p1685_t0,1685,347,-30.426,-26.9404,14.6115,-46.8079,2.5466,19.03,72.0461,6.6282,-1.158,-1.7256,10.0019,-18.8354,15.4474,8.088,68.0115,6.6282,-0.238,0.3851,4.9899,-6.2758,9.1278,3.083,89.6254,6.3401
c56_p258_t0,258,222,-31.347,-28.2795,16.9493,-51.505,4.2739,19.3218,65.7658,7.6577,-1.3165,-1.7334,8.5094,-17.0069,11.704,7.0438,75.2252,6.3063,-0.101,0.1928,4.6696,-8.217,8.9061,3.4622,89.1892,6.7568
c56_p2230_t0,2230,316,-28.095,-25.993,18.3705,-53.6208,5.8188,25.4685,57.9114,4.7468,0.5455,1.6214,17.3134,-26.6398,33.934,20.7265,39.557,5.6962,1.2085,1.2082,7.8685,-12.8343,14.2485,8.931,69.3038,5.0633
c61_p25_t0,25,477,-19.066,-16.714,18.8863,-44.9286,14.6974,26.57,56.1845,4.1929,6.439,7.2989,16.8734,-19.5652,35.1874,24.464,34.8008,5.6604,1.744,1.768,6.2006,-7.635,10.9666,7.733,83.2285,4.1929
c65_p25_t0,25,210,-23.3,-20.0613,17.8363,-42.6214,13.9747,24.2403,63.3333,6.6667,0.395,0.4758,12.8684,-17.6694,25.276,12.366,57.1429,5.2381,-0.0205,0.1315,6.6715,-10.6529,10.4022,6.0848,79.5238,4.7619
c65_p2341_t0,2341,916,-21.333,-17.4671,18.331,-41.4702,17.0668,26.4885,59.607,6.6594,10.711,11.6793,16.5567,-14.024,38.8475,22.2732,34.3886,4.0393,6.772,6.8806,6.8617,-4.0392,17.7057,7.674,82.3144,5.5677
c70_p25_t0,25,237,-26.848,-28.3953,24.7346,-63.8808,9.4422,40.807,34.1772,0.8439,-0.826,-1.0651,9.68,-19.1502,14.9438,8.682,68.7764,7.5949,-0.291,-0.2856,7.0563,-12.5344,12.9514,5.053,81.0127,7.5949
c83_p1685_t0,1685,232,-23.125,-23.333,19.5688,-56.7795,9.4137,25.1178,59.9138,4.3103,-3.7025,-5.9471,12.9322,-30.1548,12.6549,15.8588,50.431,6.8966,0.146,0.3803,6.2725,-9.3967,11.7769,7.01,82.7586,7.3276
c84_p2341_t0,2341,317,-28.751,-26.2817,13.1567,-44.5814,-0.2872,16.299,75.7098,6.6246,-1.122,-1.345,9.1056,-15.8552,12.8038,7.175,73.5016,6.6246,-0.14,-0.2225,5.2159,-8.5836,8.583,3.663,88.0126,6.3091
c89_p258_t0,258,238,-31.517,-28.1715,13.7235,-44.5814,-0.1625,17.15,79.4118,7.563,-3.9795,-4.203,13.3381,-26.844,18.0905,15.051,49.5798,5.042,-0.932,-1.4154,5.4151,-11.2358,6.5243,5.637,86.5546,5.8824
c89_p727_t0,727,277,-22.65,-21.2489,17.9225,-47.9288,13.8504,24.357,64.2599,5.7762,-0.857,-0.9971,10.6485,-19.8446,16.6066,11.582,60.2888,6.1372,-0.113,-0.1664,5.8198,-9.7674,9.0472,4.576,84.1155,6.4982
c89_p1685_t0,1685,291,-13.491,-12.8606,19.9386,-45.4695,17.9425,30.114,50.5155,4.1237,-1.83,-0.0672,21.6727,-32.9825,35.23,34.132,21.3058,4.4674,-4.82,-5.3701,7.455,-18.243,6.2625,8.9515,72.8522,4.811
c93_p25_t0,25,248,-24.588,-22.1222,15.1184,-41.7183,7.1663,21.2352,75.8065,6.8548,-2.56,-3.6656,13.3508,-24.8508,18.2169,16.2968,51.2097,5.2419,-0.072,0.1998,6.0556,-8.8093,10.6926,6.5815,82.6613,4.8387
c100_p734_t0,734,203,-28.267,-23.4093,15.97,-42.5472,9.5545,19.1205,72.9064,8.867,-0.522,0.0971,14.9464,-25.1232,23.5779,15.8865,50.2463,5.9113,-0.137,0.1699,6.1444,-9.1503,8.5769,6.556,85.7143,6.8966
c100_p733_t0,733,216,-20.4745,-20.0125,15.9768,-42.0512,8.2155,22.7188,63.4259,3.2407,-1.136,-1.6198,11.8842,-21.1737,20.2075,12.0245,59.2593,5.5556,-1.1605,-1.221,6.2433,-12.008,9.8227,5.5682,82.8704,7.8704
c100_p2263_t0,2263,340,-23.509,-21.6155,14.3614,-40.1656,3.1071,21.7573,67.9412,4.7059,-1.6875,-1.6283,12.6633,-25.8758,18.7044,12.6745,58.2353,7.0588,-0.588,-0.3698,6.5128,-9.5696,9.7136,5.401,85.5882,2.9412
c106_p2341_t0,2341,232,-21.2855,-20.0606,16.0378,-41.0212,9.6691,21.9255,68.5345,3.8793,-4.0055,-2.1622,16.4372,-24.9078,27.1091,20.3102,42.2414,4.7414,1.882,2.2759,6.501,-8.6946,12.9372,7.618,81.8966,5.6034
c106_p25_t0,25,422,-22.668,-20.7883,16.1916,-40.6804,11.3758,20.7225,72.2749,5.9242,5.693,7.2676,14.3732,-14.4614,32.0444,17.4935,49.763,6.1611,1.068,1.1863,5.7622,-7.3448,10.2105,5.2508,86.2559,6.1611
c129_p2263_t0,2263,280,-27.942,-26.3675,13.5718,-46.3632,-2.7399,15.8268,79.2857,6.4286,2.6285,4.8424,13.7844,-14.5352,31.2884,16.33,52.1429,6.7857,0.489,0.3697,6.1476,-10.3252,9.0059,5.7442,82.5,4.6429
c129_p586_t0,586,231,-27.884,-24.6968,13.2937,-41.4175,-0.79,17.941,77.9221,6.9264,0.683,1.4942,14.6471,-21.1735,25.858,18.1905,45.8874,5.6277,0.48,0.6441,6.266,-8.932,11.556,6.857,82.2511,6.0606
c129_p727_t0,727,241,-23.81,-21.1723,14.1908,-39.798,6.4,17.493,75.9336,7.4689,4.013,5.3283,13.2263,-14.86,27.561,15.274,53.527,3.7344,2.079,2.1145,5.9143,-9.056,10.65,6.18,82.1577,7.4689
c129_p2341_t0,2341,236,-24.206,-20.9403,15.9161,-40.52,8.2895,20.9085,69.4915,5.5085,9.218,10.5054,16.0086,-13.8115,36.4625,23.5082,37.7119,3.8136,0.8255,0.7659,6.2272,-8.255,10.0535,6.5495,85.1695,4.661
c129_p25_t0,25,433,-4.394,-5.5869,19.9883,-36.8312,25.5106,31.698,48.4988,3.0023,28.018,27.093,13.4583,3.5956,46.2186,19.309,43.1871,2.7714,8.978,10.2087,8.4374,-1.1456,25.12,9.728,72.0554,5.7737
c131_p25_t0,25,309,-33.127,-30.516,16.2188,-50.6598,-0.4438,21.027,70.2265,5.8252,-2.118,-2.8053,10.2668,-19.5454,13.3714,12.096,60.8414,4.8544,-1.068,-1.5109,5.8495,-11.1224,7.5862,5.003,84.1424,5.178
c138_p1685_t0,1685,262,-19.4715,-17.7288,16.2656,-38.4472,10.5197,21.136,66.0305,4.5802,-10.5775,-13.2308,14.4748,-38.942,6.9498,20.8572,43.1298,5.7252,-1.2555,-2.1428,5.219,-11.2143,5.5156,6.2555,88.1679,6.4885
c140_p2341_t0,2341,290,-23.1545,-20.8831,17.042,-43.5716,10.7071,22.7805,63.7931,6.5517,-13.212,-14.2884,13.6735,-39.0739,5.1885,18.4938,41.0345,5.8621,-2.439,-2.5687,6.169,-12.961,8.0048,6.5818,79.6552,5.1724
c140_p734_t0,734,254,-28.0535,-27.0818,16.8294,-53.8188,1.602,21.7597,63.3858,4.3307,10.3835,11.3797,15.7665,-14.78,37.2038,21.6505,36.2205,3.937,8.171,9.1635,9.7121,-4.756,27.2112,9.793,73.2283,7.0866
c145_p25_t0,25,231,-26.636,-24.3651,18.3042,-51.811,6.05,23.366,60.1732,3.8961,-15.966,-14.6197,14.2499,-35.628,12.436,17.644,45.4545,5.6277,-2.14,-1.289,6.5664,-10.72,9.932,8.016,79.2208,5.1948
c146_p28_t0,28,454,-27.03,-23.5594,20.6534,-55.0468,10.2848,29.5742,53.5242,4.185,11.258,12.0036,13.9615,-9.5361,34.0504,17.862,47.7974,4.185,1.406,1.0614,6.7347,-9.9575,11.0945,7.502,81.0573,5.0661
c150_p28_t0,28,328,-33.695,-32.431,20.1417,-67.5764,2.154,24.7338,55.1829,2.439,-0.921,-1.062,7.2874,-13.1882,10.506,6.2433,79.2683,7.0122,-0.25,-0.1947,4.8839,-6.862,6.337,3.5218,91.7683,5.4878
c153_p960_t0,960,241,-10.522,-11.6895,16.7491,-40.855,14.358,24.672,61.8257,3.7344,-31.971,-30.8668,13.3152,-51.139,-7.03,15.628,51.4523,4.5643,-10.265,-10.6712,9.72,-26.568,3.637,12.218,63.0705,5.3942
c154_p28_t0,28,248,-31.8015,-30.5934,17.252,-56.9688,-0.3869,20.4422,64.9194,3.629,-1.3835,-1.4725,11.4237,-20.4288,17.6651,11.5098,61.2903,6.0484,0.0145,-0.4715,5.2468,-9.9279,8.1986,5.6888,85.4839,5.2419
c156_p28_t0,28,409,-26.208,-24.0247,15.6449,-44.822,4.8866,18.998,71.3936,6.846,0.168,0.2106,11.6079,-19.3796,20.5946,12.131,58.6797,5.379,0.173,0.2926,5.3492,-8.7734,10.0108,4.979,85.5746,6.846
