cluster_no,pose_no,n,fixed_pitch_margin,fixed_yaw_margin,fixed_roll_margin,fixed_joint_keep_count,fixed_joint_survival_pct,iqr_pitch_margin,iqr_yaw_margin,iqr_roll_margin,iqr_joint_keep_count,iqr_joint_survival_pct,std_pitch_margin,std_yaw_margin,std_roll_margin,std_joint_keep_count,std_joint_survival_pct
c56_p1685_t0,1685,347,15,8,8,160,46.1095,19.03,8.088,3.083,161,46.3977,14.6115,10.0019,4.9899,172,49.5677
c56_p258_t0,258,222,15,8,8,93,41.8919,19.3218,7.0438,3.4622,91,40.991,16.9493,8.5094,4.6696,93,41.8919
c56_p2230_t0,2230,316,15,8,8,57,18.038,25.4685,20.7265,8.931,159,50.3165,18.3705,17.3134,7.8685,117,37.0253
c61_p25_t0,25,477,15,8,8,68,14.2558,26.57,24.464,7.733,294,61.6352,18.8863,16.8734,6.2006,155,32.4948
c65_p25_t0,25,210,15,8,8,67,31.9048,24.2403,12.366,6.0848,97,46.1905,17.8363,12.8684,6.6715,84,40.0
c65_p2341_t0,2341,916,15,8,8,161,17.5764,26.4885,22.2732,7.674,537,58.6245,18.331,16.5567,6.8617,334,36.4629
c70_p25_t0,25,237,15,8,8,38,16.0338,40.807,8.682,5.053,123,51.8987,24.7346,9.68,7.0563,87,36.7089
c83_p1685_t0,1685,232,15,8,8,57,24.569,25.1178,15.8588,7.01,113,48.7069,19.5688,12.9322,6.2725,85,36.6379
c84_p2341_t0,2341,317,15,8,8,168,52.9968,16.299,7.175,3.663,152,47.9495,13.1567,9.1056,5.2159,156,49.2114
c89_p258_t0,258,238,15,8,8,84,35.2941,17.15,15.051,5.637,115,48.3193,13.7235,13.3381,5.4151,99,41.5966
c89_p727_t0,727,277,15,8,8,90,32.491,24.357,11.582,4.576,135,48.7365,17.9225,10.6485,5.8198,114,41.1552
c89_p1685_t0,1685,291,15,8,8,16,5.4983,30.114,34.132,8.9515,177,60.8247,19.9386,21.6727,7.455,85,29.2096
c93_p25_t0,25,248,15,8,8,91,36.6935,21.2352,16.2968,6.5815,136,54.8387,15.1184,13.3508,6.0556,115,46.371
