ihp_cluster,COUNT(so.image_id)
0,0
1,1854
2,582
3,31
4,245
5,204
6,211
7,351
8,108
9,121
10,487
11,329
12,33
13,50
14,830
15,114
16,215
17,198
18,175
19,427
20,139
21,109
22,1182
23,110
24,253
25,200
26,192
27,35
28,1268
29,95
30,406
31,134
32,209
33,193
34,70
35,642
36,198
37,230
38,261
39,1435
40,392
41,124
42,45
43,65
44,211
45,171
46,155
47,472
48,305
49,56
50,250
51,95
52,144
53,72
54,18
55,359
56,140
57,61
58,81
59,568
60,409
61,91
62,90
63,603
64,223
65,161
66,29
67,246
68,91
69,24
70,436
71,340
72,474
73,121
74,119
75,453
76,88
77,111
78,184
79,42
80,656
81,325
82,111
83,63
84,69
85,473
86,208
87,349
88,35
89,434
90,399
91,469
92,176
93,19
94,151
95,75
96,2
97,191
98,491
99,158
100,533
101,227
102,123
103,16
104,100
105,203
106,65
107,58
108,154
109,34
110,20
111,147
112,325
113,182
114,657
115,114
116,347
117,81
118,227
119,145
120,467
121,293
122,891
123,115
124,229
125,102
126,112
127,548
128,26
129,163
130,838
131,439
132,216
133,133
134,138
135,295
136,224
137,97
138,584
139,130
140,580
141,136
142,266
143,233
144,732
145,613
146,430
147,582
148,135
149,119
150,105
151,264
152,1038
153,292
154,138
155,211
156,136
157,156
158,759
159,511
160,66
161,797
162,232
163,27
164,568
165,269
166,60
167,275
168,1135
169,576
170,583
171,346
172,108
173,52
174,263
175,265
176,62
177,358
178,206
179,61
180,311
181,216
182,7
183,203
184,272
185,557
186,1202
187,221
188,200
189,105
190,240
191,1755
192,548
193,31
194,15
195,282
196,300
197,22
198,84
199,217
200,539
201,107
202,123
203,152
204,63
205,152
206,187
207,22
208,239
209,240
210,639
211,393
212,219
213,442
214,101
215,319
216,396
217,722
218,248
219,63
220,682
221,143
222,33
223,12
224,140
225,80
226,727
227,553
228,224
229,1785
230,1451
231,422
232,100
233,119
234,17
235,124
236,155
237,290
238,252
239,148
240,2514
241,83
242,225
243,238
244,33
245,248
246,80
247,298
248,183
249,1179
250,203
251,282
252,198
253,38
254,134
255,96
256,132
257,1259
258,168
259,146
260,131
261,342
262,129
263,58
264,579
265,1053
266,512
267,427
268,88
269,196
270,175
271,480
272,84
273,221
274,449
275,222
276,44
277,81
278,156
279,96
280,60
281,289
282,163
283,339
284,96
285,18
286,158
287,120
288,150
289,295
290,258
291,96
292,264
293,138
294,73
295,629
296,53
297,165
298,51
299,716
300,198
301,12
302,379
303,296
304,766
305,69
306,286
307,8
308,92
309,333
310,107
311,1001
312,641
313,299
314,105
315,340
316,2513
317,131
318,518
319,392
320,60
321,233
322,368
323,73
324,256
325,55
326,55
327,108
328,169
329,366
330,182
331,500
332,171
333,31
334,100
335,605
336,117
337,348
338,64
339,94
340,606
341,110
342,722
343,542
344,235
345,1132
346,69
347,51
348,86
349,100
350,188
351,28
352,122
353,125
354,790
355,268
356,135
357,295
358,30
359,119
360,54
361,609
362,364
363,131
364,217
365,309
366,100
367,21
368,13
369,50
370,232
371,117
372,97
373,367
374,1251
375,112
376,130
377,480
378,255
379,658
380,369
381,291
382,55
383,621
384,88
385,215
386,209
387,996
388,61
389,363
390,964
391,621
392,157
393,134
394,86
395,97
396,180
397,236
398,555
399,197
400,285
401,141
402,162
403,66
404,78
405,282
406,256
407,140
408,10
409,20
410,223
411,39
412,21
413,32
414,263
415,387
416,21
417,1019
418,99
419,283
420,581
421,46
422,39
423,904
424,282
425,2009
426,978
427,831
428,875
429,379
430,146
431,10
432,288
433,251
434,67
435,47
436,49
437,24
438,605
439,76
440,155
441,261
442,198
443,243
444,291
445,348
446,357
447,87
448,508
449,1395
450,604
451,233
452,209
453,110
454,66
455,297
456,430
457,497
458,143
459,407
460,19
461,175
462,911
463,136
464,211
465,262
466,84
467,78
468,9
469,235
470,186
471,145
472,507
473,166
474,472
475,283
476,726
477,222
478,164
479,876
480,313
481,347
482,193
483,139
484,489
485,323
486,162
487,312
488,117
489,379
490,278
491,61
492,41
493,195
494,105
495,153
496,74
497,336
498,511
499,79
500,178
501,73
502,356
503,7
504,391
505,162
506,240
507,241
508,206
509,624
510,294
511,205
1026,233
